r,vobs,errv,vn,v_v6,v_mond,v_K_exponential_disk,v_mixed_population,r_kpc,kernel_ramp,delta_v2_split_km2_s2,v_split_b2_unit_load_km_s,v_projection_accepted,galaxy,formula_id,endpoint_scores_allowed,construction_used_vobs,scoring_used_vobs,claim_boundary,resid_split_b2_km_s,resid_projection_km_s,resid_mixed_projection_km_s,resid_tpg_v6_km_s,resid_mond_km_s,resid_newtonian_km_s,radial_zone
5.03,214.0,6.0,126.46604781521404,161.6229909937617,164.37400251901263,159.5067357894428,159.5067357894428,5.03,0.0,0.0,126.46604781521404,161.6229909937617,NGC5907,NGC5907_SPLIT_B2_UNIT_LOAD_FREEZE_CAVEATED_V1,True,False,True,ngc5907_split_b2_unit_load_caveated_holdout_preliminary_control,-87.53395218478596,-52.377009006238296,-54.493264210557186,-52.377009006238296,-49.625997480987365,-87.53395218478596,inner_inactive_ramp
7.55,220.0,6.0,146.66101748590182,190.6306834445936,193.73030876776076,188.4348783517028,188.4348783517028,7.55,0.0,0.0,146.66101748590182,190.6306834445936,NGC5907,NGC5907_SPLIT_B2_UNIT_LOAD_FREEZE_CAVEATED_V1,True,False,True,ngc5907_split_b2_unit_load_caveated_holdout_preliminary_control,-73.33898251409818,-29.369316555406414,-31.565121648297207,-29.369316555406414,-26.26969123223924,-73.33898251409818,inner_inactive_ramp
10.07,235.0,4.0,160.5556657362175,212.26654213448657,215.55701860167673,210.2323588768971,210.2323588768971,10.07,0.0,0.0,160.5556657362175,212.26654213448657,NGC5907,NGC5907_SPLIT_B2_UNIT_LOAD_FREEZE_CAVEATED_V1,True,False,True,ngc5907_split_b2_unit_load_caveated_holdout_preliminary_control,-74.44433426378251,-22.73345786551343,-24.76764112310289,-22.73345786551343,-19.44298139832327,-74.44433426378251,inner_inactive_ramp
12.58,235.0,4.0,165.48979711752625,224.6834576868467,227.91606160968783,222.85675815522404,222.85675815522404,12.58,0.0,0.0,165.48979711752625,224.6834576868467,NGC5907,NGC5907_SPLIT_B2_UNIT_LOAD_FREEZE_CAVEATED_V1,True,False,True,ngc5907_split_b2_unit_load_caveated_holdout_preliminary_control,-69.51020288247375,-10.316542313153292,-12.143241844775957,-10.316542313153292,-7.08393839031217,-69.51020288247375,inner_inactive_ramp
15.1,230.0,2.0,160.7081856969333,227.36393445306896,230.32301879850743,225.7194198219553,225.36584458523623,15.1,0.1682242990654204,4309.293224299064,173.59842791425,227.0077831878875,NGC5907,NGC5907_SPLIT_B2_UNIT_LOAD_FREEZE_CAVEATED_V1,True,False,True,ngc5907_split_b2_unit_load_caveated_holdout_preliminary_control,-56.40157208574999,-2.9922168121125026,-4.634155414763768,-2.636065546931036,0.32301879850743376,-69.2918143030667,source_warp_window
17.61,231.0,2.0,156.73541798202473,229.85745315937857,232.6989805415634,228.4059872439307,226.37684241613223,17.61,0.402803738317757,10318.363220404985,186.7735379287039,227.8154135971181,NGC5907,NGC5907_SPLIT_B2_UNIT_LOAD_FREEZE_CAVEATED_V1,True,False,True,ngc5907_split_b2_unit_load_caveated_holdout_preliminary_control,-44.22646207129611,-3.184586402881905,-4.623157583867766,-1.142546840621435,1.698980541563401,-74.26458201797527,source_warp_window
20.13,232.0,2.0,153.661250971089,232.47567979957643,235.34551917823083,231.20657121763753,226.30557010365536,20.13,0.6383177570093458,16351.373734423676,199.90786323810195,227.54777675741337,NGC5907,NGC5907_SPLIT_B2_UNIT_LOAD_FREEZE_CAVEATED_V1,True,False,True,ngc5907_split_b2_unit_load_caveated_holdout_preliminary_control,-32.09213676189805,-4.452223242586626,-5.694429896344644,0.4756797995764259,3.3455191782308304,-78.338749028911,source_warp_window
22.65,225.0,7.0,150.19248017127887,234.0745129315577,237.0938666139261,232.96069082615355,225.3609993171879,22.65,0.8738317757009345,22384.38424844237,211.9956729474504,226.43848608907751,NGC5907,NGC5907_SPLIT_B2_UNIT_LOAD_FREEZE_CAVEATED_V1,True,False,True,ngc5907_split_b2_unit_load_caveated_holdout_preliminary_control,-13.004327052549598,1.4384860890775144,0.3609993171878898,9.074512931557706,12.09386661392611,-74.80751982872113,source_warp_window
25.16,224.0,7.0,141.6895341936023,229.93289266420095,233.3132426168066,228.9263950607293,220.96009119818484,25.16,1.108411214953271,28393.454244548288,220.15762159086904,221.93156415653397,NGC5907,NGC5907_SPLIT_B2_UNIT_LOAD_FREEZE_CAVEATED_V1,True,False,True,ngc5907_split_b2_unit_load_caveated_holdout_preliminary_control,-3.8423784091309585,-2.068435843466034,-3.0399088018151588,5.932892664200949,9.313242616806605,-82.3104658063977,beyond_source_window
27.68,229.0,2.0,137.05893057367695,229.0819380720924,232.9499906637435,228.1798371534189,220.2395124145969,27.68,1.3439252336448595,34426.46475856698,230.67642967708463,221.11022154015313,NGC5907,NGC5907_SPLIT_B2_UNIT_LOAD_FREEZE_CAVEATED_V1,True,False,True,ngc5907_split_b2_unit_load_caveated_holdout_preliminary_control,1.6764296770846272,-7.889778459846866,-8.760487585403098,0.081938072092413,3.949990663743506,-91.94106942632305,beyond_source_window
30.2,218.0,2.0,135.9406033898629,231.5275966238275,235.85693328859335,230.72441959697696,222.6955471092451,30.2,1.5794392523364489,40459.475272585674,242.77422211302763,223.47077474978911,NGC5907,NGC5907_SPLIT_B2_UNIT_LOAD_FREEZE_CAVEATED_V1,True,False,True,ngc5907_split_b2_unit_load_caveated_holdout_preliminary_control,24.774222113027633,5.470774749789115,4.695547109245098,13.527596623827492,17.856933288593353,-82.0593966101371,beyond_source_window
32.71,214.0,2.0,130.19747635803083,228.5058717009564,233.6092326334268,227.7673358529192,219.84136555628635,32.71,1.8140186915887853,46468.5452686916,251.83313546610896,220.55420143653572,NGC5907,NGC5907_SPLIT_B2_UNIT_LOAD_FREEZE_CAVEATED_V1,True,False,True,ngc5907_split_b2_unit_load_caveated_holdout_preliminary_control,37.833135466108956,6.55420143653572,5.841365556286348,14.50587170095639,19.609232633426814,-83.80252364196917,beyond_source_window
35.23,213.0,2.0,127.72858744227932,228.7414341844729,234.53349162577376,228.06697015488183,220.13057302259975,35.23,2.0495327102803738,52501.55578271028,262.3283206836621,220.78156669001325,NGC5907,NGC5907_SPLIT_B2_UNIT_LOAD_FREEZE_CAVEATED_V1,True,False,True,ngc5907_split_b2_unit_load_caveated_holdout_preliminary_control,49.32832068366213,7.78156669001325,7.130573022599748,15.741434184472894,21.533491625773763,-85.27141255772068,beyond_source_window
37.75,211.0,2.0,122.46015086549582,225.36401527865476,232.1484879706559,224.73363775209623,216.91323571416933,37.75,2.2850467289719627,58534.566296728975,271.1661019499469,217.5216770244023,NGC5907,NGC5907_SPLIT_B2_UNIT_LOAD_FREEZE_CAVEATED_V1,True,False,True,ngc5907_split_b2_unit_load_caveated_holdout_preliminary_control,60.16610194994689,6.521677024402294,5.913235714169332,14.364015278654762,21.148487970655907,-88.53984913450418,beyond_source_window
40.26,217.0,2.0,119.73971897411484,224.63462986524263,232.27847877443844,224.0483289874923,216.25177469266663,40.26,2.519626168224299,64543.6362928349,280.8580363686161,216.81767315703075,NGC5907,NGC5907_SPLIT_B2_UNIT_LOAD_FREEZE_CAVEATED_V1,True,False,True,ngc5907_split_b2_unit_load_caveated_holdout_preliminary_control,63.858036368616126,-0.18232684296924617,-0.7482253073333709,7.63462986524263,15.27847877443844,-97.26028102588516,beyond_source_window
42.78,216.0,3.0,115.40623055104088,221.6291435522813,230.37298317156615,221.07520880952433,213.3821147502528,42.78,2.755140186915888,70576.64680685359,289.64675875426883,213.9167733738028,NGC5907,NGC5907_SPLIT_B2_UNIT_LOAD_FREEZE_CAVEATED_V1,True,False,True,ngc5907_split_b2_unit_load_caveated_holdout_preliminary_control,73.64675875426883,-2.083226626197188,-2.6178852497471894,5.629143552281306,14.372983171566148,-100.59376944895912,beyond_source_window
45.29,215.0,3.0,112.60664345410532,220.23728973669077,229.97373377607803,219.7149160899284,212.0691582285795,45.29,2.9897196261682244,76585.7168029595,298.774116939469,212.57335403613385,NGC5907,NGC5907_SPLIT_B2_UNIT_LOAD_FREEZE_CAVEATED_V1,True,False,True,ngc5907_split_b2_unit_load_caveated_holdout_preliminary_control,83.77411693946902,-2.42664596386615,-2.9308417714204893,5.237289736690769,14.973733776078035,-102.39335654589468,beyond_source_window
47.81,217.0,5.0,109.9054944031462,218.745683309751,229.51115795182355,218.25077044546856,210.6559627119968,47.81,3.2252336448598133,82618.7273169782,307.73031215169266,211.1336533321544,NGC5907,NGC5907_SPLIT_B2_UNIT_LOAD_FREEZE_CAVEATED_V1,True,False,True,ngc5907_split_b2_unit_load_caveated_holdout_preliminary_control,90.73031215169266,-5.8663466678455904,-6.344037288003193,1.7456833097510014,12.511157951823549,-107.0945055968538,beyond_source_window
50.33,214.0,5.0,109.03524246774523,219.49054012344249,231.05972266187916,219.0246053841867,211.40286932617792,50.33,3.4607476635514023,88651.7378309969,317.08109677336,211.85259021769437,NGC5907,NGC5907_SPLIT_B2_UNIT_LOAD_FREEZE_CAVEATED_V1,True,False,True,ngc5907_split_b2_unit_load_caveated_holdout_preliminary_control,103.08109677336,-2.1474097823056297,-2.597130673822079,5.490540123442486,17.059722661879164,-104.96475753225477,beyond_source_window
