galaxy,radius_kpc,vobs,split,scale_radius_kpc,current_scalar_h_over_rs_proxy,flare_height_kpc,flare_h_over_rs_profile,mapping_region,mapping_status,source_label,source_url,source_literature_status,source_numeric_kernel_fields,profile_exponential_scale_kpc,ring_vertical_offset_kpc,strict_kernel_ready,endpoint_scores_allowed,endpoint_scores_computed,claim_boundary
NGC2683,2.89,189.0,holdout,2.20964580039598,0.2024081922882335,0.5,0.22628061018213755,INNER_THIN_DISK_HEIGHT_REPRESENTATIVE,PROFILE_MAPPED,Vollmer_Nehlig_Ibata_2016_NGC2683_HI_flare,https://arxiv.org/abs/1512.07058,DIRECT_LITERATURE_FLARE_PROFILE_READY_MAPPING_REQUIRED,flare_H_start_kpc=0.5; flare_R_start_kpc=9; flare_H_max_kpc=4; flare_R_max_kpc=15; flare_R_saturation_end_kpc=22; ring_vertical_offset_kpc=1.3,2.885390081777927,1.3,False,False,False,s4g75_ngc2683_flare_profile_mapping_gate_not_endpoint
NGC2683,5.77,212.0,holdout,2.20964580039598,0.2024081922882335,0.5,0.22628061018213755,INNER_THIN_DISK_HEIGHT_REPRESENTATIVE,PROFILE_MAPPED,Vollmer_Nehlig_Ibata_2016_NGC2683_HI_flare,https://arxiv.org/abs/1512.07058,DIRECT_LITERATURE_FLARE_PROFILE_READY_MAPPING_REQUIRED,flare_H_start_kpc=0.5; flare_R_start_kpc=9; flare_H_max_kpc=4; flare_R_max_kpc=15; flare_R_saturation_end_kpc=22; ring_vertical_offset_kpc=1.3,2.885390081777927,1.3,False,False,False,s4g75_ngc2683_flare_profile_mapping_gate_not_endpoint
NGC2683,8.66,206.0,holdout,2.20964580039598,0.2024081922882335,0.5,0.22628061018213755,INNER_THIN_DISK_HEIGHT_REPRESENTATIVE,PROFILE_MAPPED,Vollmer_Nehlig_Ibata_2016_NGC2683_HI_flare,https://arxiv.org/abs/1512.07058,DIRECT_LITERATURE_FLARE_PROFILE_READY_MAPPING_REQUIRED,flare_H_start_kpc=0.5; flare_R_start_kpc=9; flare_H_max_kpc=4; flare_R_max_kpc=15; flare_R_saturation_end_kpc=22; ring_vertical_offset_kpc=1.3,2.885390081777927,1.3,False,False,False,s4g75_ngc2683_flare_profile_mapping_gate_not_endpoint
NGC2683,11.54,200.0,holdout,2.20964580039598,0.2024081922882335,1.2058078276907598,0.5457018620245258,EXPONENTIAL_FLARE_RISE,PROFILE_MAPPED,Vollmer_Nehlig_Ibata_2016_NGC2683_HI_flare,https://arxiv.org/abs/1512.07058,DIRECT_LITERATURE_FLARE_PROFILE_READY_MAPPING_REQUIRED,flare_H_start_kpc=0.5; flare_R_start_kpc=9; flare_H_max_kpc=4; flare_R_max_kpc=15; flare_R_saturation_end_kpc=22; ring_vertical_offset_kpc=1.3,2.885390081777927,1.3,False,False,False,s4g75_ngc2683_flare_profile_mapping_gate_not_endpoint
NGC2683,14.43,172.0,holdout,2.20964580039598,0.2024081922882335,3.282966435241992,1.4857432963480697,EXPONENTIAL_FLARE_RISE,PROFILE_MAPPED,Vollmer_Nehlig_Ibata_2016_NGC2683_HI_flare,https://arxiv.org/abs/1512.07058,DIRECT_LITERATURE_FLARE_PROFILE_READY_MAPPING_REQUIRED,flare_H_start_kpc=0.5; flare_R_start_kpc=9; flare_H_max_kpc=4; flare_R_max_kpc=15; flare_R_saturation_end_kpc=22; ring_vertical_offset_kpc=1.3,2.885390081777927,1.3,False,False,False,s4g75_ngc2683_flare_profile_mapping_gate_not_endpoint
NGC2683,17.31,190.0,holdout,2.20964580039598,0.2024081922882335,4.0,1.8102448814571004,SATURATED_FLARE_PLATEAU,PROFILE_MAPPED,Vollmer_Nehlig_Ibata_2016_NGC2683_HI_flare,https://arxiv.org/abs/1512.07058,DIRECT_LITERATURE_FLARE_PROFILE_READY_MAPPING_REQUIRED,flare_H_start_kpc=0.5; flare_R_start_kpc=9; flare_H_max_kpc=4; flare_R_max_kpc=15; flare_R_saturation_end_kpc=22; ring_vertical_offset_kpc=1.3,2.885390081777927,1.3,False,False,False,s4g75_ngc2683_flare_profile_mapping_gate_not_endpoint
NGC2683,20.2,169.0,holdout,2.20964580039598,0.2024081922882335,4.0,1.8102448814571004,SATURATED_FLARE_PLATEAU,PROFILE_MAPPED,Vollmer_Nehlig_Ibata_2016_NGC2683_HI_flare,https://arxiv.org/abs/1512.07058,DIRECT_LITERATURE_FLARE_PROFILE_READY_MAPPING_REQUIRED,flare_H_start_kpc=0.5; flare_R_start_kpc=9; flare_H_max_kpc=4; flare_R_max_kpc=15; flare_R_saturation_end_kpc=22; ring_vertical_offset_kpc=1.3,2.885390081777927,1.3,False,False,False,s4g75_ngc2683_flare_profile_mapping_gate_not_endpoint
NGC2683,23.08,150.0,holdout,2.20964580039598,0.2024081922882335,,,POST_SATURATION_DECREASE_UNSPECIFIED,MAPPING_REQUIRED_AFTER_22_KPC,Vollmer_Nehlig_Ibata_2016_NGC2683_HI_flare,https://arxiv.org/abs/1512.07058,DIRECT_LITERATURE_FLARE_PROFILE_READY_MAPPING_REQUIRED,flare_H_start_kpc=0.5; flare_R_start_kpc=9; flare_H_max_kpc=4; flare_R_max_kpc=15; flare_R_saturation_end_kpc=22; ring_vertical_offset_kpc=1.3,2.885390081777927,1.3,False,False,False,s4g75_ngc2683_flare_profile_mapping_gate_not_endpoint
NGC2683,28.85,160.0,holdout,2.20964580039598,0.2024081922882335,,,POST_SATURATION_DECREASE_UNSPECIFIED,MAPPING_REQUIRED_AFTER_22_KPC,Vollmer_Nehlig_Ibata_2016_NGC2683_HI_flare,https://arxiv.org/abs/1512.07058,DIRECT_LITERATURE_FLARE_PROFILE_READY_MAPPING_REQUIRED,flare_H_start_kpc=0.5; flare_R_start_kpc=9; flare_H_max_kpc=4; flare_R_max_kpc=15; flare_R_saturation_end_kpc=22; ring_vertical_offset_kpc=1.3,2.885390081777927,1.3,False,False,False,s4g75_ngc2683_flare_profile_mapping_gate_not_endpoint
NGC2683,31.74,155.0,holdout,2.20964580039598,0.2024081922882335,,,POST_SATURATION_DECREASE_UNSPECIFIED,MAPPING_REQUIRED_AFTER_22_KPC,Vollmer_Nehlig_Ibata_2016_NGC2683_HI_flare,https://arxiv.org/abs/1512.07058,DIRECT_LITERATURE_FLARE_PROFILE_READY_MAPPING_REQUIRED,flare_H_start_kpc=0.5; flare_R_start_kpc=9; flare_H_max_kpc=4; flare_R_max_kpc=15; flare_R_saturation_end_kpc=22; ring_vertical_offset_kpc=1.3,2.885390081777927,1.3,False,False,False,s4g75_ngc2683_flare_profile_mapping_gate_not_endpoint
NGC2683,34.62,151.0,holdout,2.20964580039598,0.2024081922882335,,,POST_SATURATION_DECREASE_UNSPECIFIED,MAPPING_REQUIRED_AFTER_22_KPC,Vollmer_Nehlig_Ibata_2016_NGC2683_HI_flare,https://arxiv.org/abs/1512.07058,DIRECT_LITERATURE_FLARE_PROFILE_READY_MAPPING_REQUIRED,flare_H_start_kpc=0.5; flare_R_start_kpc=9; flare_H_max_kpc=4; flare_R_max_kpc=15; flare_R_saturation_end_kpc=22; ring_vertical_offset_kpc=1.3,2.885390081777927,1.3,False,False,False,s4g75_ngc2683_flare_profile_mapping_gate_not_endpoint
