galaxy,proxy_formula_family_for_scope,sparc_present,s4g_match_status,ned_nedd_match_status,dustpedia_match_status,phangs_match_status,primary_morphology_source,secondary_morphology_source,accepted_observable_collection_status,crossmatch_notes
CamB,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
ESO116-G012,K_exponential_disk,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
F561-1,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
F563-1,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
F568-1,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
IC2574,K_scale_tail_spiral,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
IC4202,K_compact_finite,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC0024,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC2683,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC3726,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC3949,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
NGC3972,K_thick_flared,True,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_CHECKED,TO_BE_ASSIGNED,TO_BE_ASSIGNED,NOT_STARTED,
