zone,radius_min_arcsec,radius_max_arcsec,n_independent_pixels,mode,co_minus_halpha_km_s,sigma_km_s,z,sector_jackknife_sigma_km_s,sector_jackknife_z,occupied_jackknife_sectors
0,3.2438416250273803,17.13017058490896,117,m0,-0.7363344671236004,0.28440140727144425,-2.5890675935397636,1.0666640540696586,-0.690315253724219,12
0,3.2438416250273803,17.13017058490896,117,m1_cos,-1.2822827909326986,0.41907123736843527,-3.0598205665099196,1.3203224329059466,-0.9711891269698985,12
0,3.2438416250273803,17.13017058490896,117,m1_sin,-1.5056132866389125,0.4042887591836911,-3.724103756134431,1.386939332679275,-1.0855653532663065,12
0,3.2438416250273803,17.13017058490896,117,m2_cos,3.8881104760705307,0.40851244129611336,9.517728428868594,1.1816619936613064,3.2903744868898266,12
0,3.2438416250273803,17.13017058490896,117,m2_sin,-2.735817545938594,0.38701723169633584,-7.068981228425483,1.463476599907762,-1.869396166710847,12
1,17.13017058490896,26.68346689100921,117,m0,-2.3259613244043957,0.27093495129259837,-8.584943778229835,1.9046828302432586,-1.2211803915444195,12
1,17.13017058490896,26.68346689100921,117,m1_cos,-0.9222460605664863,0.3967971787438965,-2.3242253472818377,3.0341117856598516,-0.3039591569846918,12
1,17.13017058490896,26.68346689100921,117,m1_sin,-3.0951566199805103,0.30309324306106616,-10.211895813714689,2.107081711465895,-1.4689305132961419,12
1,17.13017058490896,26.68346689100921,117,m2_cos,-0.8750445615933802,0.38970533778294403,-2.2454005032919455,2.8455165438217893,-0.30751694749176023,12
1,17.13017058490896,26.68346689100921,117,m2_sin,-0.021315800644184434,0.31519553862388133,-0.06762722828263219,2.3524082141302647,-0.009061267732422596,12
2,26.68346689100921,34.31483459802657,117,m0,-1.221662337177052,0.3063750765169345,-3.9874729728856586,2.9525098607182687,-0.41377078987294336,11
2,26.68346689100921,34.31483459802657,117,m1_cos,-0.6006694730378778,0.48086272910001826,-1.2491495736467029,4.934961006124779,-0.12171716702368812,11
2,26.68346689100921,34.31483459802657,117,m1_sin,-1.5048913445219299,0.42771383090003345,-3.5184537786753443,2.3971915702864237,-0.6277726666384534,11
2,26.68346689100921,34.31483459802657,117,m2_cos,-4.016825603310614,0.48647306061199724,-8.257036059216373,3.350548293258814,-1.1988562025481997,11
2,26.68346689100921,34.31483459802657,117,m2_sin,3.6931605691806246,0.4665466099356995,7.915951998214335,3.3026214004691776,1.118251268115675,11
3,34.31483459802657,44.01400387753537,117,m0,-2.4831454217731763,0.4313130655372383,-5.757176446023495,2.0197634532335154,-1.2294238802062762,10
3,34.31483459802657,44.01400387753537,117,m1_cos,1.6134803591094184,0.6072810584873155,2.65689228497997,1.8322635647051553,0.8805940314427728,10
3,34.31483459802657,44.01400387753537,117,m1_sin,7.073693256559225,0.9071277687534928,7.7979017953329395,3.788501268322115,1.8671481822393807,10
3,34.31483459802657,44.01400387753537,117,m2_cos,-0.5713357039958763,0.36179388987672506,-1.5791745520924882,2.0179841841040753,-0.28312199297514923,10
3,34.31483459802657,44.01400387753537,117,m2_sin,6.750250961973237,0.7195067966973262,9.381775117286146,2.598371307488236,2.597877733070603,10
4,44.01400387753537,64.6759354871716,117,m0,1.0725412941267338,0.34726499963102125,3.088538422433412,3.283555179350149,0.32664025287950277,8
4,44.01400387753537,64.6759354871716,117,m1_cos,2.5569597663636787,0.30838242012792255,8.29152247168631,1.483320165013829,1.7238084040607917,8
4,44.01400387753537,64.6759354871716,117,m1_sin,-7.558950747835896,0.6317629946882958,-11.964852027405295,6.50352796952509,-1.1622846527694533,8
4,44.01400387753537,64.6759354871716,117,m2_cos,-4.4955416579753775,0.37006365707898076,-12.148022568495337,3.6584542621769085,-1.2288090367707296,8
4,44.01400387753537,64.6759354871716,117,m2_sin,-3.9870889792932056,0.35428132228287046,-11.254019697120176,2.9260745092688802,-1.3626067848454873,8
