galaxy,post22_policy,locality_multiplier,locality_width_kpc,ring_strength,beta_delta_v2_amplitude,scalar_rmse_K_thick_flared,closure_source_rmse_K_thick_flared,closure_source_minus_scalar_rmse,closure_kernel_min,closure_kernel_median,closure_kernel_max,accepted_endpoint_ready,endpoint_scores_allowed,endpoint_scores_computed,claim_boundary
NGC2683,post22_linear_taper_to_inner_height,0.5,1.10482290019799,0.0,-522.9618227760329,10.331859032359942,10.14547110168112,-0.18638793067882276,5.0795321830179683e-42,2.8462517637944996e-05,1.6955714601243648,False,False,True,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,post22_linear_taper_to_inner_height,0.5,1.10482290019799,0.5,-522.9618227760329,10.331859032359942,10.127118588438053,-0.20474044392188873,6.247753055836844e-11,0.025186163889837562,1.6955747963257468,False,False,True,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,post22_linear_taper_to_inner_height,0.5,1.10482290019799,1.0,-522.9618227760329,10.331859032359942,10.108797164143017,-0.22306186821692542,1.249550003763893e-10,0.05034384080384375,1.695578132523886,False,False,True,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,post22_linear_taper_to_inner_height,1.0,2.20964580039598,0.0,-522.9618227760329,10.331859032359942,10.203144942290406,-0.12871409006953627,4.2850831882637945e-15,0.010506804562236042,1.4739143978686147,False,False,True,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,post22_linear_taper_to_inner_height,1.0,2.20964580039598,0.5,-522.9618227760329,10.331859032359942,10.190931363519653,-0.1409276688402894,2.323113854477607e-05,0.04397476366402152,1.4739614037609212,False,False,True,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,post22_linear_taper_to_inner_height,1.0,2.20964580039598,1.0,-522.9618227760329,10.331859032359942,10.178730754449855,-0.15312827791008665,4.646225450006854e-05,0.07959021774914604,1.4740084096075297,False,False,True,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,post22_linear_taper_to_inner_height,1.5,3.3144687005939697,0.0,-522.9618227760329,10.331859032359942,10.141458952805168,-0.19040007955477378,1.1227713716415154e-05,0.09588838746713502,1.1296582260217833,False,False,True,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,post22_linear_taper_to_inner_height,1.5,3.3144687005939697,0.5,-522.9618227760329,10.331859032359942,10.133183062779336,-0.19867596958060574,0.002277793049995777,0.09588844481864872,1.1304986629109832,False,False,True,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,post22_linear_taper_to_inner_height,1.5,3.3144687005939697,1.0,-522.9618227760329,10.331859032359942,10.124923118087478,-0.2069359142724636,0.0022777919757736185,0.09588850217010664,1.1313390989831142,False,False,True,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,post22_linear_taper_to_inner_height,2.0,4.41929160079196,0.0,-522.9618227760329,10.331859032359942,9.992764425511377,-0.3390946068485654,0.006014615990678921,0.1627446913238813,0.8820251588521619,False,False,True,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,post22_linear_taper_to_inner_height,2.0,4.41929160079196,0.5,-522.9618227760329,10.331859032359942,9.985692022573483,-0.3461670097864591,0.0060146171427597215,0.16275052638409218,0.8836915713401495,False,False,True,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,post22_linear_taper_to_inner_height,2.0,4.41929160079196,1.0,-522.9618227760329,10.331859032359942,9.978641945213555,-0.3532170871463869,0.0060146182948394005,0.16275636143863026,0.8853579822080588,False,False,True,s4g75_ngc2683_closure_source_sensitivity_not_validation
