galaxy,resolution,n_radii,source_sigma_km_s,cross_noise_rho,i_hi_bits,i_halpha_bits,i_joint_bits,delta_i_hi_given_halpha_bits,delta_i_halpha_given_hi_bits,redundant_information_bits,hi_unique_fraction_of_joint,halpha_unique_fraction_of_joint
NGC3726,published_profiles,6,10.0,0.0,3.5067000862152207,8.662076389964211,9.287587146534694,0.6255107565704829,5.780887060319474,2.8811893296447373,0.067349113036734,0.6224315281366043
NGC3726,published_profiles,6,10.0,0.25,3.5067000862152207,8.662076389964211,8.869871564927168,0.20779517496295696,5.363171478711948,3.2989049112522633,0.023427078221133543,0.6046504100373618
NGC3726,published_profiles,6,10.0,0.5,3.5067000862152207,8.662076389964211,8.853976835288906,0.19190044532469486,5.347276749073686,3.3147996408905254,0.021673926744403226,0.603940675308894
NGC3726,published_profiles,6,30.0,0.0,9.94809449978836,17.264155493085074,18.00828872107052,0.7441332279854471,8.060194221282162,9.20396127180291,0.04132170688238562,0.4475824630605442
NGC3726,published_profiles,6,30.0,0.25,9.94809449978836,17.264155493085074,17.50906361532642,0.24490812224134473,7.560969115538059,9.703186377547013,0.013987505421304561,0.4318317233663841
NGC3726,published_profiles,6,30.0,0.5,9.94809449978836,17.264155493085074,17.48092644226859,0.21677094918351614,7.532831942480231,9.731323550604841,0.012400426825169151,0.4309172038082586
NGC3726,published_profiles,6,100.0,0.0,19.600135978947076,27.552387708731203,28.317229922891396,0.7648422141601934,8.71709394394432,18.835293764786886,0.02700978225069613,0.3078371001570849
NGC3726,published_profiles,6,100.0,0.25,19.600135978947076,27.552387708731203,27.803486568384034,0.2510988596528314,8.203350589436958,19.34903711929425,0.009031200422840549,0.2950475498553182
NGC3726,published_profiles,6,100.0,0.5,19.600135978947076,27.552387708731203,27.77300005206737,0.22061234333616753,8.172864073120294,19.379523635610912,0.007943410611837938,0.29427372116077616
NGC4559,HR,4,10.0,0.0,3.2059185728894213,3.814159652630432,5.05481059052357,1.2406509378931383,1.848892017634149,1.965267634996283,0.24543964915698915,0.3657688027124758
NGC4559,HR,4,10.0,0.25,3.2059185728894213,3.814159652630432,4.665684805074853,0.8515251524444207,1.4597662321854314,2.3543934204450006,0.1825080750243178,0.3128728778672849
NGC4559,HR,4,10.0,0.5,3.2059185728894213,3.814159652630432,4.447741573000453,0.633581920370021,1.2418230001110317,2.5723366525194002,0.14245025480259765,0.2792030471485546
NGC4559,HR,4,30.0,0.0,8.158136968663468,8.924660608154953,10.653601299046272,1.728940690891319,2.495464330382804,6.429196277772149,0.16228697154699195,0.23423669239491832
NGC4559,HR,4,30.0,0.25,8.158136968663468,8.924660608154953,10.15094341029178,1.2262828021368275,1.9928064416283124,6.931854166526641,0.12080481119553192,0.19631736293671553
NGC4559,HR,4,30.0,0.5,8.158136968663468,8.924660608154953,9.851341517030786,0.9266809088758325,1.6932045483673175,7.231456059787636,0.09406646874172483,0.171875530397575
NGC4559,HR,4,100.0,0.0,14.849846403383276,15.649830434814259,17.4903772145861,1.8405467797718416,2.640530811202824,13.009299623611437,0.10523196596565781,0.15097048959017037
NGC4559,HR,4,100.0,0.25,14.849846403383276,15.649830434814259,16.965089408937445,1.3152589741231857,2.115243005554168,13.534587429260093,0.07752738240390818,0.12468210184850714
NGC4559,HR,4,100.0,0.5,14.849846403383276,15.649830434814259,16.647730376683484,0.9978999418692247,1.7978839733002072,13.851946461514054,0.05994210137298149,0.1079957407178033
NGC4559,LR,4,10.0,0.0,3.1947667706045686,3.814159652630432,5.079312584811348,1.2651529321809156,1.884545814206779,1.929613838423653,0.24907955772678736,0.3710237916528568
NGC4559,LR,4,10.0,0.25,3.1947667706045686,3.814159652630432,4.708281536365366,0.8941218837349338,1.5135147657607972,2.3006448868696348,0.18990408216437407,0.3214579999243587
NGC4559,LR,4,10.0,0.5,3.1947667706045686,3.814159652630432,4.521167629614021,0.7070079769835886,1.326400859009452,2.48775879362098,0.15637729783621118,0.2933757311543631
NGC4559,LR,4,30.0,0.0,8.057379999783258,8.924660608154953,10.67629128660171,1.751630678446757,2.6189112868184523,6.305749321336499,0.1640673368143279,0.24530159551801234
NGC4559,LR,4,30.0,0.25,8.057379999783258,8.924660608154953,10.200692977577935,1.2760323694229818,2.143312977794677,6.781347630360274,0.12509271401735342,0.21011444835227144
NGC4559,LR,4,30.0,0.5,8.057379999783258,8.924660608154953,9.948248728129602,1.023588119974649,1.8908687283463443,7.033791879808607,0.1028912874966986,0.19007051190826546
NGC4559,LR,4,100.0,0.0,14.704479347866043,15.649830434814259,17.51135339942504,1.8615229646107814,2.8068740515589976,12.842956383255263,0.10630377459413855,0.16028881306519444
NGC4559,LR,4,100.0,0.25,14.704479347866043,15.649830434814259,17.014555027167955,1.3647245923536957,2.310075679301912,13.339754755512349,0.08020924380182583,0.13577056088821032
NGC4559,LR,4,100.0,0.5,14.704479347866043,15.649830434814259,16.747776254322165,1.0979458195079062,2.0432969064561224,13.606533528358138,0.06555770765235504,0.12200407238715054
