galaxy,split,formula_family,old_rmse_matched_family,old_rmse_wrong_family_mean,rmse_tpg_v6,rmse_mond,old_matched_minus_wrong_mean,old_matched_minus_tpg_v6,old_matched_minus_mond,old_matched_beats_wrong_mean,old_matched_beats_tpg_v6,old_matched_beats_mond,filled_rmse_matched_family,filled_rmse_wrong_family_mean,filled_matched_minus_wrong_mean,filled_matched_minus_tpg_v6,filled_matched_minus_mond,filled_matched_beats_wrong_mean,filled_matched_beats_tpg_v6,filled_matched_beats_mond,filled_minus_old_matched_rmse,filled_improves_matched_rmse,filled_minus_old_matched_minus_wrong,filled_improves_vs_wrong,filled_minus_old_matched_minus_tpg,filled_improves_vs_tpg,filled_minus_old_matched_minus_mond,filled_improves_vs_mond,claim_boundary
IC2574,holdout,K_scale_tail_spiral,10.566965630734453,26.75293889801284,7.5138151552258,13.51316984455882,-16.185973267278385,3.0531504755086525,-2.946204213824368,True,False,True,10.566965630734453,26.75293889801284,-16.185973267278385,3.0531504755086525,-2.946204213824368,True,False,True,0.0,False,0.0,False,0.0,False,0.0,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC0024,holdout,K_thick_flared,22.660175260822907,49.1700589416922,22.157814084096987,20.65262257294937,-26.50988368086929,0.5023611767259197,2.007552687873538,True,False,False,22.756570031197395,49.251079649558584,-26.49450961836119,0.5987559471004076,2.103947458248026,True,False,False,0.09639477037448785,False,0.01537406250810136,False,0.09639477037448785,False,0.09639477037448785,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC0055,train,K_scale_tail_spiral,15.50707161929844,24.46296030576794,13.646013162608714,17.518196226309797,-8.9558886864695,1.861058456689726,-2.0111246070113573,True,False,True,15.50707161929844,24.46296030576794,-8.9558886864695,1.861058456689726,-2.0111246070113573,True,False,True,0.0,False,0.0,False,0.0,False,0.0,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC0100,train,K_exponential_disk,8.856389899016648,24.12777903871567,7.537919334963079,6.061732881040405,-15.27138913969902,1.3184705640535688,2.7946570179762427,True,False,False,8.856389899016648,24.12777903871567,-15.271389139699021,1.3184705640535688,2.7946570179762427,True,False,False,0.0,False,-1.7763568394002505e-15,True,0.0,False,0.0,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC0247,train,K_exponential_disk,6.561795274843639,15.203196129135998,3.866312004062215,5.475417572666649,-8.64140085429236,2.6954832707814234,1.0863777021769891,True,False,False,6.561795274843639,15.203196129135998,-8.64140085429236,2.6954832707814234,1.0863777021769891,True,False,False,0.0,False,0.0,False,0.0,False,0.0,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC0289,train,K_thick_flared,11.25730085922346,13.682647846404995,13.44827134683854,23.595309185371484,-2.425346987181536,-2.190970487615081,-12.338008326148024,True,True,True,11.257300859223461,13.682647846404995,-2.425346987181534,-2.190970487615079,-12.338008326148023,True,True,True,1.7763568394002505e-15,False,1.7763568394002505e-15,False,1.7763568394002505e-15,False,1.7763568394002505e-15,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC0300,train,K_exponential_disk,13.615448943697162,20.000053097718364,9.83189803567648,5.607034629923943,-6.384604154021202,3.7835509080206826,8.008414313773219,True,False,False,13.615448943697162,20.000053097718364,-6.384604154021202,3.7835509080206826,8.008414313773219,True,False,False,0.0,False,0.0,False,0.0,False,0.0,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC1090,train,K_thick_flared,13.765926902112865,17.684768458108984,15.259685358845738,18.76400943928791,-3.918841555996119,-1.4937584567328734,-4.998082537175046,True,True,True,13.765926902112863,17.684768458108984,-3.9188415559961207,-1.4937584567328752,-4.998082537175051,True,True,True,-1.7763568394002505e-15,True,-1.7763568394002505e-15,True,-1.7763568394002505e-15,True,-5.329070518200751e-15,True,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC1705,train,K_scale_tail_spiral,17.353386930958422,40.884651131584405,20.59864390810048,16.95201559286103,-23.531264200625984,-3.245256977142059,0.4013713380973911,True,True,False,17.353386930958422,40.884651131584405,-23.531264200625984,-3.245256977142059,0.4013713380973911,True,True,False,0.0,False,0.0,False,0.0,False,0.0,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC2683,holdout,K_thick_flared,9.441655141326386,12.426749788320713,10.314830339812676,14.151015414510422,-2.9850946469943267,-0.8731751984862903,-4.709360273184036,True,True,True,10.331859032359942,12.833413026373654,-2.5015539940137117,0.017028692547267354,-3.8191563821504797,True,False,True,0.8902038910335559,False,0.483540652980615,False,0.8902038910335577,False,0.8902038910335559,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
