radius_arcsec,radius_kpc_terminal_calibration,inclination_deg_source,signed_chi,projection_ratio_sq,projection_velocity_factor,endpoint_values_used
0,0,67.2,-5.53181641546e-15,1.07046172526,1.03463120254,False
12,1.20427605265,67.2,-5.53181641546e-15,1.07046172526,1.03463120254,False
24,2.4085521053,67.2,-5.53181641546e-15,1.07046172526,1.03463120254,False
36,3.61282815795,67.2,-5.53181641546e-15,1.07046172526,1.03463120254,False
48,4.8171042106,67.2,-5.53181641546e-15,1.07046172526,1.03463120254,False
60,6.02138026325,67.2,-5.53181641546e-15,1.07046172526,1.03463120254,False
72,7.2256563159,67.2,-5.53181641546e-15,1.07046172526,1.03463120254,False
84,8.42993236856,67.2,-5.53181641546e-15,1.07046172526,1.03463120254,False
120,12.0427605265,67.2,-5.53181641546e-15,1.07046172526,1.03463120254,False
150,15.0534506581,67.2,-5.53181641546e-15,1.07046172526,1.03463120254,False
180,18.0641407898,70.1,0.0396985486114,1.11367927183,1.05531003588,False
210,21.0748309214,67.6,-0.0134015560546,1.07670148345,1.03764227142,False
240,24.085521053,66.8,-0.0456941143701,1.06413606078,1.03156970718,False
270,27.0962111846,74.9,0.0952013739501,1.17413535569,1.08357526535,False
300,30.1069013163,68.4,-0.0214734888581,1.08891843209,1.04351254525,False
330,33.1175914479,70.4,0.0197793978409,1.11787440155,1.05729579662,False
375,37.6336266453,67.1,-0.0478131685628,1.06888831497,1.03387055039,False
