galaxy,family,morphology,bar_class,deprojected_bar_radius_kpc,deprojected_bar_radius_error_kpc,reversal_over_bar_radius,reversal_over_bar_radius_error,active_zone_inner_kpc,active_zone_outer_kpc,active_zone_rule,harmonic_non_circular_profile_status,source_url,uses_vobs_or_dark_discrepancy_residual,classification_source_supported,source_fields_complete,endpoint_eligible
NGC 613,K_bar_dominated_non_circular,SB(rs)b,SB,10.3,1.0,0.75,0.11,0.0,10.3,0 <= R <= source_deprojected_bar_radius,profile_in_figure_not_numeric_table,https://doi.org/10.1093/pasj/psz004,False,True,False,False
NGC 4303,K_bar_dominated_non_circular,SAB(rs)bc,SAB,2.97,0.3,1.22,0.2,0.0,2.97,0 <= R <= source_deprojected_bar_radius,profile_in_figure_not_numeric_table,https://doi.org/10.1093/pasj/psz004,False,True,False,False
NGC 4579,K_bar_dominated_non_circular,SB(rs)a,SB,3.62,0.36,1.37,0.19,0.0,3.62,0 <= R <= source_deprojected_bar_radius,central_outlier_Delta_2p9_profile_not_frozen,https://doi.org/10.1093/pasj/psz004,False,True,False,False
NGC 5248,K_bar_dominated_non_circular,SAB(s)bc,SAB,1.78,0.18,1.61,0.27,0.0,1.78,0 <= R <= source_deprojected_bar_radius,bar_length_literature_ambiguity,https://doi.org/10.1093/pasj/psz004,False,True,False,False
NGC 7479,K_bar_dominated_non_circular,SB(rs)b,SB,10.2,1.0,1.09,,0.0,10.2,0 <= R <= source_deprojected_bar_radius,bar_region_residual_about_20_km_s_qualitative,https://doi.org/10.1093/pasj/psz004,False,True,False,False
