galaxy,radius_kpc,velocity_km_s,velocity_error_km_s,v_gas_km_s,v_star_km_s,v_baryon_newton_km_s,figure_file,coordinate_calibration_uses_published_vobs
CVnIdwA,0.190000609551,3.969997781346,2.7299960788739996,3.8733056526449565,0.5538453052230119,3.9127025571756593,rMD_DH_DM_profiles_cvnidwa.pdf,True
CVnIdwA,0.370000160705,6.12000610173,2.270000048898,6.5823577414458505,1.1790043775039747,6.68711333525503,rMD_DH_DM_profiles_cvnidwa.pdf,True
CVnIdwA,0.5600007702559999,7.540007284403999,2.0599966928519997,8.33938136202258,1.7400139499778886,8.518974706346254,rMD_DH_DM_profiles_cvnidwa.pdf,True
CVnIdwA,0.74000032141,9.040010877708,1.7900093599799998,8.2131217001103,1.955691985100155,8.442754242627679,rMD_DH_DM_profiles_cvnidwa.pdf,True
CVnIdwA,0.930000930961,10.20999561159,1.829998677864,8.002939279467693,1.955691985100155,8.238432390414566,rMD_DH_DM_profiles_cvnidwa.pdf,True
CVnIdwA,1.1100004821149998,12.00999041361,1.610009879778,8.139341534485702,2.0253461862622912,8.387544801025582,rMD_DH_DM_profiles_cvnidwa.pdf,True
CVnIdwA,1.300001091666,13.609991076486,1.6300045387199995,7.719696434870126,1.9552664676692841,7.963465326485602,rMD_DH_DM_profiles_cvnidwa.pdf,True
CVnIdwA,1.48000064282,17.320010741862,1.680003073506,7.44183834963306,1.885806362694261,7.6770582686109305,rMD_DH_DM_profiles_cvnidwa.pdf,True
CVnIdwA,1.6699988148719995,21.180002236734,1.6999977324479998,7.370484328573539,1.955035084867748,7.625365658170891,rMD_DH_DM_profiles_cvnidwa.pdf,True
CVnIdwA,1.8500008035249995,24.059993919965997,2.20000685517,8.003503733249925,2.096500983738266,8.273535422234017,rMD_DH_DM_profiles_cvnidwa.pdf,True
CVnIdwA,2.039998975577,26.45000947224,2.710001419932,8.634077650804732,2.2366206019256354,8.919067697752045,rMD_DH_DM_profiles_cvnidwa.pdf,True
CVnIdwA,2.2200009642299996,25.919996473674,1.979994282222,8.424523100102565,2.5188068584383556,8.793007304345757,rMD_DH_DM_profiles_cvnidwa.pdf,True
CVnIdwA,2.409999136282,23.810001246036,2.480003404944,8.423446012389542,2.589600781192633,8.812518081093211,rMD_DH_DM_profiles_cvnidwa.pdf,True
CVnIdwA,2.589998687436,23.580003231048,2.0599966928519997,8.215066005567603,2.7979807880145726,8.678479473152604,rMD_DH_DM_profiles_cvnidwa.pdf,True
DDO_126,0.130000595186,3.2100101536650003,2.9199991108400005,1.4298671782124743,0.7189219427876298,1.6004277263128266,rMD_DH_DM_profiles_ddo126.pdf,True
DDO_126,0.270001463543,7.119993591480001,1.7899814331000004,2.8065876959574014,1.4072571931129954,3.139634899581119,rMD_DH_DM_profiles_ddo126.pdf,True
DDO_126,0.3999991026919999,8.66999523971,1.480004319815,3.698576898425984,2.099490327047226,4.2529202563574175,rMD_DH_DM_profiles_ddo126.pdf,True
DDO_126,0.5299996978779999,12.5499908779,2.6299880680150003,3.731288524518859,2.8180757417783653,4.675902580209067,rMD_DH_DM_profiles_ddo126.pdf,True
DDO_126,0.6700005662349999,12.110002143015,2.9600086396300003,5.206342649453125,3.3097937948192513,6.169338598888751,rMD_DH_DM_profiles_ddo126.pdf,True
DDO_126,0.800001161421,14.36001576933,3.039989003275,7.475321175523924,3.804124915648347,8.387597573268101,rMD_DH_DM_profiles_ddo126.pdf,True
DDO_126,0.92999880057,16.760007087705002,2.6900023612000004,8.524938544044376,4.217388891730836,9.511095953875563,rMD_DH_DM_profiles_ddo126.pdf,True
DDO_126,1.059999395756,19.450009448905,3.120008060855,8.92061384840055,4.514170527379983,9.997754096923055,rMD_DH_DM_profiles_ddo126.pdf,True
DDO_126,1.200000264113,19.98998331183,3.0599937676700004,9.215883951005182,4.71106693897198,10.350201384604539,rMD_DH_DM_profiles_ddo126.pdf,True
DDO_126,1.330000859299,22.550012745365,2.6799806320350004,10.328206874217392,4.916917488294334,11.438878215250218,rMD_DH_DM_profiles_ddo126.pdf,True
DDO_126,1.460001454485,23.889983714415003,2.7899874892400005,10.921770145515685,5.11475514047242,12.060090516180496,rMD_DH_DM_profiles_ddo126.pdf,True
DDO_126,1.599999366805,25.8699910623,2.51998121081,10.831341596258776,5.217556484999232,12.022514564308215,rMD_DH_DM_profiles_ddo126.pdf,True
DDO_126,1.7299999619909998,27.629984695775,1.6600085054350002,11.225959450823153,5.316475184777168,12.42123480101222,rMD_DH_DM_profiles_ddo126.pdf,True
DDO_126,1.860000557177,29.679989372075003,1.930014783865,11.42379710300124,5.415419168248229,12.642385258263959,rMD_DH_DM_profiles_ddo126.pdf,True
DDO_126,2.0000014255339997,30.720004957005003,2.120002004715,11.640566621961826,5.617922437054742,12.925317937640639,rMD_DH_DM_profiles_ddo126.pdf,True
DDO_126,2.1299990646829996,33.369997789415,2.390008283145,12.62895172914485,5.71658771863562,13.862532125190056,rMD_DH_DM_profiles_ddo126.pdf,True
DDO_126,2.259999659869,34.76000001642,2.92998214607,13.321433826532191,5.71658771863562,14.496205515221275,rMD_DH_DM_profiles_ddo126.pdf,True
DDO_126,2.390000255055,34.23999222395501,2.5599907396,14.551982917739066,5.718425983658937,15.63523592942413,rMD_DH_DM_profiles_ddo126.pdf,True
DDO_126,2.5300011234119997,36.63998354233001,2.9499869104650003,15.73195595268115,5.8167617534421625,16.77286962309692,rMD_DH_DM_profiles_ddo126.pdf,True
DDO_126,2.660001718598,36.740007364305,3.3399830813300007,16.523304465033856,5.915680317486252,17.550352248969308,rMD_DH_DM_profiles_ddo126.pdf,True
DDO_126,2.789999357747,37.97001017008501,3.23001491806,17.038529210237606,6.117177650716474,18.103351625004283,rMD_DH_DM_profiles_ddo126.pdf,True
DDO_126,2.9300002261039997,38.740019476585005,3.1400128252500004,17.333530392491703,6.117177650716474,18.381271399929297,rMD_DH_DM_profiles_ddo126.pdf,True
DDO_126,3.0600008212899996,38.50998403301,2.87998958205,17.728927400966377,6.018484352082537,18.722633914195907,rMD_DH_DM_profiles_ddo126.pdf,True
DDO_126,3.190001416476,37.619984834075005,2.4899934111850004,17.627720664363384,5.91550748645047,18.593809847448572,rMD_DH_DM_profiles_ddo126.pdf,True
DDO_126,3.329999328796,37.67001609203,2.7899874892400005,17.13606361083095,5.8171760757439825,18.09652490315897,rMD_DH_DM_profiles_ddo126.pdf,True
DDO_126,3.4599999239819996,37.100015735545,2.359981789585,17.133859240390205,5.718293990038224,18.062890649782833,rMD_DH_DM_profiles_ddo126.pdf,True
DDO_126,3.5900005191679996,37.349978555645,2.219987132755,17.33044026742997,5.71658771863562,18.248932434742965,rMD_DH_DM_profiles_ddo126.pdf,True
DDO_126,3.720001114354,37.709986926885,2.28000142594,17.03368666401744,5.71658771863562,17.967355301011366,rMD_DH_DM_profiles_ddo126.pdf,True
DDO_126,3.859999026674,37.49001190641,2.079992475925,16.73866670249228,5.71658771863562,17.68791503038104,rMD_DH_DM_profiles_ddo126.pdf,True
DDO_133,0.18000063,5.1700105335919995,1.30999503385,1.4257036479941223,1.2113872671798247,1.8708527475429892,rMD_DH_DM_profiles_ddo133.pdf,True
DDO_133,0.37000038,12.910010733592,1.689990343669,2.915512469364406,2.4784639110305413,3.82661682394516,rMD_DH_DM_profiles_ddo133.pdf,True
DDO_133,0.54999918,20.919982140568003,1.569981640568,4.868176014475347,3.608945078449813,6.0600018388759755,rMD_DH_DM_profiles_ddo133.pdf,True
DDO_133,0.72999981,25.570019460724,1.75001404522,7.187080639792292,4.246429787228217,8.34783169815589,rMD_DH_DM_profiles_ddo133.pdf,True
DDO_133,0.91999956,26.389995081912,1.86998404832,7.940247977053422,4.985791491799678,9.375801551696954,rMD_DH_DM_profiles_ddo133.pdf,True
DDO_133,1.10000019,28.129985826873,1.880007348579,8.57397428625854,5.619491129105908,10.251425052719384,rMD_DH_DM_profiles_ddo133.pdf,True
DDO_133,1.2800008200000002,31.360004010336,1.639989942377,9.31217539144722,5.938067566843363,11.044331439678556,rMD_DH_DM_profiles_ddo133.pdf,True
DDO_133,1.47000057,34.789985098966,1.980008151163,10.893263367887382,6.045006081011666,12.45814132692454,rMD_DH_DM_profiles_ddo133.pdf,True
DDO_133,1.64999937,38.600000197416,1.939992350129,12.265894061564556,6.255684407676565,13.769013927582916,rMD_DH_DM_profiles_ddo133.pdf,True
DDO_133,1.83,41.48001557183501,1.439988337209,13.427707794619812,6.361612618584633,14.85844715058168,rMD_DH_DM_profiles_ddo133.pdf,True
DDO_133,2.01999975,41.619993475452006,1.450011637468,14.274514672385086,6.4673251901353925,15.671249607070168,rMD_DH_DM_profiles_ddo133.pdf,True
DDO_133,2.20000038,42.279983292506,1.550012440052,14.697263881575077,6.783633324447514,16.18725568727467,rMD_DH_DM_profiles_ddo133.pdf,True
DDO_133,2.38000101,43.170005915504,1.730006144703,15.224888366682471,6.889431538847232,16.71111883466832,rMD_DH_DM_profiles_ddo133.pdf,True
DDO_133,2.57000076,44.88000415969,1.639989942377,16.281488140821452,6.783915661123599,17.63826430737865,rMD_DH_DM_profiles_ddo133.pdf,True
DDO_133,2.74999956,46.730019007494,1.459996237726,17.335947300900212,6.678500872296772,18.577875086264793,rMD_DH_DM_profiles_ddo133.pdf,True
DDO_133,2.9300001900000003,46.13001419199001,1.5899895410850002,17.546409013596634,6.678500872296772,18.77441991577087,rMD_DH_DM_profiles_ddo133.pdf,True
DDO_133,3.11999994,43.9399811354,1.759998645478,17.333923749666297,6.678854051964653,18.57611380258772,rMD_DH_DM_profiles_ddo133.pdf,True
DDO_133,3.3000005700000004,45.469985674935,2.0800089537470003,16.810439686581443,6.784784137350756,18.127994324983636,rMD_DH_DM_profiles_ddo133.pdf,True
DDO_154,4.01999908002,46.89999158698,3.710008138644,15.024587177488097,2.5965230792770537,15.247299825056178,rMD_DH_DM_profiles_ddo154.pdf,True
DDO_154,4.16000029662,47.369982091336,3.650003291944,14.67017935342455,2.3602511965680217,14.858834004475073,rMD_DH_DM_profiles_ddo154.pdf,True
DDO_154,4.309999651545,48.00001264106,4.179998643,14.663330207638385,2.1084844829394074,14.814147278633241,rMD_DH_DM_profiles_ddo154.pdf,True
DDO_154,4.44999814014,48.360001040008,4.720001582048,15.25399840467389,2.2266181223465087,15.415650994770072,rMD_DH_DM_profiles_ddo154.pdf,True
DDO_154,4.58999935674,48.029994723784,4.5499946299400005,15.645641477912811,2.4775616234977513,15.840593702687238,rMD_DH_DM_profiles_ddo154.pdf,True
DDO_154,4.739998711665,48.330018957284,4.530020135208,15.768667399648029,3.0996916496388236,16.070437451530783,rMD_DH_DM_profiles_ddo154.pdf,True
DDO_154,4.879999928265,47.959982289092,4.630014652624,15.768667399648029,3.3359947327627593,16.11768384159906,rMD_DH_DM_profiles_ddo154.pdf,True
DDO_154,5.01999841686,46.980011609664,4.6800119113320005,15.522508544250439,3.4647483071117824,15.904488433708323,rMD_DH_DM_profiles_ddo154.pdf,True
DDO_154,5.1700004997899995,48.61999492154,4.809988511472,15.522508544250439,3.582282494316429,15.930505935952374,rMD_DH_DM_profiles_ddo154.pdf,True
DDO_154,5.309998988385,48.530007992116005,4.709993994056,15.518969359801233,3.583083173602275,15.927237520028426,rMD_DH_DM_profiles_ddo154.pdf,True
DDO_154,5.450000204985,47.310017925888,5.019985134296,15.282666276677297,3.464946654486787,15.670537445880045,rMD_DH_DM_profiles_ddo154.pdf,True
DDO_154,5.5999995599100005,45.97001816626,5.16001000368,15.399793733485518,3.092534830035864,15.70724096424591,rMD_DH_DM_profiles_ddo154.pdf,True
DDO_154,5.739998048505,46.000000248983994,4.969987875588,15.517619285805894,3.102312103787795,15.82469110878703,rMD_DH_DM_profiles_ddo154.pdf,True
DDO_154,5.879999265105,46.419993494632,5.490016319904,15.399453299705357,3.3386140312428494,15.757204878385565,rMD_DH_DM_profiles_ddo154.pdf,True
DDO_154,6.02999862003,47.649991148852,5.249996933104,15.52597814098411,2.357621754609337,15.703960569618214,rMD_DH_DM_profiles_ddo154.pdf,True
DDO_154,6.16999983663,46.450016258608,4.780006428748,15.644114660099596,2.4757582737248245,15.83880369624739,rMD_DH_DM_profiles_ddo154.pdf,True
DDO_154,6.309998325224999,46.45998316534801,5.740002613444,16.14071767563597,2.3484342780599863,16.31066861422163,rMD_DH_DM_profiles_ddo154.pdf,True
DDO_154,6.460000408155,47.319984832628,5.769984696168,16.258252396601684,2.1133648361285537,16.39503223303294,rMD_DH_DM_profiles_ddo154.pdf,True
DDO_154,6.599998896750001,45.66999393276,6.180011035075999,16.267566550981325,2.600279715262399,16.474075879642278,rMD_DH_DM_profiles_ddo154.pdf,True
DDO_154,6.740000113350001,45.260008275104,5.949999236268,16.740112627443274,2.600279715262399,16.940862592474176,rMD_DH_DM_profiles_ddo154.pdf,True
DDO_154,6.889999468275,46.880017092248,5.40999629722,17.24739982191195,2.9704390336148347,17.501323054823914,rMD_DH_DM_profiles_ddo154.pdf,True
DDO_154,7.02999795687,47.259979985928,5.5800032493280005,18.192503603473984,3.4430359908571266,18.515444477428876,rMD_DH_DM_profiles_ddo154.pdf,True
DDO_154,7.179997311795001,45.750013955444,4.759991252764,19.327037974527297,3.583674363053801,19.65647778238078,rMD_DH_DM_profiles_ddo154.pdf,True
DDO_154,7.319998528395001,47.859987771676,5.65998259076,19.56024441901183,3.4617887621376786,19.864217658018806,rMD_DH_DM_profiles_ddo154.pdf,True
DDO_154,7.459999744995,50.749983913756,6.539999434024,18.733258740310465,3.4617887621376786,19.050432133289817,rMD_DH_DM_profiles_ddo154.pdf,True
DDO_154,7.60999909992,51.129987488688,5.120020332964,18.47224755359558,3.6496297550232297,18.82933156089373,rMD_DH_DM_profiles_ddo154.pdf,True
DDO_154,7.75000031652,48.569997662832,6.920003008956,18.235975670886543,0.10537124591158209,18.23628009679142,rMD_DH_DM_profiles_ddo154.pdf,True
DDO_168,0.2399995852459999,4.92998153976,3.66001137576,6.886456704878999,2.1032835169573354,7.200492170739257,rMD_DH_DM_profiles_ddo168.pdf,True
DDO_168,0.360000743878,7.62000371352,2.0700209124,11.69380321409625,3.4588122372144703,12.194606008490489,rMD_DH_DM_profiles_ddo168.pdf,True
DDO_168,0.4799991704919999,12.77998080912,2.12002789104,14.783194269991016,4.692690636873842,15.510131470677436,rMD_DH_DM_profiles_ddo168.pdf,True
DDO_168,0.600000329124,19.46002387176,2.9800139220000004,16.510556632514092,5.925706439289248,17.54173529386671,rMD_DH_DM_profiles_ddo168.pdf,True
DDO_168,0.730000673636,25.670025699120004,2.93999615712,17.37427645230468,6.788560663615026,18.65341893929073,rMD_DH_DM_profiles_ddo168.pdf,True
DDO_168,0.84999910025,28.349997749280003,2.33997332328,18.241203222042042,7.4038781660929756,19.68651586457556,rMD_DH_DM_profiles_ddo168.pdf,True
DDO_168,0.970000258882,31.22000850024,2.5700297889600003,19.718507773941656,7.773951756402453,21.195609798773667,rMD_DH_DM_profiles_ddo168.pdf,True
DDO_168,1.090001417514,34.26001861464,3.2500272427200003,20.81371504066003,8.142775848978118,22.34984412295752,rMD_DH_DM_profiles_ddo168.pdf,True
DDO_168,1.209999844128,37.9099798668,3.72000756816,20.44671737677072,8.387946786400454,22.100359788406692,rMD_DH_DM_profiles_ddo168.pdf,True
DDO_168,1.33000100276,40.62996968184,4.79001072744,20.32513016095365,8.511293873692397,22.035268082418725,rMD_DH_DM_profiles_ddo168.pdf,True
DDO_168,1.449999429374,44.63996899824001,4.2900018508799995,20.310703831972763,8.634638474798138,22.06992686305456,rMD_DH_DM_profiles_ddo168.pdf,True
