zone,error_floor_km_s,chi2,dof,max_absolute_z
0,0.0,33664.86149997998,5,100.82636894935773
0,1.0,10947.129399032012,5,60.57580702540138
0,3.0,2325.1187458192426,5,28.932140479536333
0,5.0,959.4992990288712,5,18.549979791033266
0,10.0,278.0436648534212,5,10.540519418021788
1,0.0,442.6633321861354,5,13.751182224890346
1,1.0,137.6044434655308,5,8.066119475224992
1,3.0,40.24650761773333,5,4.512030696882275
1,5.0,18.48776211977024,5,3.1194994576873856
1,10.0,5.509130466539226,5,1.6417478433642285
2,0.0,184.41314428739912,5,10.918312757196414
2,1.0,119.78755843727603,5,8.83767679233233
2,3.0,44.91371811683619,5,4.2378594961217555
2,5.0,23.51371257403071,5,2.9155372635611347
2,10.0,8.017869340058489,5,1.7221308919011762
3,0.0,154.71203832199018,5,10.826020267183026
3,1.0,85.50503200496985,5,8.13931833017563
3,3.0,42.17553981057661,5,5.1585843630500925
3,5.0,29.12177753283345,5,4.066259402328472
3,10.0,13.36808947487752,5,2.619948064829215
4,0.0,94.8174097074974,5,5.994071226034609
4,1.0,51.38714195732628,5,6.679597164469207
4,3.0,36.597009368534884,5,5.72945954213307
4,5.0,25.043963510957465,5,4.679820046002452
4,10.0,11.436825115706934,5,3.065886996685501
