gate,pass
source_only_rank_frozen,True
both_ghasp_halpha_sides,True
whisp_graphical_source_available,True
low_disturbance_primary_replication,False
independent_machine_readable_hi_radial_sides_acquired,False
side_curve_not_symmetry_targeted,False
