star_scale,h2_scale,height_pc,rmse_newton_km_s,rmse_tpg_v6_km_s,rmse_mond_km_s,spearman_delta_v2_tpg,spearman_delta_v2_mond
0.7,0.7,100,43.77611468692091,12.937804149650901,13.121552414604547,1.0,1.0
0.7,0.7,300,45.15633548317207,10.75309128473904,10.150742826495737,1.0,1.0
0.7,0.7,600,48.69384321791169,11.522871515144402,9.755815937220571,1.0,1.0
0.7,1.0,100,41.09791756956758,12.572199737971937,13.29949626497137,0.990909090909091,0.990909090909091
0.7,1.0,300,42.42650148078869,9.657516389358815,9.676748726640081,1.0,1.0
0.7,1.0,600,45.965192363117666,9.421613734612263,7.892161236232959,1.0,1.0
0.7,1.3,100,38.566811820823375,12.84695382352328,14.086614800824263,0.990909090909091,0.990909090909091
0.7,1.3,300,39.82111190008195,9.308516728801946,10.026623812589122,1.0,1.0
0.7,1.3,600,43.33583359816564,7.72680314515196,6.699148314114118,1.0,1.0
1.0,0.7,100,30.303093211502187,17.520827068412245,19.90310220952307,0.990909090909091,0.990909090909091
1.0,0.7,300,30.972308544551723,12.943396243483402,15.279154209143595,0.990909090909091,0.990909090909091
1.0,0.7,600,34.138881405643644,6.91519048566524,8.848451185219004,1.0,1.0
1.0,1.0,100,28.484394358016583,19.335757676122242,21.89588749368275,0.990909090909091,0.990909090909091
1.0,1.0,300,28.92387114308843,14.785774620162126,17.31987822615052,0.990909090909091,0.990909090909091
1.0,1.0,600,31.903150475737153,8.576163819394027,10.848163874816708,1.0,1.0
1.0,1.3,100,26.86754263420543,21.25448145413981,23.95876151078748,0.9727272727272729,0.9727272727272729
1.0,1.3,300,27.03201542219565,16.74102068477732,19.426602134295486,0.990909090909091,0.990909090909091
1.0,1.3,600,29.76794198445121,10.451429682098718,12.937860547064396,1.0,1.0
1.3,0.7,100,22.525754077729342,28.601085600741907,31.65478064659402,0.9090909090909091,0.9090909090909091
1.3,0.7,300,21.10786026489668,23.989843130475208,27.040579317768753,0.9454545454545454,0.9454545454545454
1.3,0.7,600,22.303563694550206,17.306016322141268,20.250601872827005,0.990909090909091,0.990909090909091
1.3,1.0,100,22.024718376691187,30.63330645175045,33.7651742814986,0.9090909090909091,0.9090909090909091
1.3,1.0,300,20.114938566790954,26.03673345175223,29.162802388493652,0.9090909090909091,0.9090909090909091
1.3,1.0,600,20.67953627600252,19.330258210434387,22.350737803549144,0.990909090909091,0.990909090909091
1.3,1.3,100,21.80806639434235,32.664357727384555,35.86728742070915,0.9090909090909091,0.9090909090909091
1.3,1.3,300,19.392241473659688,28.07378890773419,31.26872090973272,0.9090909090909091,0.9090909090909091
1.3,1.3,600,19.22486782122972,21.334549314744084,24.424827659172056,0.9454545454545454,0.9454545454545454
