field,required,scope,manifest_source_field,availability_status,n_applicable_rows,n_available_rows,coverage_fraction,accepted_ready,required_next_action
galaxy,True,all,galaxy,accepted_available,175,175,1.0,True,keep as pre-scoring catalog/geometry input
formula_family,True,all,formula_family,proxy_available,175,175,1.0,False,replace proxy with accepted residual-blind morphology observable
manifest_confidence,True,all,manifest_confidence,proxy_available,175,175,1.0,False,replace proxy with accepted residual-blind morphology observable
manifest_caveat,True,all,manifest_caveat,proxy_available,175,175,1.0,False,replace proxy with accepted residual-blind morphology observable
inclination_deg,True,primary quality gate,inclination_deg,accepted_available,175,175,1.0,True,keep as pre-scoring catalog/geometry input
distance_frac_error,True,secondary quality gate,distance_frac_error,accepted_available,175,175,1.0,True,keep as pre-scoring catalog/geometry input
scale_radius_kpc,True,K_scale_tail_spiral; K_exponential_disk; K_thick_flared,scale_radius_proxy_kpc,proxy_available,146,146,1.0,False,replace proxy with accepted residual-blind morphology observable
tail_inner_radius_kpc,True,K_scale_tail_spiral,tail_inner_radius_proxy_kpc,proxy_available,80,80,1.0,False,replace proxy with accepted residual-blind morphology observable
tail_cutoff_radius_kpc,True,K_scale_tail_spiral,tail_cutoff_radius_proxy_kpc,proxy_available,80,80,1.0,False,replace proxy with accepted residual-blind morphology observable
compact_support_radius_kpc,True,K_compact_finite,compact_support_radius_proxy_kpc,proxy_available,29,29,1.0,False,replace proxy with accepted residual-blind morphology observable
thickness_h_over_rs,True,K_thick_flared,thickness_h_over_rs_proxy,proxy_available,34,34,1.0,False,replace proxy with accepted residual-blind morphology observable
ring_radius_kpc,False,K_ring_resonance,ring_radius_proxy_kpc,not_in_current_family_set,0,0,0.0,False,not applicable to current 1D SPARC first-pass family set
bar_m2_strength,False,K_barred_m2,bar_m2_proxy,not_in_current_family_set,0,0,0.0,False,not applicable to current 1D SPARC first-pass family set
lopsided_m1_strength,False,K_lopsided_m1,lopsided_m1_proxy,not_in_current_family_set,0,0,0.0,False,not applicable to current 1D SPARC first-pass family set
observable_provenance,True,all,parameter_source,proxy_available,175,175,1.0,False,replace proxy with accepted residual-blind morphology observable
