radius_kpc,median,q05,q95,positive_fraction
0.4763289942549633,0.819264980097212,0.5888066309962323,1.301743613780937,0.3333333333333333
1.4289869827648898,0.8392879935513655,0.565025602604313,1.371677690512947,0.2962962962962963
2.381644971274816,1.0534679635115625,0.7735302553452047,1.5698260522195264,0.5925925925925926
3.334302959784743,1.1282423495186855,0.8662185499444844,1.621888515101257,0.7777777777777778
4.286960948294669,1.1888723318457797,0.9195242346669842,1.6801429934481429,0.8148148148148148
5.239618936804596,1.3218808191245175,1.020257486570665,1.7999256946965585,0.9629629629629629
6.1922769253145225,1.4324661910931644,1.1128332720590222,1.9516498374015614,1.0
7.144934913824449,1.430399206232637,1.114700511757702,1.9439075731909476,1.0
8.097592902334375,1.5700509101985225,1.2336411058603627,2.1226333299940445,1.0
9.050250890844302,1.7421407100845263,1.3760245767898296,2.3369625292951577,1.0
10.002908879354228,2.124184675529869,1.6836077789605832,2.807378711549854,1.0
