amplitude_path_id,family_weight,global_weight,split,n_galaxies,matched_beats_wrong_fraction,matched_rank1_fraction,matched_beats_tpg_v6_fraction,matched_beats_mond_fraction,mean_matched_minus_wrong,median_matched_minus_wrong,mean_matched_minus_tpg_v6,median_matched_minus_tpg_v6,mean_matched_minus_mond,median_matched_minus_mond,specificity_ok,mond_win_ok,tpg_win_ok,tradeoff_score
shrink_family_weight_0.50,0.5,0.5,holdout,44,0.8636363636363636,0.29545454545454547,0.4772727272727273,0.6363636363636364,-10.30062133362194,-6.92272541102798,0.45642183403574704,0.2686631544826996,-0.014823410751015453,-0.5040273721667554,True,True,False,1.9772727272727273
shrink_family_weight_0.45,0.45,0.55,holdout,44,0.8409090909090909,0.29545454545454547,0.4772727272727273,0.6136363636363636,-9.443793432124478,-6.283320718185032,0.3852547341565659,0.19251471682816845,-0.08599051063019646,-0.7575673265588332,True,True,False,1.9318181818181819
shrink_family_weight_0.40,0.4,0.6,holdout,44,0.8181818181818182,0.2727272727272727,0.4772727272727273,0.6136363636363636,-8.554211380757708,-5.470945659132824,0.31674589263766767,0.12445781532866951,-0.15449935214909485,-0.9502140299745498,True,True,False,1.9090909090909092
shrink_family_weight_0.55,0.55,0.44999999999999996,holdout,44,0.8636363636363636,0.2727272727272727,0.4772727272727273,0.5681818181818182,-11.131805973057679,-7.546871944064147,0.5301171108269451,0.35246832291524566,0.058871866040182595,-0.5090014449890505,True,False,False,1.9090909090909092
shrink_family_weight_0.60,0.6,0.4,holdout,44,0.8636363636363636,0.29545454545454547,0.4772727272727273,0.5454545454545454,-11.942583916749465,-8.313685184755643,0.6062425305077948,0.40752411257214227,0.13499728572103245,-0.44808845701752853,True,False,False,1.8863636363636365
shrink_family_weight_0.65,0.65,0.35,holdout,44,0.8636363636363636,0.29545454545454547,0.4772727272727273,0.5454545454545454,-12.732599773134934,-9.106421584803671,0.6847216500594896,0.4575550648340285,0.21347640527272713,-0.31583795162762973,True,False,False,1.8863636363636365
shrink_family_weight_0.35,0.35,0.65,holdout,44,0.8181818181818182,0.2727272727272727,0.4772727272727273,0.5681818181818182,-7.626180686271241,-4.385767454943403,0.25107128705638676,0.06492125103816315,-0.22017395773037568,-0.9837729330894485,True,False,False,1.8636363636363638
shrink_family_weight_0.70,0.7,0.30000000000000004,holdout,44,0.8636363636363636,0.29545454545454547,0.4772727272727273,0.5227272727272727,-13.500515578808205,-9.888949467250093,0.7654920089595362,0.5106786013574305,0.29424676417277357,-0.20527017880426435,True,False,False,1.8636363636363635
shrink_family_weight_0.75,0.75,0.25,holdout,44,0.8863636363636364,0.29545454545454547,0.4772727272727273,0.5,-14.246500427374071,-10.661541103785925,0.8484997672846444,0.5667157173960851,0.3772545224978819,-0.09269511147979337,True,False,False,1.8636363636363635
shrink_family_weight_0.80,0.8,0.19999999999999996,holdout,44,0.8863636363636364,0.29545454545454547,0.4772727272727273,0.5,-14.971484594671345,-11.42447750821817,0.9336960663987711,0.5888184623541322,0.46245082161200873,-0.009498460283258403,True,False,False,1.8636363636363635
shrink_family_weight_0.85,0.85,0.15000000000000002,holdout,44,0.8863636363636364,0.29545454545454547,0.4772727272727273,0.5,-15.676598850289814,-12.178037982481232,1.0210346815786806,0.602829905994009,0.5497894367919179,-0.0007476673877402362,True,False,False,1.8636363636363635
shrink_family_weight_0.90,0.9,0.09999999999999998,holdout,44,0.8863636363636364,0.29545454545454547,0.4772727272727273,0.4772727272727273,-16.362976713746896,-12.793998881794419,1.1104706140923295,0.616855280819387,0.6392253693055674,0.010522662758645218,True,False,False,1.840909090909091
shrink_family_weight_0.95,0.95,0.050000000000000044,holdout,44,0.8863636363636364,0.29545454545454547,0.4772727272727273,0.4772727272727273,-17.03169652141751,-13.388683403263673,1.20195933332225,0.6308945311314456,0.7307140885354876,0.07494483505172411,True,False,False,1.840909090909091
shrink_family_weight_1.00,1.0,0.0,holdout,44,0.8863636363636364,0.29545454545454547,0.4772727272727273,0.4772727272727273,-17.683782764040107,-13.974199559618805,1.295456434467637,0.6449476015984881,0.824211189680875,0.17340059130903462,True,False,False,1.840909090909091
shrink_family_weight_0.25,0.25,0.75,holdout,44,0.7727272727272727,0.25,0.5681818181818182,0.5454545454545454,-5.646794505639811,-2.2199316313867765,0.12926396035403087,-0.07665113996095707,-0.34198128443273157,-0.7468268198287156,False,False,True,1.8863636363636362
shrink_family_weight_0.20,0.2,0.8,holdout,44,0.7045454545454546,0.25,0.5681818181818182,0.5454545454545454,-4.595389978599926,-1.783428668426116,0.07387429818786936,-0.16909172932237393,-0.39737094659889305,-0.847277255089673,False,False,True,1.8181818181818183
shrink_family_weight_0.30,0.3,0.7,holdout,44,0.7727272727272727,0.2727272727272727,0.4772727272727273,0.5681818181818182,-6.656319516051499,-3.01188930213356,0.1884700841674781,0.014321949464574768,-0.2827751606192843,-0.7767898505840796,False,False,False,1.8181818181818181
shrink_family_weight_0.15,0.15,0.85,holdout,44,0.6818181818181818,0.25,0.5681818181818182,0.5454545454545454,-3.49453486645598,-1.1168541651647264,0.022832016892546658,-0.1944241268498521,-0.44841322789421595,-1.20712301317955,False,False,True,1.7954545454545454
shrink_family_weight_0.05,0.05,0.95,holdout,44,0.6136363636363636,0.2727272727272727,0.5681818181818182,0.5681818181818182,-1.2267847037836475,-0.48779716205037804,-0.06312088787910242,-0.1659920035623781,-0.5343661326658649,-1.6125698951809353,False,False,True,1.75
shrink_family_weight_0.10,0.1,0.9,holdout,44,0.6363636363636364,0.2727272727272727,0.5681818181818182,0.5454545454545454,-2.3658208370373575,-0.814235797823716,-0.023205311955804612,-0.17374454023068386,-0.49445055674256705,-1.530876813882407,False,False,True,1.75
