GalaxyName,Class,NPoints,mond_simple_mu,newtonian_baryonic,projection_fixed,rar_mcgaugh,tau_core_s_class,tau_core_s_continuous,tau_core_s_evidence,tau_core_s_soft
CamB,A,9,1.04468285518,0.335145385039,0.963585384466,1.04397398778,0.963585384466,0.91081279148,0.963585384466,0.916207993928
D631-7,B,16,0.370418785598,0.759610847642,0.355456364864,0.369545826633,0.390549340013,0.390549340013,0.390549340013,0.335755938141
DDO064,B,14,0.171540990704,0.92861356128,0.261665917574,0.171214207807,0.478951021934,0.478951021934,0.478951021934,0.341956425968
DDO154,A,12,0.171818952548,0.849605581021,0.13881204053,0.171311799188,0.13881204053,0.146789824671,0.13881204053,0.144895892904
DDO161,B,31,0.355733356997,0.521191892328,0.294406025944,0.35476645498,0.146362801504,0.146362801504,0.146362801504,0.180984845317
DDO168,B,10,0.25102120081,0.575897309977,0.227660093752,0.249707156593,0.236872869673,0.236872869673,0.236872869673,0.184254240947
DDO170,B,8,0.238736990497,0.706398118307,0.137697227267,0.238209364914,0.210536447165,0.210536447165,0.210536447165,0.0573298510129
ESO079-G014,A,15,0.113658117527,0.515076498736,0.116776650001,0.113603125073,0.116776650001,0.131532668696,0.116776650001,0.129587912954
ESO116-G012,A,15,0.0950118926277,0.668124140693,0.11848399418,0.0961678297963,0.11848399418,0.155674461525,0.11848399418,0.151706792361
F571-8,B,13,0.432136803532,0.705716142248,0.437470341103,0.426619837191,0.502991335969,0.502991335969,0.502991335969,0.455718569599
F574-1,B,14,0.137868687524,0.827241517365,0.163723221738,0.138274385647,0.416920095052,0.416920095052,0.416920095052,0.270757199439
F583-4,B,12,0.0916314518804,0.74705523138,0.0495130548319,0.0907984077213,0.300806375489,0.300806375489,0.300806375489,0.13972884889
IC2574,C,34,0.329941367076,0.678963601714,0.22128526041,0.329534403593,0.678963601714,0.444633485719,0.678963601714,0.128132770375
KK98-251,B,15,0.476016036471,0.466860255023,0.36709238679,0.475469439892,0.08559448318,0.08559448318,0.08559448318,0.223089262876
NGC0055,C,21,0.240688313203,0.482016649696,0.204516651145,0.239130735511,0.482016649696,0.3150732209,0.482016649696,0.0889155608987
NGC0247,B,26,0.0662841078882,0.719828493015,0.0664121896349,0.0659819103588,0.319782525963,0.319782525963,0.319782525963,0.171572168778
