audit_source,galaxy,available_best_model,split,formula_family,type_bin,manifest_confidence,manifest_caveat,matches_current_proxy_family,memory_history_proxy_class,source_memory_proxy_flags,claim_boundary
wide_fixed_tpg_proxy_ranks,KK98-251,FixedTPG,train,K_scale_tail_spiral,irregular_T_ge_9,0.85,large_distance_error,False,scale_tail_current_with_expdisk_readout_memory_candidate,distance_caveat;gas_rich_late_or_irregular;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,baseline_success_morphology_audit_not_endpoint_not_validation
wide_fixed_tpg_proxy_ranks,IC2574,FixedTPG,holdout,K_scale_tail_spiral,irregular_T_ge_9,1.0,none,False,scale_tail_current_with_expdisk_readout_memory_candidate,gas_rich_late_or_irregular;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,baseline_success_morphology_audit_not_endpoint_not_validation
wide_fixed_tpg_proxy_ranks,UGC04483,FixedTPG,train,K_scale_tail_spiral,irregular_T_ge_9,1.0,none,False,scale_tail_current_with_expdisk_readout_memory_candidate,gas_rich_late_or_irregular;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,baseline_success_morphology_audit_not_endpoint_not_validation
wide_fixed_tpg_proxy_ranks,DDO161,FixedTPG,train,K_scale_tail_spiral,irregular_T_ge_9,0.85,large_distance_error,False,scale_tail_current_with_expdisk_readout_memory_candidate,distance_caveat;gas_rich_late_or_irregular;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,baseline_success_morphology_audit_not_endpoint_not_validation
wide_fixed_tpg_proxy_ranks,NGC2366,FixedTPG,train,K_scale_tail_spiral,irregular_T_ge_9,1.0,none,False,scale_tail_current_with_expdisk_readout_memory_candidate,gas_rich_late_or_irregular;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,baseline_success_morphology_audit_not_endpoint_not_validation
wide_fixed_tpg_proxy_ranks,UGC05005,FixedTPG,train,K_scale_tail_spiral,irregular_T_ge_9,1.0,none,False,scale_tail_current_with_expdisk_readout_memory_candidate,gas_rich_late_or_irregular;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,baseline_success_morphology_audit_not_endpoint_not_validation
wide_fixed_tpg_proxy_ranks,UGC07577,Newtonian,holdout,K_scale_tail_spiral,irregular_T_ge_9,1.0,none,False,scale_tail_current_with_expdisk_readout_memory_candidate,gas_rich_late_or_irregular;rotation_current_proxy_mismatch,baseline_success_morphology_audit_not_endpoint_not_validation
wide_fixed_tpg_proxy_ranks,DDO170,FixedTPG,train,K_scale_tail_spiral,irregular_T_ge_9,0.85,large_distance_error,False,scale_tail_current_with_expdisk_readout_memory_candidate,distance_caveat;gas_rich_late_or_irregular;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,baseline_success_morphology_audit_not_endpoint_not_validation
wide_fixed_tpg_proxy_ranks,UGC05750,FixedTPG,train,K_exponential_disk,late_T_6_8,1.0,none,True,current_readout_consistent_no_memory_proxy_flag,none,baseline_success_morphology_audit_not_endpoint_not_validation
wide_fixed_tpg_proxy_ranks,CamB,Newtonian,holdout,K_scale_tail_spiral,irregular_T_ge_9,1.0,none,False,scale_tail_current_with_expdisk_readout_memory_candidate,gas_rich_late_or_irregular;rotation_current_proxy_mismatch,baseline_success_morphology_audit_not_endpoint_not_validation
wide_fixed_tpg_proxy_ranks,UGC07125,FixedTPG,train,K_scale_tail_spiral,irregular_T_ge_9,0.85,large_distance_error,False,scale_tail_current_with_expdisk_readout_memory_candidate,distance_caveat;gas_rich_late_or_irregular;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,baseline_success_morphology_audit_not_endpoint_not_validation
wide_fixed_tpg_proxy_ranks,UGC08837,Newtonian,train,K_scale_tail_spiral,irregular_T_ge_9,1.0,none,False,scale_tail_current_with_expdisk_readout_memory_candidate,gas_rich_late_or_irregular;rotation_current_proxy_mismatch,baseline_success_morphology_audit_not_endpoint_not_validation
wide_fixed_tpg_proxy_ranks,UGC01281,FixedTPG,train,K_exponential_disk,late_T_6_8,1.0,none,False,generic_current_vs_rotation_readout_mismatch_candidate,rotation_current_proxy_mismatch,baseline_success_morphology_audit_not_endpoint_not_validation
wide_fixed_tpg_proxy_ranks,NGC0289,FixedTPG,train,K_thick_flared,mid_T_3_5,0.75,large_distance_error;vertical_geometry_proxy_only,False,thick_flared_proxy_with_alternate_readout_memory_candidate,distance_caveat;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch;vertical_geometry_proxy_only,baseline_success_morphology_audit_not_endpoint_not_validation
wide_fixed_tpg_proxy_ranks,UGC04305,Newtonian,holdout,K_scale_tail_spiral,irregular_T_ge_9,1.0,none,False,scale_tail_current_with_expdisk_readout_memory_candidate,gas_rich_late_or_irregular;rotation_current_proxy_mismatch,baseline_success_morphology_audit_not_endpoint_not_validation
wide_fixed_tpg_proxy_ranks,F583-4,FixedTPG,train,K_thick_flared,mid_T_3_5,0.75,large_distance_error;vertical_geometry_proxy_only,True,current_readout_consistent_no_memory_proxy_flag,distance_caveat;vertical_geometry_proxy_only,baseline_success_morphology_audit_not_endpoint_not_validation
wide_fixed_tpg_proxy_ranks,UGC07089,FixedTPG,train,K_exponential_disk,late_T_6_8,1.0,none,True,current_readout_consistent_no_memory_proxy_flag,edge_or_projection_caveat,baseline_success_morphology_audit_not_endpoint_not_validation
