model_id,model_family,branch_id,epsilon_cross,lambda_multiplier,scenario_role,endpoint_selected,n_points,n_inner_points,n_outer_points,rmse_kms,mae_kms,bias_kms,inner_rmse_kms,outer_rmse_kms,uses_vobs_for_generation,uses_vobs_for_scoring,validation_claim_allowed,claim_boundary
TAU_WARP_p1_eps_+0.687500,TauCore_warp_bounded_sensitivity,p1,0.6874999999999999,1.6875,bounded_epsilon_cross_sensitivity,False,12,6,6,6.927114763802744,5.455058344585481,1.763272854156502,8.67540050951989,4.550523475514653,False,True,False,s4g75_ngc4088_endpoint_fit_diagnostic_not_validation
TAU_WARP_p2_eps_+0.687500,TauCore_warp_bounded_sensitivity,p2,0.6874999999999999,1.6875,bounded_epsilon_cross_sensitivity,False,12,6,6,8.800386423341727,8.391260723898894,-3.065189258437582,8.766649986495498,8.833994023914284,False,True,False,s4g75_ngc4088_endpoint_fit_diagnostic_not_validation
TAU_WARP_p1_eps_+0.343750,TauCore_warp_bounded_sensitivity,p1,0.3437499999999999,1.34375,bounded_epsilon_cross_sensitivity,False,12,6,6,8.842964771612955,7.215556421513007,-1.3570150828523022,8.567727739746632,9.109889861109826,False,True,False,s4g75_ngc4088_endpoint_fit_diagnostic_not_validation
TAU_WARP_p2_eps_+0.343750,TauCore_warp_bounded_sensitivity,p2,0.3437499999999999,1.34375,bounded_epsilon_cross_sensitivity,False,12,6,6,11.404761991785383,10.602575545864648,-5.2854969771394265,8.849380637269402,13.484274341441827,False,True,False,s4g75_ngc4088_endpoint_fit_diagnostic_not_validation
TAU_WARP_p1_eps0,TauCore_warp_preflight,p1,0.0,1.0,predeclared_fixed_epsilon_zero,False,12,6,6,12.189681311744492,10.036098373226885,-4.594817154338166,8.57561280561863,14.954448367355301,False,True,False,s4g75_ngc4088_endpoint_fit_diagnostic_not_validation
TAU_WARP_p2_eps0,TauCore_warp_preflight,p2,0.0,1.0,predeclared_fixed_epsilon_zero,False,12,6,6,14.50407439832914,12.894642053854836,-7.586558941360809,8.942068394543899,18.460112706368633,False,True,False,s4g75_ngc4088_endpoint_fit_diagnostic_not_validation
TAU_WARP_p1_eps_-0.343750,TauCore_warp_bounded_sensitivity,p1,-0.3437499999999999,0.65625,bounded_epsilon_cross_sensitivity,False,12,6,6,16.279584981518948,13.353853394540856,-7.967269035156815,8.702402442666694,21.31473589015035,False,True,False,s4g75_ngc4088_endpoint_fit_diagnostic_not_validation
TAU_WARP_p2_eps_-0.343750,TauCore_warp_bounded_sensitivity,p2,-0.3437499999999999,0.65625,bounded_epsilon_cross_sensitivity,False,12,6,6,17.955352851878747,15.279222769863773,-9.980137675282686,9.044532665834042,23.72732224520081,False,True,False,s4g75_ngc4088_endpoint_fit_diagnostic_not_validation
TAU_WARP_p1_eps_-0.687500,TauCore_warp_bounded_sensitivity,p1,-0.6874999999999999,0.3125000000000001,bounded_epsilon_cross_sensitivity,False,12,6,6,20.860010357669644,16.828431644833138,-11.496638758533884,8.94680769319949,28.111113395685273,False,True,False,s4g75_ngc4088_endpoint_fit_diagnostic_not_validation
TAU_WARP_p2_eps_-0.687500,TauCore_warp_bounded_sensitivity,p2,-0.6874999999999999,0.3125000000000001,bounded_epsilon_cross_sensitivity,False,12,6,6,21.712289177121114,17.77162909645082,-12.48154458365417,9.156571815063543,29.30877334890434,False,True,False,s4g75_ngc4088_endpoint_fit_diagnostic_not_validation
NEWTONIAN_vn,Newtonian,,,,baseline,False,12,6,6,25.396289301523897,20.14829671825156,-14.866396779224035,9.26655008405256,34.69977046196617,False,True,False,s4g75_ngc4088_endpoint_fit_diagnostic_not_validation
TPG_V6_v_v6,TPG_v6_proxy,,,,baseline,False,12,6,6,38.98773649865968,37.98427345369512,37.98427345369512,37.92697910491159,40.02038793606878,False,True,False,s4g75_ngc4088_endpoint_fit_diagnostic_not_validation
MOND_v_mond,MOND_proxy,,,,baseline,False,12,6,6,42.18384581680386,41.21370829714395,41.21370829714395,41.4811192806469,42.87505614009742,False,True,False,s4g75_ngc4088_endpoint_fit_diagnostic_not_validation
