galaxy,split,formula_family,n_points_x,rmse_tpg_v6,rmse_mond,rmse_matched_family,rmse_wrong_family_mean,best_family,matched_family_rank,rmse_K_compact_finite,rmse_K_scale_tail_spiral,rmse_K_exponential_disk,rmse_K_thick_flared,matched_minus_wrong_mean,matched_minus_tpg_v6,matched_minus_mond,matched_beats_wrong_mean,matched_beats_tpg_v6,matched_beats_mond,role,manifest_confidence,manifest_caveat,hub_type,type_bin,inc_bin,distance_quality,distance_frac_error,inclination_deg,inclination_error_deg,n_points_y,r_min,r_median,r_max,mean_gas,mean_bulge,max_bulge,mean_log_sbdisk,peak_log_sb,scale_radius_proxy_kpc,tail_inner_radius_proxy_kpc,tail_cutoff_radius_proxy_kpc,compact_support_radius_proxy_kpc,thickness_h_over_rs_proxy,ring_radius_proxy_kpc,ring_width_proxy_kpc,bar_m2_proxy,lopsided_m1_proxy,amplitude_policy,parameter_source,forbidden_inputs,rotation_inferred_family,rotation_inferred_confidence,matches_current_proxy_family,memory_history_proxy_class,source_memory_proxy_flags,winner_tau_tpg_mond,baseline_success_class,claim_boundary
CamB,holdout,K_scale_tail_spiral,9,13.63779853730796,15.623524086441458,19.721962031071975,91.24387932409024,K_exponential_disk,3,248.9382106571476,19.721962031071975,11.890911114992267,12.902516200130805,-71.52191729301825,6.084163493764015,4.098437944630517,True,False,False,middle,1.0,none,10.0,irregular_T_ge_9,inc_high_60_80,2.0,0.077380952381,65.0,5.0,9,0.16,0.9,1.79,0.3364692796822091,0.0,0.0,0.8936597629670757,1.481729196960016,0.5363528009535161,0.315,2.091140005315577,0.9,0.2314111758569941,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,K_exponential_disk,LOW,False,scale_tail_current_with_expdisk_readout_memory_candidate,gas_rich_late_or_irregular;rotation_current_proxy_mismatch,tpg_v6,tpg_success_possible_smooth_tail_or_memory_integrated_readout,baseline_success_morphology_audit_not_endpoint_not_validation
ESO116-G012,holdout,K_exponential_disk,15,11.508201668011028,9.10866648888162,13.44627975529398,23.697261954636655,K_scale_tail_spiral,3,49.01712097706982,9.66930309984049,13.44627975529398,12.405361786999643,-10.250982199342676,1.9380780872829515,4.337613266412358,True,False,False,middle,0.85,large_distance_error,7.0,late_T_6_8,inc_high_60_80,1.0,0.3,74.0,3.0,15,0.25,4.13,9.86,0.2211596507706781,0.0,0.0,1.221188713730845,2.442385687867871,2.461263408820024,1.4454999999999998,10.950317078299442,4.13,0.1795218428468051,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,K_scale_tail_spiral,HIGH,False,expdisk_proxy_with_scale_tail_readout_memory_candidate,distance_caveat;rotation_current_proxy_mismatch,mond,mond_success_possible_effective_radial_scaling_or_diffuse_disk_regime,baseline_success_morphology_audit_not_endpoint_not_validation
F561-1,holdout,K_scale_tail_spiral,6,28.55685188052471,32.526019723976546,30.72961132456212,44.585671243755485,K_exponential_disk,3,81.74176586464753,30.72961132456212,25.031727762892007,26.983520103726917,-13.856059919193363,2.1727594440374105,-1.7964083994144249,True,False,True,candidate,0.6000000000000001,few_rotation_points;low_inclination,9.0,irregular_T_ge_9,inc_low_lt_40,1.0,0.150602409639,24.0,10.0,6,1.61,5.645,9.66,0.2551235244938438,0.0,0.0,1.092640501154487,1.6422666189026736,3.364123957091776,1.9757499999999997,10.892246623305263,5.645,0.1948055860222297,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,K_exponential_disk,LOW,False,scale_tail_current_with_expdisk_readout_memory_candidate,gas_rich_late_or_irregular;inclination_caveat;rotation_current_proxy_mismatch,tpg_v6,tpg_success_possible_smooth_tail_or_memory_integrated_readout,baseline_success_morphology_audit_not_endpoint_not_validation
F563-1,holdout,K_scale_tail_spiral,17,24.695833689633552,18.44568739642176,22.617853241287115,25.519663333650048,K_compact_finite,2,19.41102237033079,22.617853241287115,30.260930164235255,26.887037466384104,-2.9018100923629326,-2.0779804483464375,4.172165844865354,True,True,False,candidate,0.65,low_inclination;large_distance_error,9.0,irregular_T_ge_9,inc_low_lt_40,1.0,0.200408997955,25.0,5.0,17,1.07,9.26,20.1,0.4762978477885164,0.0,0.0,0.3289916760152911,1.5240064455573723,5.5184743742550655,3.2409999999999997,24.886793370274592,9.26,0.2943340315048324,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,K_compact_finite,MEDIUM,False,generic_current_vs_rotation_readout_mismatch_candidate,distance_caveat;gas_rich_late_or_irregular;inclination_caveat;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,mond,mond_success_possible_effective_radial_scaling_or_diffuse_disk_regime,baseline_success_morphology_audit_not_endpoint_not_validation
F568-1,holdout,K_thick_flared,12,33.500610533676024,29.974188853658532,34.955430288199395,29.55354010937246,K_compact_finite,3,20.71531726578376,31.176877091120875,36.76842597121274,34.955430288199395,5.401890178826935,1.4548197545233703,4.981241434540863,False,False,False,candidate,0.7000000000000001,low_inclination;vertical_geometry_proxy_only,5.0,mid_T_3_5,inc_low_lt_40,1.0,0.106945975744,26.0,5.0,12,0.44,5.1850000000000005,13.23,0.2188489548893078,0.0,0.0,1.2025295066464603,1.9917132757130895,3.089988081048868,1.81475,14.677685836592772,5.1850000000000005,0.1784820297001885,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,K_compact_finite,HIGH,False,thick_flared_proxy_with_alternate_readout_memory_candidate,inclination_caveat;rotation_current_proxy_mismatch;vertical_geometry_proxy_only,mond,mond_success_possible_simple_radial_low_acceleration_regime,baseline_success_morphology_audit_not_endpoint_not_validation
IC2574,holdout,K_scale_tail_spiral,34,7.5138151552258,13.51316984455882,10.566965630734453,26.75293889801284,K_exponential_disk,3,71.62700758214562,10.566965630734453,3.1133225699753826,5.518486541917512,-16.185973267278385,3.0531504755086525,-2.946204213824368,True,False,True,control,1.0,none,9.0,irregular_T_ge_9,inc_high_60_80,2.0,0.051150895141,75.0,7.0,34,0.85,5.545,10.23,0.3765714028427711,0.0,0.0,0.5485328390367614,1.224014811372864,3.3045292014302743,1.94075,12.156162725540774,5.545,0.249457131279247,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,K_exponential_disk,HIGH,False,scale_tail_current_with_expdisk_readout_memory_candidate,gas_rich_late_or_irregular;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,tpg_v6,tpg_success_possible_smooth_tail_or_memory_integrated_readout,baseline_success_morphology_audit_not_endpoint_not_validation
IC4202,holdout,K_compact_finite,32,26.10151495917691,26.12803028857914,25.94895537395008,26.376477777204897,K_compact_finite,1,25.94895537395008,25.95260689286135,26.776836471199115,26.39998996755423,-0.4275224032548159,-0.1525595852268324,-0.1790749146290586,True,True,True,candidate,1.0,none,4.0,mid_T_3_5,inc_edge_ge_80,1.0,0.099601593625,90.0,1.0,32,0.77,12.905,25.9,0.0480021177055607,0.4202354154490455,0.9823511937853552,1.8322708789160744,2.5252651393808985,7.6907032181168065,4.51675,26.52162742428701,18.328138036369936,0.1016009529675023,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,K_compact_finite,LOW,True,current_readout_consistent_no_memory_proxy_flag,bulge_or_compact_core_memory,tau_matched,current_morphology_readout_regular_candidate,baseline_success_morphology_audit_not_endpoint_not_validation
NGC0024,holdout,K_thick_flared,29,22.157814084096987,20.65262257294937,22.660175260822907,49.1700589416922,K_scale_tail_spiral,2,104.87062900210596,19.4023711952362,23.237176627734456,22.660175260822907,-26.50988368086929,0.5023611767259197,2.007552687873538,True,False,False,middle,0.9,vertical_geometry_proxy_only,5.0,mid_T_3_5,inc_high_60_80,2.0,0.049315068493,64.0,3.0,29,0.21,1.7,11.27,0.1003561854937087,0.0,0.0,1.835415645988656,2.6135775721070993,1.0131108462455305,0.595,11.835507105257047,1.7,0.1251602834721689,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,K_scale_tail_spiral,MEDIUM,False,thick_flared_proxy_with_alternate_readout_memory_candidate,rotation_current_proxy_mismatch;vertical_geometry_proxy_only,mond,mond_success_possible_simple_radial_low_acceleration_regime,baseline_success_morphology_audit_not_endpoint_not_validation
NGC2683,holdout,K_thick_flared,11,10.314830339812676,14.151015414510422,9.441655141326386,12.426749788320713,K_exponential_disk,2,17.28870570435926,10.834397635784631,9.157146024818244,9.441655141326386,-2.9850946469943267,-0.8731751984862886,-4.709360273184036,True,True,True,middle,0.9,vertical_geometry_proxy_only,3.0,mid_T_3_5,inc_edge_ge_80,2.0,0.0499490316,80.0,5.0,11,2.89,17.31,34.62,0.0371166982515088,0.0949683871011883,0.2121899390471468,0.831441692373184,2.8781712312545915,10.315852205005958,6.0585,35.26249004673362,18.95390278072157,0.0967025142131789,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,K_exponential_disk,LOW,False,thick_flared_proxy_with_alternate_readout_memory_candidate,bulge_or_compact_core_memory;rotation_current_proxy_mismatch;vertical_geometry_proxy_only,tau_matched,tau_formula_specificity_with_possible_memory_caveat,baseline_success_morphology_audit_not_endpoint_not_validation
NGC3726,holdout,K_thick_flared,12,23.631876746434497,26.325344741169783,22.32780920265615,26.68986153139954,K_exponential_disk,2,34.803704377123964,24.444812422394104,20.82106779468054,22.32780920265615,-4.362052328743388,-1.3040675437783449,-3.997535538513631,True,True,True,candidate,0.9,vertical_geometry_proxy_only,5.0,mid_T_3_5,inc_mid_40_60,4.0,0.138888888889,53.0,2.0,12,3.5,13.065,32.52,0.1226403651218742,0.0,0.0,1.1557074911807586,2.565788807262067,7.786054827175208,4.572749999999999,34.51413233688168,13.065,0.1351881643048434,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,K_exponential_disk,LOW,False,thick_flared_proxy_with_alternate_readout_memory_candidate,rotation_current_proxy_mismatch;vertical_geometry_proxy_only,tau_matched,tau_formula_specificity_with_possible_memory_caveat,baseline_success_morphology_audit_not_endpoint_not_validation
