baseline_id,radial_bin,x_lower,x_upper,n_points,n_galaxies,median_kappa,median_loss,fraction_positive_loss_95
newtonian_baryonic,0,0.0,0.2,1040,163,0.22845170476107315,0.36675818397246585,0.6788461538461539
newtonian_baryonic,1,0.2,0.4,672,174,0.4489857893456356,0.5926045921735645,0.9226190476190477
newtonian_baryonic,2,0.4,0.6000000000000001,572,171,0.581122663380095,0.6872169054494428,0.951048951048951
newtonian_baryonic,3,0.6000000000000001,0.8,521,173,0.668997545229502,0.7376288279230105,0.9692898272552783
newtonian_baryonic,4,0.8,1.0,584,175,0.7182447183828183,0.7622390032484703,0.9674657534246576
tpg_v6,0,0.0,0.2,1040,163,-0.002245268910260383,-0.004500635655164786,0.30288461538461536
tpg_v6,1,0.2,0.4,672,174,0.014373271153537096,0.0283372098631835,0.37351190476190477
tpg_v6,2,0.4,0.6000000000000001,572,171,0.02875537946488791,0.055888250858486976,0.3811188811188811
tpg_v6,3,0.6000000000000001,0.8,521,173,0.01648035295790753,0.032423421122393714,0.3704414587332054
tpg_v6,4,0.8,1.0,584,175,0.008911158123286179,0.017664032093725412,0.3082191780821918
mond_fixed,0,0.0,0.2,1040,163,-0.020826178986698078,-0.042531988335012594,0.275
mond_fixed,1,0.2,0.4,672,174,-0.009666684333387115,-0.01952148613079696,0.31101190476190477
mond_fixed,2,0.4,0.6000000000000001,572,171,-0.009736237016738319,-0.01966412240324844,0.3041958041958042
mond_fixed,3,0.6000000000000001,0.8,521,173,-0.036740639453738,-0.07624838793763988,0.2514395393474088
mond_fixed,4,0.8,1.0,584,175,-0.053516532083453305,-0.11297156540873798,0.19006849315068494
