row_radial_index,column_radial_index,equal_weight_scenario_covariance
0,0,0.00118480368786
0,1,0.000859491777162
0,2,0.000584763337095
0,3,0.000327934674638
0,4,0.000638799328533
0,5,0.000441511675443
1,0,0.000859491777162
1,1,0.000984651243575
1,2,0.00089519031781
1,3,0.00056426271412
1,4,0.000645911536406
1,5,0.000319739633951
2,0,0.000584763337095
2,1,0.00089519031781
2,2,0.00103609350253
2,3,0.000718216730628
2,4,0.000540718682335
2,5,0.000174516318807
3,0,0.000327934674638
3,1,0.00056426271412
3,2,0.000718216730628
3,3,0.000566132010705
3,4,0.000277937965023
3,5,1.79673022659e-05
4,0,0.000638799328533
4,1,0.000645911536406
4,2,0.000540718682335
4,3,0.000277937965023
4,4,0.000580059066604
4,5,0.000441766586255
5,0,0.000441511675443
5,1,0.000319739633951
5,2,0.000174516318807
5,3,1.79673022659e-05
5,4,0.000441766586255
5,5,0.000821552715059
