radius_arcsec,radius_kpc,n_pixels,sigma_star_msun_pc2,sigma_h2_msun_pc2,sigma_hi_msun_pc2,sigma_baryon_msun_pc2
7.5,0.4763289942549633,24,1172.456275394228,144.70848054294004,9.298784745994801,1317.66352110496
22.5,1.4289869827648898,70,441.03528248346777,90.3330612778983,10.408656454462621,590.5907515815807
37.5,2.3816449712748162,111,237.0864646415727,52.68639279415767,11.784967619215701,309.63419995558155
52.5,3.334302959784743,166,154.51157771315434,29.876298851018475,12.52415815426009,208.23348281349686
67.5,4.286960948294669,214,93.0279679568454,15.83812200659263,13.086355810339345,127.04050321705995
82.5,5.239618936804596,235,72.04037209959684,13.6265820769111,12.76087323310295,103.37555614304956
97.5,6.1922769253145225,246,55.706309263908416,5.419279530429153,12.665590299302012,76.80140584059905
112.5,7.144934913824449,242,38.87878505681013,3.4696858120949283,12.623106109955769,56.95448314561341
127.5,8.097592902334375,185,27.84134995317403,1.0402165360955138,11.377232024560394,44.95586139826935
142.5,9.050250890844302,153,20.56790617292878,0.6604915361953037,10.109776782244994,34.314220038409545
157.5,10.002908879354228,108,11.615661357104297,0.0,8.358848363262783,25.298848341165566
172.5,10.955566867864155,37,5.567452108023717,0.0,10.554431745893087,14.461601489622652
