galaxy,cache_status,n_sources,bytes_cached
IC2574,ALREADY_CACHED,2,395779
IC2574,LOCAL_SOURCE_CACHED,1,6082257
NGC4013,ALREADY_CACHED,1,2817295
NGC4183,ALREADY_CACHED,1,647327
NGC5907,ALREADY_CACHED,2,2005189
NGC5907,LOCAL_SOURCE_CACHED,1,3311911
NGC7331,ALREADY_CACHED,1,1090275
UGC05716,ALREADY_CACHED,1,1394149
