quality_gate,split,formula_family,n_galaxies,matched_beats_wrong_fraction,matched_beats_tpg_v6_fraction,matched_beats_mond_fraction,mean_matched_minus_wrong,mean_matched_minus_tpg_v6,mean_matched_minus_mond
all,holdout,K_compact_finite,7,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9341405369595738,0.9700214842229568,1.2192782329754668
all,holdout,K_exponential_disk,7,0.7142857142857143,0.2857142857142857,0.2857142857142857,-6.007027695422127,0.9239981729614017,1.604327193637319
all,holdout,K_scale_tail_spiral,20,0.9,0.4,0.7,-15.868952362038971,0.14879515468735488,-0.5337566720681032
all,holdout,K_thick_flared,10,0.9,0.7,0.7,-2.3496043403321893,-0.22972214179802314,-1.5888076039487609
all,train,K_compact_finite,22,0.5,0.5,0.5909090909090909,-0.15971944346521932,0.06712863104651022,0.3134043631474832
all,train,K_exponential_disk,25,0.76,0.4,0.48,-4.405001809388536,0.33422072416678406,0.4997245598583116
all,train,K_scale_tail_spiral,60,0.9666666666666667,0.48333333333333334,0.6166666666666667,-14.431380043613888,0.046216815567242886,-0.5673824813143058
all,train,K_thick_flared,24,0.7083333333333334,0.5416666666666666,0.5833333333333334,-2.875471856905517,-0.14125996296848561,-1.637522627025642
confidence_ge_0_75,holdout,K_compact_finite,5,0.6,0.6,0.6,1.278829256604734,1.4280587707784818,1.593048957042494
confidence_ge_0_75,holdout,K_exponential_disk,6,0.6666666666666666,0.3333333333333333,0.3333333333333333,-5.280529735330774,0.9380768279432811,1.7851238893006414
confidence_ge_0_75,holdout,K_scale_tail_spiral,14,0.9285714285714286,0.5,0.6428571428571429,-17.668918943164357,0.12146941281891631,-0.4629028689461688
confidence_ge_0_75,holdout,K_thick_flared,7,1.0,0.7142857142857143,0.7142857142857143,-2.4500784796357786,-0.37930704669972787,-2.2115007110324094
confidence_ge_0_75,train,K_compact_finite,21,0.5238095238095238,0.5238095238095238,0.5714285714285714,-0.172190773328518,0.06587162207797397,0.3592012378987321
confidence_ge_0_75,train,K_exponential_disk,24,0.75,0.375,0.4583333333333333,-4.225101218762636,0.39434984312467564,0.6306606290431226
confidence_ge_0_75,train,K_scale_tail_spiral,46,0.9565217391304348,0.5,0.6086956521739131,-15.5755303857148,0.05119866917786727,-0.46781749066309747
confidence_ge_0_75,train,K_thick_flared,21,0.7142857142857143,0.5238095238095238,0.5714285714285714,-2.8501666022178664,-0.15262937730205883,-1.731958467935207
confidence_ge_0_85,holdout,K_compact_finite,5,0.6,0.6,0.6,1.278829256604734,1.4280587707784818,1.593048957042494
confidence_ge_0_85,holdout,K_exponential_disk,6,0.6666666666666666,0.3333333333333333,0.3333333333333333,-5.280529735330774,0.9380768279432811,1.7851238893006414
confidence_ge_0_85,holdout,K_scale_tail_spiral,12,0.9166666666666666,0.4166666666666667,0.6666666666666666,-15.139376855128722,0.24620677123611456,-0.7033668773278082
confidence_ge_0_85,holdout,K_thick_flared,7,1.0,0.7142857142857143,0.7142857142857143,-2.4500784796357786,-0.37930704669972787,-2.2115007110324094
confidence_ge_0_85,train,K_compact_finite,18,0.5555555555555556,0.5555555555555556,0.6111111111111112,-0.3232758991870386,-0.10671072212146537,0.08560285752560387
confidence_ge_0_85,train,K_exponential_disk,23,0.7391304347826086,0.34782608695652173,0.43478260869565216,-4.2544312204656904,0.4360213549710838,0.8341464145898334
confidence_ge_0_85,train,K_scale_tail_spiral,35,0.9714285714285714,0.6,0.5428571428571428,-12.277148113576471,-0.08626727015606685,-0.13339841688994275
confidence_ge_0_85,train,K_thick_flared,13,0.6923076923076923,0.5384615384615384,0.5384615384615384,-3.170487644581944,0.01172990277414004,-1.1976476419085569
no_low_inclination,holdout,K_compact_finite,5,0.6,0.6,0.6,1.278829256604734,1.4280587707784818,1.593048957042494
no_low_inclination,holdout,K_exponential_disk,6,0.6666666666666666,0.3333333333333333,0.3333333333333333,-5.280529735330774,0.9380768279432811,1.7851238893006414
no_low_inclination,holdout,K_scale_tail_spiral,15,0.9333333333333333,0.4,0.7333333333333333,-18.108288439352695,0.18312483608462177,-0.7820861871818444
no_low_inclination,holdout,K_thick_flared,9,1.0,0.7777777777777778,0.7777777777777778,-3.5821558883124354,-0.3752452378323674,-2.277164826890686
no_low_inclination,train,K_compact_finite,19,0.5263157894736842,0.5263157894736842,0.5789473684210527,-0.15394932857523405,0.05577670577604721,0.2027027762836799
no_low_inclination,train,K_exponential_disk,23,0.7391304347826086,0.34782608695652173,0.43478260869565216,-4.2544312204656904,0.4360213549710838,0.8341464145898334
no_low_inclination,train,K_scale_tail_spiral,47,0.9787234042553191,0.46808510638297873,0.6170212765957447,-16.390172612888264,0.07151705083981905,-0.42204816411127666
no_low_inclination,train,K_thick_flared,23,0.7391304347826086,0.5652173913043478,0.6086956521739131,-3.0569062938523643,-0.1816357535441449,-1.797323301094265
