galaxy,split,formula_family,n_points,rmse_body_matched,rmse_body_wrong_mean,rmse_newton,rmse_tpg_v6,rmse_mond,matched_minus_wrong,matched_minus_newton,matched_minus_tpg_v6,matched_minus_mond,rmse_body_K_compact_finite,rmse_body_K_scale_tail_spiral,rmse_body_K_exponential_disk,rmse_body_K_thick_flared
CamB,holdout,K_scale_tail_spiral,9,47.08055347559442,197.20458269488628,3.3556068721726025,13.63779853730796,15.623524086441458,-150.12402921929186,43.72494660342182,33.44275493828646,31.457029389152964,545.9722398554403,47.08055347559442,22.155973024685085,23.485535204533498
ESO116-G012,holdout,K_exponential_disk,15,16.317347631503438,62.636981790945036,46.78642194708297,11.508201668011028,9.108666488881621,-46.3196341594416,-30.469074315579533,4.80914596349241,7.208681142621817,156.4751361249317,19.350323375028655,16.317347631503438,12.085485872874736
F561-1,holdout,K_scale_tail_spiral,6,22.591656257735558,89.8926599404511,9.593416723190401,28.55685188052471,32.526019723976546,-67.30100368271553,12.998239534545156,-5.965195622789153,-9.934363466240988,180.48726820114513,22.591656257735558,42.32835873172314,46.86235288848504
F563-1,holdout,K_scale_tail_spiral,17,30.23689998743011,34.851329627366404,62.47755725522295,24.695833689633552,18.44568739642176,-4.614429639936294,-32.24065726779284,5.541066297796558,11.79121259100835,79.00817862417682,30.23689998743011,11.398645460991553,14.147164796930818
F568-1,holdout,K_thick_flared,12,22.4116648921788,60.54945738770371,69.86283183130358,33.500610533676024,29.974188853658532,-38.13779249552491,-47.45116693912478,-11.088945641497226,-7.562523961479734,115.2904294240166,38.67172761199772,27.68621512709684,22.4116648921788
IC2574,holdout,K_scale_tail_spiral,34,17.42520113447226,85.29435194789332,23.78354699928544,7.5138151552258,13.51316984455882,-67.86915081342106,-6.358345864813181,9.911385979246461,3.9120312899134397,179.6634605320763,17.42520113447226,36.81765741169259,39.401937899911076
IC4202,holdout,K_compact_finite,32,36.89576946144762,42.27858465828522,69.1215936942972,26.101514959176914,26.12803028857914,-5.382815196837598,-32.22582423284958,10.794254502270707,10.767739172868481,36.89576946144762,60.050136704622716,36.12509069811215,30.660526572120798
NGC0024,holdout,K_thick_flared,29,30.150819685371744,115.53898891198651,47.18129248016706,22.157814084096987,20.65262257294937,-85.38816922661476,-17.030472794795315,7.993005601274756,9.498197112422375,298.5739460407277,15.497908823918227,32.54511187131359,30.150819685371744
NGC2683,holdout,K_thick_flared,11,23.80466527539493,28.364276659246645,63.99459888504826,10.314830339812675,14.151015414510422,-4.559611383851713,-40.18993360965333,13.489834935582257,9.65364986088451,22.006803717673186,48.46924713824979,14.616779121816963,23.80466527539493
NGC3726,holdout,K_thick_flared,12,23.661662674941063,31.074122582442254,50.40406506912891,23.631876746434497,26.325344741169783,-7.412459907501191,-26.74240239418785,0.02978592850656625,-2.66368206622872,37.463747450311786,34.607486945528315,21.15113335148666,23.661662674941063
NGC3949,holdout,K_thick_flared,7,11.314864942567269,58.83517362381486,28.51727644416544,8.950158230683527,11.297904622428334,-47.52030868124759,-17.20241150159817,2.3647067118837413,0.016960320138935003,145.34964463132368,17.711349418743385,13.444526821377517,11.314864942567269
NGC3972,holdout,K_thick_flared,10,10.04919705593954,59.2823431338893,44.45959494291804,7.806428086864266,6.774747860896815,-49.233146077949755,-34.4103978869785,2.242768969075274,3.2744491950427257,139.05527601634174,24.19366440154207,14.598088983784097,10.04919705593954
NGC4013,holdout,K_compact_finite,36,17.54877247463151,29.215297266931646,65.6912991112144,12.273912532057183,14.334222058319126,-11.666524792300137,-48.1425266365829,5.2748599425743254,3.214550416312383,17.54877247463151,50.532373451801895,13.564320007409279,23.549198341583782
NGC4088,holdout,K_thick_flared,12,29.507661995170878,31.854599065282446,25.396289301523897,38.98773649865968,42.18384581680386,-2.3469370701115686,4.111372693646981,-9.480074503488801,-12.676183821632982,53.51742621916814,17.50776979235389,24.538601184325316,29.507661995170878
NGC4183,holdout,K_exponential_disk,23,16.686965167527834,38.84845059868899,48.41085618248364,6.489693491114096,10.354993594406714,-22.161485431161157,-31.723891014955807,10.197271676413738,6.33197157312112,69.06770273638634,24.691331606102423,16.686965167527834,22.786317453578206
NGC4214,holdout,K_scale_tail_spiral,14,12.620039981835284,83.38340484042548,43.616236802795356,17.991047303306434,15.27888150484993,-70.7633648585902,-30.996196820960073,-5.371007321471151,-2.6588415230146456,226.76977111296983,12.620039981835284,12.96455260342432,10.415890804882288
NGC4389,holdout,K_thick_flared,6,40.6725744675603,102.99076309481552,23.5662941993844,46.55692853885728,48.50110279830857,-62.31818862725522,17.1062802681759,-5.8843540712969755,-7.82852833074827,235.19958890608365,35.98208510585867,37.79061527250422,40.6725744675603
NGC5907,holdout,K_thick_flared,19,28.189390554649076,49.911151556715765,86.48374825501512,16.785509985459306,18.59536481497724,-21.72176100206669,-58.294357700366035,11.40388056918977,9.594025739671835,54.3772068414792,74.57852770340457,20.77772012526353,28.189390554649076
NGC5985,holdout,K_compact_finite,33,95.72571274314967,97.48856477704608,136.4962034128173,72.28739039126062,69.40357999391347,-1.762852033896408,-40.77049066966762,23.438322351889056,26.322132749236204,95.72571274314967,125.81354258869914,87.69011636908246,78.96203537335667
NGC6789,holdout,K_scale_tail_spiral,4,19.455248150488025,259.1142663044452,26.49840257662861,15.897752239176857,15.396246199577478,-239.6590181539572,-7.043154426140585,3.557495911311168,4.059001950910547,743.1212937943296,19.455248150488025,17.6496457550968,16.571859363909255
NGC6946,holdout,K_compact_finite,58,37.10571336242178,15.620680235958408,42.149896326484296,15.025447425206579,17.728143095419597,21.48503312646337,-5.044182964062514,22.080265937215202,19.377570267002184,37.10571336242178,28.98221387092802,8.150727176809745,9.729099660137459
NGC7331,holdout,K_thick_flared,36,21.379802149983696,33.661839273614795,59.354351789327744,25.485065060071012,29.311675230419702,-12.282037123631099,-37.97454963934405,-4.1052629100873155,-7.931873080436006,27.254062204793726,50.176208280277145,23.555247335773505,21.379802149983696
UGC00731,holdout,K_scale_tail_spiral,12,3.476548473235758,64.7371248865276,38.17360738121145,12.845453066903099,11.466827035781066,-61.26057641329184,-34.69705890797569,-9.368904593667342,-7.990278562545308,152.82309311336434,3.476548473235758,20.60289768779491,20.785383858423536
UGC00891,holdout,K_scale_tail_spiral,5,12.780888644342902,85.19256217869155,28.400063073702132,5.958365558298525,7.682081654505746,-72.41167353434864,-15.61917442935923,6.822523086044376,5.098806989837156,207.0333868675496,12.780888644342902,24.624666882836603,23.919632785688393
UGC02023,holdout,K_scale_tail_spiral,5,24.70109171859424,121.20417247221548,15.027147630460606,12.198048884046239,13.979836766957423,-96.50308075362123,9.673944088133632,12.503042834548,10.721254951636816,321.0383719519259,24.70109171859424,20.1054871449973,22.468658319723225
UGC02259,holdout,K_exponential_disk,8,5.984895466547896,63.954153260220785,48.104127634342866,16.43514083306515,13.66144175213647,-57.96925779367289,-42.11923216779497,-10.450245366517255,-7.676546285588574,168.2186240294633,16.31613418801464,5.984895466547896,7.327701563184418
UGC03580,holdout,K_compact_finite,47,120.91112254407871,31.35198189806304,36.01201131349121,25.49452615076704,27.172706555031343,89.55914064601566,84.8991112305875,95.41659639331166,93.73841598904737,120.91112254407871,25.094264659024347,34.69772214523904,34.26395888992574
UGC04305,holdout,K_scale_tail_spiral,22,31.817097591369755,112.36951863929535,6.361564686999685,23.999621706482884,26.588364190715332,-80.55242104792559,25.45553290437007,7.817475884886871,5.2287334006544235,273.1462606531341,31.817097591369755,30.601769238736043,33.360526026015926
