galaxy,split,current_proxy_family,rotation_inferred_family,rotation_inferred_confidence,rotation_inferred_margin_to_second,predeclared_family_rank_by_rotation,matches_current_proxy_family,external_family_label,external_family_label_status,external_family_present,matches_external_family,external_family_mismatch,type_bin,manifest_confidence,manifest_caveat,mean_gas,mean_bulge,max_bulge,mean_log_sbdisk,source_memory_proxy_flags,proxy_status,claim_boundary,memory_history_proxy_class
UGC06446,train,K_scale_tail_spiral,K_scale_tail_spiral,HIGH,3.2984393080855625,1,True,,,False,False,False,late_T_6_8,0.85,large_distance_error,0.4804016766686586,0.0,0.0,0.3672145688515871,distance_caveat;gas_rich_late_or_irregular;low_surface_brightness_or_diffuse,SOURCE_ONLY_CURRENT_PROXY_CONTEXT,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,current_readout_consistent_no_memory_proxy_flag
UGC06614,train,K_compact_finite,K_exponential_disk,LOW,1.41180076081924,4,False,,,False,False,False,early_T_le_2,0.8,low_inclination,0.0721533354231176,0.6451046539919792,0.9857127516483272,1.4338045762528178,bulge_or_compact_core_memory;inclination_caveat;rotation_current_proxy_mismatch,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,compact_proxy_with_alternate_readout_memory_candidate
UGC06628,train,K_scale_tail_spiral,K_exponential_disk,LOW,1.5201939868873175,3,False,,,False,False,False,irregular_T_ge_9,0.45,few_rotation_points;low_inclination;large_distance_error,0.2122512069495548,0.0,0.0,1.2227900942391288,distance_caveat;gas_rich_late_or_irregular;inclination_caveat;rotation_current_proxy_mismatch,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,scale_tail_current_with_expdisk_readout_memory_candidate
UGC06667,train,K_scale_tail_spiral,K_scale_tail_spiral,HIGH,5.372242036928359,1,True,,,False,False,False,late_T_6_8,1.0,none,0.5052786242817371,0.0,0.0,0.7111963667393879,gas_rich_late_or_irregular;low_surface_brightness_or_diffuse,SOURCE_ONLY_CURRENT_PROXY_CONTEXT,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,current_readout_consistent_no_memory_proxy_flag
UGC06786,train,K_compact_finite,K_compact_finite,HIGH,9.971468407941495,1,True,,,False,False,False,early_T_le_2,0.85,large_distance_error,0.0353529335417678,0.4767756768507679,0.996900522261458,1.7237797289619097,bulge_or_compact_core_memory;distance_caveat,SOURCE_ONLY_CURRENT_PROXY_CONTEXT,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,current_readout_consistent_no_memory_proxy_flag
UGC06787,train,K_compact_finite,K_compact_finite,MEDIUM,6.1994586310117015,1,True,,,False,False,False,early_T_le_2,0.85,large_distance_error,0.0258866078824616,0.7153139482935266,0.9987114007619136,1.7148958531034726,bulge_or_compact_core_memory;distance_caveat,SOURCE_ONLY_CURRENT_PROXY_CONTEXT,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,current_readout_consistent_no_memory_proxy_flag
UGC06818,holdout,K_scale_tail_spiral,K_exponential_disk,LOW,0.7244728730179038,3,False,,,False,False,False,irregular_T_ge_9,1.0,none,0.1822137317919296,0.0,0.0,0.8897410130522616,gas_rich_late_or_irregular;rotation_current_proxy_mismatch,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,scale_tail_current_with_expdisk_readout_memory_candidate
UGC06917,holdout,K_scale_tail_spiral,K_scale_tail_spiral,HIGH,2.8530309747306832,1,True,,,False,False,False,irregular_T_ge_9,1.0,none,0.1850275089777395,0.0,0.0,1.2021139934622245,gas_rich_late_or_irregular,SOURCE_ONLY_CURRENT_PROXY_CONTEXT,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,current_readout_consistent_no_memory_proxy_flag
UGC06923,train,K_scale_tail_spiral,K_exponential_disk,MEDIUM,0.7287050960529591,3,False,,,False,False,False,irregular_T_ge_9,0.8,few_rotation_points,0.2507682436295511,0.0,0.0,1.363173818400152,gas_rich_late_or_irregular;rotation_current_proxy_mismatch,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,scale_tail_current_with_expdisk_readout_memory_candidate
UGC06930,train,K_exponential_disk,K_thick_flared,LOW,0.2532895720555812,2,False,K_exponential_disk,ACCEPTED_EXTERNAL_EXPONENTIAL_DISK_LABEL_CAVEATED_BAR,True,False,True,late_T_6_8,0.8,low_inclination,0.3051251394573602,0.0,0.0,1.0473510659748864,bar_component_caveat;inclination_caveat;rotation_current_proxy_mismatch;rotation_external_family_mismatch,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,expdisk_current_with_vertical_projection_memory_candidate
