tau_score,baseline,n_galaxies,mean_tau_minus_baseline,median_tau_minus_baseline,tau_beats_baseline_fraction
tau_core_s_class,mond_simple_mu,73,0.1895684682793192,0.13015054836,0.2876712328767123
tau_core_s_class,newtonian_baryonic,73,-0.24312331235569043,-0.28056467800400003,0.6027397260273972
tau_core_s_class,projection_fixed,73,0.19321312129656165,0.14425200639799995,0.136986301369863
tau_core_s_class,rar_mcgaugh,73,0.19078749631297262,0.14025829576599996,0.273972602739726
tau_core_s_continuous,mond_simple_mu,73,0.13993205355364657,0.07438490769700001,0.3013698630136986
tau_core_s_continuous,newtonian_baryonic,73,-0.292759727081363,-0.3124361599784,0.9178082191780822
tau_core_s_continuous,projection_fixed,73,0.14357670657088908,0.09707236603399999,0.2054794520547945
tau_core_s_continuous,rar_mcgaugh,73,0.14115108158730003,0.07637149877800004,0.273972602739726
tau_core_s_evidence,mond_simple_mu,73,0.1895684682793192,0.13015054836,0.2876712328767123
tau_core_s_evidence,newtonian_baryonic,73,-0.24312331235569043,-0.28056467800400003,0.6027397260273972
tau_core_s_evidence,projection_fixed,73,0.19321312129656165,0.14425200639799995,0.136986301369863
tau_core_s_evidence,rar_mcgaugh,73,0.19078749631297262,0.14025829576599996,0.273972602739726
tau_core_s_soft,mond_simple_mu,73,0.023725196209619177,0.023581766066999965,0.4246575342465753
tau_core_s_soft,newtonian_baryonic,73,-0.4089665844253904,-0.423854909501,0.9452054794520548
tau_core_s_soft,projection_fixed,73,0.027369849226861642,0.018248228495999996,0.3972602739726027
tau_core_s_soft,rar_mcgaugh,73,0.024944224243272604,0.025743499613999993,0.4246575342465753
