annulus,r_mid_arcsec,n_train,n_test,observed_even_contrast_km_s,predicted_even_contrast_km_s,residual_even_km_s,sigma_residual_even_km_s
0,10.0,101,28,2373.7339489653373,2371.7555947736873,1.9783541916494134,0.702749904558437
1,20.0,184,59,2374.883392030664,2373.1845686947936,1.6988233358709521,0.4532295120915609
2,30.0,282,82,2373.9971158614576,2373.1079979811175,0.8891178803401207,0.5049657837960462
3,40.0,361,93,2374.9189018483485,2374.6482111256482,0.2706907226994878,0.5303978938736855
4,50.0,436,104,2374.9695833503433,2371.916642559456,3.0529407908871473,0.7684688229149788
5,60.0,441,131,2373.349976254592,2375.4592583856543,-2.109282131062093,0.7443628050612062
