split,n_shuffles,seed,observed_mean_minus_wrong,null_mean_minus_wrong_mean,null_mean_minus_wrong_median,p_mean_minus_wrong_at_least_as_good,observed_beats_wrong_fraction,null_beats_wrong_fraction_mean,null_beats_wrong_fraction_median,p_beats_wrong_fraction_at_least_as_good,observed_rank1_fraction,null_rank1_fraction_mean,null_rank1_fraction_median,p_rank1_fraction_at_least_as_good
holdout,1000,31415,-17.683782764040107,-7.028363128101377,-7.604821528049541,0.001998001998001998,0.8863636363636364,0.7732045454545455,0.7727272727272727,0.005994005994005994,0.29545454545454547,0.25422727272727275,0.25,0.3016983016983017
train,1000,31415,-16.83760914102908,-5.568624908952715,-5.576839375481141,0.000999000999000999,0.8702290076335878,0.7640916030534352,0.7633587786259542,0.000999000999000999,0.37404580152671757,0.29053435114503817,0.2900763358778626,0.013986013986013986
