observable_driver_type,direct_measurement_status,kernel_parameter_filled,n_galaxies,galaxies,claim_boundary
compact_support_candidate,DIRECT_S4G_BULGE_RE_READY,compact_support_radius_kpc,1,NGC5985,s4g75_direct_kernel_measurement_extraction_not_endpoint
tail_inner_cutoff_candidate,NO_DIRECT_OUTER_TRANSITION_IN_S4G_TABLE7,tail_inner_radius_kpc;tail_cutoff_radius_kpc,6,NGC4214;UGC06917;UGC06983;UGC00891;UGC04499;UGC05829,s4g75_direct_kernel_measurement_extraction_not_endpoint
thickness_h_over_rs_candidate,DIRECT_S4G_EDGEDISK_HZ_HR_READY,thickness_h_over_rs,1,NGC5907,s4g75_direct_kernel_measurement_extraction_not_endpoint
thickness_h_over_rs_candidate,NO_DIRECT_VERTICAL_KERNEL_IN_S4G_TABLE7,thickness_h_over_rs,7,NGC0024;NGC2683;NGC3726;NGC3949;NGC4088;NGC3972;NGC4389,s4g75_direct_kernel_measurement_extraction_not_endpoint
