annulus,r_mid_arcsec,n_train,n_test,observed_even_contrast_km_s,predicted_even_contrast_km_s,residual_even_km_s,sigma_residual_even_km_s
0,10.0,82,40,2373.3142421488883,2372.3808416186216,0.9334005302662263,0.5636489292072691
1,20.0,151,79,2374.7592787383983,2373.806011253645,0.9532674847532661,0.4934379965646022
2,30.0,218,116,2373.6534681639746,2371.8763047995626,1.7771633644124045,0.3962013566400854
3,40.0,294,136,2374.552845646886,2373.8922901522114,0.6605554946742141,0.5050468641550931
4,50.0,363,158,2374.5664744879573,2371.85424260756,2.7122318803970322,0.5545176557002682
5,60.0,368,174,2373.1253207972045,2373.100255803617,0.025064993587625595,0.6009688564928585
