galaxy,split,formula_family,n_points_x,rmse_matched,rmse_wrong_mean,rmse_newton,rmse_tpg_v6,rmse_mond,matched_minus_wrong,matched_minus_newton,matched_minus_tpg_v6,matched_minus_mond,rmse_K_compact_finite,rmse_K_scale_tail_spiral,rmse_K_exponential_disk,rmse_K_thick_flared,role,manifest_confidence,manifest_caveat,hub_type,type_bin,inc_bin,distance_quality,distance_frac_error,inclination_deg,inclination_error_deg,n_points_y,r_min,r_median,r_max,mean_gas,mean_bulge,max_bulge,mean_log_sbdisk,peak_log_sb,scale_radius_proxy_kpc,tail_inner_radius_proxy_kpc,tail_cutoff_radius_proxy_kpc,compact_support_radius_proxy_kpc,thickness_h_over_rs_proxy,ring_radius_proxy_kpc,ring_width_proxy_kpc,bar_m2_proxy,lopsided_m1_proxy,amplitude_policy,parameter_source,forbidden_inputs,source_disturbance_class,asymmetry_3p6,theta1,foreground_lens_geometry_weight,foreground_angular_weight,stellar_crowding_angular_weight,background_angular_control_weight,stellar_crowding_count,foreground_redshift_count,background_redshift_count,performance_class,z_inclination_deg,z_distance_frac_error,z_r_median,z_r_max,z_mean_gas,z_mean_bulge,z_mean_log_sbdisk,z_peak_log_sb,z_scale_radius_proxy_kpc,z_tail_cutoff_radius_proxy_kpc,z_thickness_h_over_rs_proxy,z_bar_m2_proxy,z_lopsided_m1_proxy
CamB,holdout,K_scale_tail_spiral,9,12.49545889727304,6.160205458569447,3.3556068721726025,13.63779853730796,15.623524086441458,6.335253438703594,9.139852025100438,-1.142339640034919,-3.1280651891684172,4.474772153453993,12.49545889727304,9.086857659918586,4.918986562335761,middle,1.0,none,10.0,irregular_T_ge_9,inc_high_60_80,2.0,0.077380952381,65.0,5.0,9,0.16,0.9,1.79,0.3364692796822091,0.0,0.0,0.8936597629670757,1.481729196960016,0.5363528009535161,0.315,2.091140005315577,0.9,0.2314111758569941,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,,,,,,,,,,,body_failure,0.32653954099564786,-0.9629027147395972,-0.9359364342568757,-0.929281597669761,0.33008107047669105,-0.4016895434681918,-0.1989923469057981,-0.9742612751636451,-0.9359364342568754,-0.9586310882705384,0.33008107047669144,,
ESO116-G012,holdout,K_exponential_disk,15,16.561090368071085,25.13370846051078,46.78642194708297,11.508201668011028,9.10866648888162,-8.572618092439694,-30.22533157901189,5.052888700060057,7.452423879189464,35.949226664938266,6.92498513183424,16.561090368071085,32.52691358475983,middle,0.85,large_distance_error,7.0,late_T_6_8,inc_high_60_80,1.0,0.3,74.0,3.0,15,0.25,4.13,9.86,0.2211596507706781,0.0,0.0,1.221188713730845,2.442385687867871,2.461263408820024,1.4454999999999998,10.950317078299442,4.13,0.1795218428468051,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,,,,,,,,,,,partial_success,0.8331054868296858,1.3521830675489424,-0.48990455672037103,-0.5164857850025617,-0.20607610241744206,-0.4016895434681918,0.29194889508698557,0.31659901003923935,-0.4899045567203708,-0.5269761028831234,-0.20607610241744212,,
F561-1,holdout,K_scale_tail_spiral,6,29.463668971068547,9.860638081430883,9.5934167231904,28.55685188052471,32.526019723976546,19.603030889637665,19.870252247878145,0.9068170905438356,-3.0623507529079994,4.758010102458486,29.463668971068547,18.771475059087443,6.052429082746724,candidate,0.6000000000000001,few_rotation_points;low_inclination,9.0,irregular_T_ge_9,inc_low_lt_40,1.0,0.150602409639,24.0,10.0,6,1.61,5.645,9.66,0.2551235244938438,0.0,0.0,1.092640501154487,1.6422666189026736,3.364123957091776,1.9757499999999997,10.892246623305263,5.645,0.1948055860222297,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,,,,,,,,,,,body_failure,-1.9811497678038583,-0.20144965638963314,-0.2806976544083573,-0.5267161644986508,-0.04815369222638077,-0.4016895434681918,0.09926480108239959,-0.7585427699164743,-0.2806976544083571,-0.5298055306274216,-0.04815369222638071,,
F563-1,holdout,K_scale_tail_spiral,17,32.70115415824858,49.97353543816382,62.47755725522295,24.695833689633552,18.44568739642176,-17.272381279915244,-29.77640309697437,8.005320468615025,14.255466761826815,55.58586286100717,32.70115415824858,41.49463825372893,52.84010519975536,candidate,0.65,low_inclination;large_distance_error,9.0,irregular_T_ge_9,inc_low_lt_40,1.0,0.200408997955,25.0,5.0,17,1.07,9.26,20.1,0.4762978477885164,0.0,0.0,0.3289916760152911,1.5240064455573723,5.5184743742550655,3.2409999999999997,24.886793370274592,9.26,0.2943340315048324,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,,,,,,,,,,,partial_success,-1.9248646627111874,0.31650478510097424,0.21849901348466574,0.007309645197205689,0.9802443783755639,-0.4016895434681918,-1.0453873030626442,-0.9174521850273757,0.21849901348466585,0.15206546278437758,0.980244378375564,,
F568-1,holdout,K_thick_flared,12,57.68198634775362,45.06244328871463,69.86283183130358,33.500610533676024,29.974188853658532,12.619543059038987,-12.18084548354996,24.181375814077597,27.70779749409509,60.46372103518709,31.40585314193465,43.31775568902216,57.68198634775362,candidate,0.7000000000000001,low_inclination;vertical_geometry_proxy_only,5.0,mid_T_3_5,inc_low_lt_40,1.0,0.106945975744,26.0,5.0,12,0.44,5.1850000000000005,13.23,0.2188489548893078,0.0,0.0,1.2025295066464603,1.9917132757130895,3.089988081048868,1.81475,14.677685836592772,5.1850000000000005,0.1784820297001885,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,,,,,,,,,,,partial_success,-1.8685795576185167,-0.6554466997545249,-0.3442192221070544,-0.3441038904934585,-0.2168201849617032,-0.4016895434681918,0.26398014826553146,-0.2889817818392535,-0.3442192221070542,-0.3453636016722509,-0.21682018496170305,,
IC2574,holdout,K_scale_tail_spiral,34,3.008640169380052,13.628706701453044,23.78354699928544,7.5138151552258,13.51316984455882,-10.62006653207299,-20.77490682990539,-4.505174985845748,-10.50452967517877,17.739361050264936,3.008640169380052,7.086907440529077,16.059851613565115,control,1.0,none,9.0,irregular_T_ge_9,inc_high_60_80,2.0,0.051150895141,75.0,7.0,34,0.85,5.545,10.23,0.3765714028427711,0.0,0.0,0.5485328390367614,1.224014811372864,3.3045292014302743,1.94075,12.156162725540774,5.545,0.249457131279247,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,S1,0.4900000095367431,1.0,0.0,0.0,1.5840405679354326,0.0,23.0,0.0,0.0,strong_success,0.8893905919223567,-1.2356773637842995,-0.2945066908645958,-0.4975595829347966,0.5165446050815549,-0.4016895434681918,-0.7163116259630689,-1.3205591125576641,-0.2945066908645955,-0.4682224194482665,0.5165446050815552,,
IC4202,holdout,K_compact_finite,32,29.64934598569153,62.2706809906785,69.1215936942972,26.10151495917691,26.12803028857914,-32.621335004986975,-39.47224770860568,3.547831026514615,3.5213156971123887,29.64934598569153,99.40023465637012,57.848398827642946,29.563409488022423,candidate,1.0,none,4.0,mid_T_3_5,inc_edge_ge_80,1.0,0.099601593625,90.0,1.0,32,0.77,12.905,25.9,0.0480021177055607,0.4202354154490455,0.9823511937853552,1.8322708789160744,2.5252651393808985,7.6907032181168065,4.51675,26.52162742428701,18.328138036369936,0.1016009529675023,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,,,,,,,,,,,partial_success,1.73366716831242,-0.731823248864961,0.7218383923145603,0.3039906505837925,-1.0112096742611698,1.809843345752456,1.207915060630792,0.42796638581833807,0.7218383923145605,0.23172119873840535,-1.0112096742611696,,
NGC0024,holdout,K_thick_flared,29,35.41961884621026,24.205028789567773,47.18129248016706,22.157814084096987,20.65262257294937,11.21459005664249,-11.761673633956796,13.261804762113275,14.766996273260894,37.64853770135638,11.491359671073443,23.475188996273495,35.41961884621026,middle,0.9,vertical_geometry_proxy_only,5.0,mid_T_3_5,inc_high_60_80,2.0,0.049315068493,64.0,3.0,29,0.21,1.7,11.27,0.1003561854937087,0.0,0.0,1.835415645988656,2.6135775721070993,1.0131108462455305,0.595,11.835507105257047,1.7,0.1251602834721689,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,S0,0.2199999988079071,-1.0,0.0,0.0,0.1210357869986905,0.0,6.0,0.0,0.0,partial_success,0.270254435902977,-1.2547687048756737,-0.8254641426069674,-0.44436160955513276,-0.7677780611359781,-0.4016895434681918,1.2126288297458303,0.5466342063919241,-0.825464142606967,-0.4838460598775853,-0.7677780611359779,,
NGC2683,holdout,K_thick_flared,11,34.31463298946919,35.525748614254226,63.99459888504826,10.314830339812676,14.151015414510422,-1.2111156247850374,-29.679965895579073,23.999802649656516,20.163617574958767,39.439379089256775,43.53932622427122,23.59854052923468,34.31463298946919,middle,0.9,vertical_geometry_proxy_only,3.0,mid_T_3_5,inc_edge_ge_80,2.0,0.0499490316,80.0,5.0,11,2.89,17.31,34.62,0.0371166982515088,0.0949683871011883,0.2121899390471468,0.831441692373184,2.8781712312545915,10.315852205005958,6.0585,35.26249004673362,18.95390278072157,0.0967025142131789,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,S0,0.4600000083446502,0.0,0.0,0.0,1.1064880664396937,0.5672652734818724,8.0,0.0,25.0,partial_success,1.1708161173857112,-1.248175922311879,1.3301264482118675,0.7500351966132817,-1.0618237970828557,0.09809154063223173,-0.2922525511733311,0.9021759109893982,1.3301264482118673,0.6576114249391549,-1.0618237970828561,,
NGC3726,holdout,K_thick_flared,12,30.500307403198484,51.28155940473295,50.40406506912891,23.631876746434497,26.325344741169783,-20.78125200153447,-19.903757665930428,6.868430656763987,4.174962662028701,33.71078148849193,72.54368238270291,47.590214343004014,30.500307403198484,candidate,0.9,vertical_geometry_proxy_only,5.0,mid_T_3_5,inc_mid_40_60,4.0,0.138888888889,53.0,2.0,12,3.5,13.065,32.52,0.1226403651218742,0.0,0.0,1.1557074911807586,2.565788807262067,7.786054827175208,4.572749999999999,34.51413233688168,13.065,0.1351881643048434,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice,S3,0.9900000095367432,,0.0830066820540097,0.6636040825370075,2.242359733074621,0.7982364709835583,8.0,1.0,21.0,partial_success,-0.3488817201164027,-0.3232622579567615,0.743932850644542,0.6426162119043454,-0.6641629262813773,-0.4016895434681918,0.19379747167546643,0.48241914179682194,0.743932850644542,0.6211484065741888,-0.664162926281377,,
