annulus,r_mid_arcsec,q_co,q_halpha,q_common,sigma_common,q_co_minus_halpha,sigma_difference
1,20.0,-2.7267388426954753e-05,-4.02537213378476e-05,-3.4198826923256785e-05,4.06776568525654e-06,1.298633291089285e-05,8.154127281053151e-06
2,30.0,-3.3986489331503875e-05,-5.497080118413086e-05,-4.448809136683519e-05,3.7454184606289404e-06,2.098431185262699e-05,7.4908399570850645e-06
3,40.0,-4.0103685581893006e-05,-5.7116236507025187e-05,-4.9233855833262685e-05,3.727419108120917e-06,1.701255092513218e-05,7.474971221948164e-06
4,50.0,-2.76751026980597e-05,-4.193942874284977e-05,-3.5037951213462736e-05,3.8060608565028497e-06,1.4264326044790068e-05,7.6161065879171885e-06
5,60.0,-6.0283349146081355e-06,-3.330000774437285e-05,-2.0487145469056863e-05,3.8186505042705216e-06,2.7271672829764712e-05,7.651248855488354e-06
