galaxy,family,role,filename,url,local_path,bytes,archive_reported_bytes,archive_size_matches,sha256,action,terminal_product,pixel_array_read
NGC1300,S4G_IRAC,masked_3p6um_stellar_morphology_input,NGC1300.phot.1.fits,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC1300/P1/NGC1300.phot.1.fits,data/external/literature/phangs_radial_body_projection_confirmatory_v01/NGC1300/NGC1300.phot.1.fits,8550720,,,6e4bcc6fe2efbd42420976497fef0a82f0c074f3787fd00c49c86ab96f87f7ef,reused_nonempty,False,False
NGC1300,S4G_IRAC,foreground_background_mask,NGC1300.1.final_mask.fits,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC1300/P2/NGC1300.1.final_mask.fits,data/external/literature/phangs_radial_body_projection_confirmatory_v01/NGC1300/NGC1300.1.final_mask.fits,4334400,,,b3086758a72ed71fbb3c52f0a025728392d01280cacfdd6eec0f7433d0b3101f,reused_nonempty,False,False
NGC1300,PHANGS_ALMA_CO21,source_molecular_gas_morphology_input,group.uid___A001_X136d_X13b.lp_schinner.ngc1300_12m7mtp_co21_broad_mom0.fits,https://almascience.nrao.edu/almadata/lp/PHANGS/phangs_groups/group.uid___A001_X136d_X13b.lp_schinner/group.uid___A001_X136d_X13b.lp_schinner.ngc1300_12m7mtp_co21_broad_mom0.fits,data/external/literature/phangs_radial_body_projection_confirmatory_v01/NGC1300/group.uid___A001_X136d_X13b.lp_schinner.ngc1300_12m7mtp_co21_broad_mom0.fits,2125440,,,7b29eec713ff22d2bca57429ccd8a31abcacc1e9e72d0f7b9e20053ffd0fe83a,reused_nonempty,False,False
NGC1300,PHANGS_MUSE,Halpha_flux_velocity_and_errors,NGC1300_MAPS_copt_0.89asec.fits,https://dataportal.eso.org/dataPortal/file/ADP.2021-07-16T10:20:56.362,data/external/literature/phangs_radial_body_projection_confirmatory_v01/NGC1300/NGC1300_MAPS_copt_0.89asec.fits,564168960,564166080,False,d2cd0a9b11e02a36cb127ec6fc5b0fee502754d5ca7ee9e5501e3c64a1a2d7f5,reused_nonempty,True,False
NGC1300,PHANGS_ALMA_CO21,CO21_velocity,group.uid___A001_X136d_X13b.lp_schinner.ngc1300_12m7mtp_co21_mom1wprior.fits,https://almascience.nrao.edu/almadata/lp/PHANGS/phangs_groups/group.uid___A001_X136d_X13b.lp_schinner/group.uid___A001_X136d_X13b.lp_schinner.ngc1300_12m7mtp_co21_mom1wprior.fits,data/external/literature/phangs_radial_body_projection_confirmatory_v01/NGC1300/group.uid___A001_X136d_X13b.lp_schinner.ngc1300_12m7mtp_co21_mom1wprior.fits,2125440,,,eb8ec73edf85a6a6a6ad12d628f8c8c37aa03e4d71df4b5519942c332fa21e6a,reused_nonempty,True,False
NGC1300,PHANGS_ALMA_CO21,CO21_velocity_error,group.uid___A001_X136d_X13b.lp_schinner.ngc1300_12m7mtp_co21_emom1wprior.fits,https://almascience.nrao.edu/almadata/lp/PHANGS/phangs_groups/group.uid___A001_X136d_X13b.lp_schinner/group.uid___A001_X136d_X13b.lp_schinner.ngc1300_12m7mtp_co21_emom1wprior.fits,data/external/literature/phangs_radial_body_projection_confirmatory_v01/NGC1300/group.uid___A001_X136d_X13b.lp_schinner.ngc1300_12m7mtp_co21_emom1wprior.fits,2125440,,,bb735074e4fac606ea39df8920e2269123b849cdf3c29b4604e30c6e663583b8,reused_nonempty,True,False
NGC1385,S4G_IRAC,masked_3p6um_stellar_morphology_input,NGC1385.phot.1.fits,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC1385/P1/NGC1385.phot.1.fits,data/external/literature/phangs_radial_body_projection_confirmatory_v01/NGC1385/NGC1385.phot.1.fits,3384000,,,4904183cc5ed93dbe84c8478ac338dd58b6260339f250a6375bc5ba99aae23bb,reused_nonempty,False,False
NGC1385,S4G_IRAC,foreground_background_mask,NGC1385.1.final_mask.fits,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC1385/P2/NGC1385.1.final_mask.fits,data/external/literature/phangs_radial_body_projection_confirmatory_v01/NGC1385/NGC1385.1.final_mask.fits,1725120,,,0f448aecdb9c839227822a8507bad895a796ee2fa419e3922fe613b3588426ea,reused_nonempty,False,False
NGC1385,PHANGS_ALMA_CO21,source_molecular_gas_morphology_input,group.uid___A001_X136d_X133.lp_schinner.ngc1385_12m7mtp_co21_broad_mom0.fits,https://almascience.nrao.edu/almadata/lp/PHANGS/phangs_groups/group.uid___A001_X136d_X133.lp_schinner/group.uid___A001_X136d_X133.lp_schinner.ngc1385_12m7mtp_co21_broad_mom0.fits,data/external/literature/phangs_radial_body_projection_confirmatory_v01/NGC1385/group.uid___A001_X136d_X133.lp_schinner.ngc1385_12m7mtp_co21_broad_mom0.fits,636480,,,4ad047be39f48156c883567056db012db80172388cd05c907157c8f3a0a575a5,reused_nonempty,False,False
NGC1385,PHANGS_MUSE,Halpha_flux_velocity_and_errors,NGC1385_MAPS_copt_0.77asec.fits,https://dataportal.eso.org/dataPortal/file/ADP.2021-07-16T10:20:56.386,data/external/literature/phangs_radial_body_projection_confirmatory_v01/NGC1385/NGC1385_MAPS_copt_0.77asec.fits,232021440,232021440,True,f309d78a51b4662e0a5b3607a2eef8898b88c313cd2725ba3186a3d88fd23414,reused_nonempty,True,False
