galaxy,radius_kpc,locality_multiplier,ring_strength,closure_kernel_K_thick_flared,claim_boundary
NGC2683,2.89,0.5,0.0,1.144047301915918e-09,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,5.77,0.5,0.0,0.00042612865769156127,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,8.66,0.5,0.0,0.2985256242215563,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,11.54,0.5,0.0,1.579077878798739,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,14.43,0.5,0.0,1.6955714601243648,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,17.31,0.5,0.0,0.12008117399396119,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,20.2,0.5,0.0,2.8462517637944996e-05,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,23.08,0.5,0.0,1.0628605859714995e-11,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,28.85,0.5,0.0,5.386112933766955e-23,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,31.74,0.5,0.0,3.806940789123894e-31,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,34.62,0.5,0.0,5.0795321830179683e-42,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,2.89,0.5,0.5,1.1440467457970703e-09,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,5.77,0.5,0.5,0.0004261284505513691,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,8.66,0.5,0.5,0.2985254791089616,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,11.54,0.5,0.5,1.5790771126552832,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,14.43,0.5,0.5,1.6955747963257468,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,17.31,0.5,0.5,0.12114620196559725,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,20.2,0.5,0.5,0.025186163889837562,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,23.08,0.5,0.5,0.05364031978021031,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,28.85,0.5,0.5,0.00018429863618802913,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,31.74,0.5,0.5,2.923639250240027e-07,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,34.62,0.5,0.5,6.247753055836844e-11,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,2.89,0.5,1.0,1.1440461896787631e-09,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,5.77,0.5,1.0,0.00042612824341137836,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,8.66,0.5,1.0,0.29852533399650794,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,11.54,0.5,1.0,1.5790763465125728,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,14.43,0.5,1.0,1.695578132523886,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,17.31,0.5,1.0,0.12221122890181833,s4g75_ngc2683_closure_source_sensitivity_not_validation
