tracer,annulus,r_lo_arcsec,r_hi_arcsec,n_plus,n_minus,z_plus,z_minus,log_g_spec,sigma_log_g_spec
CO,0,5.0,15.0,21,22,0.008240644684631458,0.0078423215519573,0.008009303172072015,4.942405212614134e-06
CO,1,15.0,25.0,44,44,0.008264435498115204,0.007763581037986756,0.00798203578364506,3.325879066504365e-06
CO,2,25.0,35.0,61,62,0.008313651762683663,0.007700849844257843,0.007975316682740511,1.911604437712193e-06
CO,3,35.0,45.0,65,79,0.008312228354812348,0.007689943839354162,0.007969199486490122,2.3578205608016834e-06
CO,4,45.0,55.0,94,71,0.00831546891184249,0.007711753839448811,0.007981628069373956,2.3480289768023095e-06
CO,5,55.0,65.0,89,100,0.008321966160035842,0.007748888591171821,0.008003274837157407,2.570999543555527e-06
Halpha,0,5.0,15.0,21,22,0.008254683394750382,0.007841868940033307,0.008016040562369448,4.749876140371794e-06
Halpha,1,15.0,25.0,44,44,0.008252873652838258,0.007762542293148875,0.0079757868410316,2.905103701428688e-06
Halpha,2,25.0,35.0,61,62,0.008294435875058752,0.0076913410113804955,0.007961069761185317,2.3387516118289686e-06
Halpha,3,35.0,45.0,65,79,0.008288682425212551,0.007692767164113766,0.007958924325862423,1.8240571091567949e-06
Halpha,4,45.0,55.0,94,71,0.008295766946894823,0.007716274247378096,0.007974101133626598,2.34587869423457e-06
Halpha,5,55.0,65.0,89,100,0.008304929547968784,0.007724529157977524,0.007982740554625075,2.223258365800184e-06
