baryonic_sensitivity,rmse_newton_baryonic,rmse_matched_ngc4579,rmse_wrong_family_mean,rmse_wrong_family_best,best_wrong_galaxy,reduced_chi2_newton_baryonic,reduced_chi2_matched_ngc4579,reduced_chi2_wrong_family_mean,matched_beats_newton,matched_beats_wrong_mean,matched_beats_best_wrong
vbar_alpha3.20_h0.1_km_s,70.82325557682121,53.57207082780319,67.07467800799056,63.291304610440456,NGC 7479,99.66841985147019,45.34476358840099,86.70173506160471,True,True,True
vbar_alpha3.20_h0.3_km_s,70.70206356149397,53.381089209877196,66.94208095481417,63.14470194803319,NGC 7479,100.0435496484644,45.0901255887282,86.97034373592595,True,True,True
vbar_alpha3.20_h0.5_km_s,70.84699842780833,53.5377677527166,67.08968615726486,63.295066532755676,NGC 7479,100.62269873319124,45.29022092549431,87.48401044429248,True,True,True
vbar_alpha4.35_h0.1_km_s,69.79330725167743,52.47333094749786,66.02797145756958,62.228334718115896,NGC 7479,96.6938250404748,43.39619274795346,83.91319762131117,True,True,True
vbar_alpha4.35_h0.3_km_s,69.63479159608028,52.21190708850963,65.85268092434646,62.03263321057205,NGC 7479,97.21159329531075,43.07898654007011,84.28918877774558,True,True,True
vbar_alpha4.35_h0.5_km_s,69.82472881658236,52.41602939173332,66.04592749934191,62.22927288021716,NGC 7479,97.99430015766703,43.360337731580984,84.98508782933902,True,True,True
vbar_alpha5.50_h0.1_km_s,68.78682346959391,51.40793061358274,65.00641021226387,61.19236549404467,NGC 7479,93.80671247259373,41.5431549298995,81.21376574833684,True,True,True
vbar_alpha5.50_h0.3_km_s,68.57594037308033,51.0527454210623,64.77201024237364,60.92959524354534,NGC 7479,94.43603412094117,41.12953957004474,81.66553620569275,True,True,True
vbar_alpha5.50_h0.5_km_s,68.80898180488808,51.301633475515075,65.00886655493625,61.17033311370497,NGC 7479,95.41379471799243,41.482858065767786,82.53501896256665,True,True,True
