galaxy,catalog_match,source_name,a1_inner,a1_outer,m1_null_threshold,radial_m1_null_source_certified,selection_uses_velocity_contrast,selection_uses_rotation_residual
IC5332,True,IC5332,0.16200000047683716,0.36500000953674316,0.1,False,False,False
NGC0628,False,,,,0.1,False,False,False
NGC1087,False,,,,0.1,False,False,False
NGC1300,False,,,,0.1,False,False,False
NGC1365,False,,,,0.1,False,False,False
NGC1385,False,,,,0.1,False,False,False
NGC1433,False,,,,0.1,False,False,False
NGC1512,False,,,,0.1,False,False,False
NGC1566,False,,,,0.1,False,False,False
NGC1672,True,NGC1672,0.19300000369548798,0.47600001096725464,0.1,False,False,False
NGC2835,False,,,,0.1,False,False,False
NGC3351,False,,,,0.1,False,False,False
NGC3627,False,,,,0.1,False,False,False
NGC4254,False,,,,0.1,False,False,False
NGC4303,True,NGC4303,0.2150000035762787,0.24699999392032623,0.1,False,False,False
NGC4321,False,,,,0.1,False,False,False
NGC4535,False,,,,0.1,False,False,False
NGC5068,True,NGC5068,0.22300000488758087,0.27900001406669617,0.1,False,False,False
NGC7496,False,,,,0.1,False,False,False
