galaxy,split,formula_family,n_points,rmse_matched,rmse_wrong_mean,matched_minus_wrong,rmse_newton,rmse_tpg_v6,rmse_mond,matched_minus_newton,matched_minus_tpg_v6,matched_minus_mond,rmse_K_compact_finite,rmse_K_scale_tail_spiral,rmse_K_exponential_disk,rmse_K_thick_flared
CamB,holdout,K_scale_tail_spiral,9,12.566915820950584,6.29907791514907,6.267837905801514,3.3556068721726025,13.63779853730796,15.623524086441458,9.211308948777981,-1.0708827163573762,-3.0566082654908744,4.476340280950887,12.566915820950584,8.399046899804087,6.021846564692234
ESO116-G012,holdout,K_exponential_disk,15,17.52376959959143,25.701888916538348,-8.178119316946919,46.78642194708297,11.508201668011028,9.108666488881621,-29.262652347491542,6.015567931580401,8.415103110709808,35.69828231511175,13.740913218730658,17.52376959959143,27.666471215772624
F561-1,holdout,K_scale_tail_spiral,6,25.596648332029257,9.048304922261261,16.548343409767995,9.593416723190401,28.55685188052471,32.526019723976546,16.003231608838856,-2.9602035484954534,-6.929371391947289,4.6751504089464,25.596648332029257,15.461656115851092,7.008108241986293
F563-1,holdout,K_scale_tail_spiral,17,33.41493238784535,49.08558956153953,-15.670657173694181,62.47755725522295,24.695833689633552,18.44568739642176,-29.0626248673776,8.719098698211795,14.969244991423587,55.50892825004783,33.41493238784535,42.31164676864706,49.4361936659237
F568-1,holdout,K_thick_flared,12,53.50364851544093,45.71360898516682,7.7900395302741074,69.86283183130358,33.500610533676024,29.974188853658532,-16.35918331586265,20.003037981764905,23.529459661782397,60.60914037348592,32.481005877827975,44.05068070418658,53.50364851544093
IC2574,holdout,K_scale_tail_spiral,34,4.380484577484164,13.480581690351277,-9.100097112867115,23.78354699928544,7.5138151552258,13.51316984455882,-19.403062421801277,-3.1333305777416367,-9.132685267074656,17.647540615482868,4.380484577484164,8.685277098916929,14.10892735665404
IC4202,holdout,K_compact_finite,32,29.132440298079988,61.01771178118502,-31.885271483105033,69.1215936942972,26.101514959176914,26.12803028857914,-39.98915339621722,3.0309253389030744,3.004410009500848,29.132440298079988,101.54237004970608,52.825561234529914,28.68520405931905
NGC0024,holdout,K_thick_flared,29,31.749208156209985,24.720054871710587,7.029153284499397,47.18129248016706,22.157814084096987,20.65262257294937,-15.432084323957074,9.591394072112998,11.096585583260616,37.403380584905605,12.695921387965006,24.060862642261146,31.749208156209985
NGC2683,holdout,K_thick_flared,11,27.171716555691535,41.380915304693936,-14.2091987490024,63.99459888504826,10.314830339812675,14.151015414510422,-36.82288232935673,16.85688621587886,13.020701141181114,39.2731287897518,56.85477669219878,28.014840432131223,27.171716555691535
NGC3726,holdout,K_thick_flared,12,30.454207196603164,54.43373004535244,-23.979522848749276,50.40406506912891,23.631876746434497,26.325344741169783,-19.949857872525747,6.822330450168668,4.1288624554333815,33.808879573127044,83.53306763605995,45.95924292687033,30.454207196603164
NGC3949,holdout,K_thick_flared,7,35.24993207632028,62.492130088375426,-27.242198012055148,28.51727644416544,8.950158230683527,11.297904622428334,6.732655632154838,26.29977384563675,23.952027453891944,18.03221813132278,104.53995877634432,64.90421335745916,35.24993207632028
NGC3972,holdout,K_thick_flared,10,17.883167527196196,18.072096346317583,-0.18892881912138648,44.45959494291804,7.806428086864266,6.774747860896815,-26.57642741572184,10.07673944033193,11.108419666299381,28.09612578555446,21.41468923362045,4.705474019777833,17.883167527196196
NGC4013,holdout,K_compact_finite,36,37.334663446974396,50.145345885960786,-12.81068243898639,65.6912991112144,12.273912532057183,14.334222058319126,-28.35663566424001,25.060750914917215,23.00044138865527,37.334663446974396,71.98119027642335,42.735925900605416,35.71892148085359
NGC4088,holdout,K_thick_flared,12,53.42862651662806,85.55931029843855,-32.13068378181049,25.396289301523897,38.98773649865968,42.18384581680386,28.03233721510416,14.440890017968378,11.244780699824197,31.014528927729636,137.12328857146815,88.54011339611786,53.42862651662806
NGC4183,holdout,K_exponential_disk,23,14.809984518909914,26.242383153691446,-11.432398634781531,48.41085618248364,6.489693491114096,10.354993594406714,-33.60087166357373,8.320291027795818,4.4549909245032,34.98677387775974,17.612188523347545,14.809984518909914,26.128187059967054
NGC4214,holdout,K_scale_tail_spiral,14,20.955626535280203,31.29956016034946,-10.343933625069258,43.616236802795356,17.991047303306434,15.27888150484993,-22.660610267515153,2.9645792319737687,5.676745030430274,36.42203164261174,20.955626535280203,25.671618404348187,31.805030434088458
NGC4389,holdout,K_thick_flared,6,57.14955536299215,76.17806433085788,-19.028508967865726,23.5662941993844,46.55692853885728,48.50110279830857,33.58326116360775,10.592626824134875,8.64845256468358,42.383331801784706,106.44746890664018,79.70339228414878,57.14955536299215
