galaxy,ra_deg,dec_deg,suggested_fov_arcmin,sparc_distance_mpc,sparc_inclination_deg,sparc_rdisk_kpc,sparc_rhi_kpc,s4g_position_angle_deg,s4g_ellipticity,s4g_rmax_arcsec,s4g_model_components,inspection_focus,requested_external_sources,ned_url,simbad_url,skyview_dss2_red_url,skyview_2mass_ks_url,skyview_wise_w1_url,request_status,accepted_label_output_allowed,endpoint_scores_allowed,claim_boundary
NGC0100,6.01182,16.48639,8.0,13.5,89.0,1.66,16.36,55.2,0.845,52.0,Z,edge_on_projection_degeneracy;outer_disk_tail_lsb_or_hi_extent,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry,https://ned.ipac.caltech.edu/byname?objname=NGC0100,https://simbad.cds.unistra.fr/simbad/sim-id?Ident=NGC0100,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=6.011820+16.486390&Survey=DSS2%20Red&Size=0.1333,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=6.011820+16.486390&Survey=2MASS-K&Size=0.1333,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=6.011820+16.486390&Survey=WISE%203.4&Size=0.1333,PENDING_EXTERNAL_IMAGE_AND_CATALOG_REVIEW,False,False,p0_external_imaging_request_not_morphology_label_not_endpoint
NGC0247,11.78564,-20.7604,29.745,3.7,74.0,3.74,12.79,170.8,0.749,675.0,D;BAR,bar_m2_component;outer_disk_tail_lsb_or_hi_extent,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry;bar_length_and_m2_component;velocity_field_if_available,https://ned.ipac.caltech.edu/byname?objname=NGC0247,https://simbad.cds.unistra.fr/simbad/sim-id?Ident=NGC0247,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=11.785640+-20.760400&Survey=DSS2%20Red&Size=0.4958,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=11.785640+-20.760400&Survey=2MASS-K&Size=0.4958,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=11.785640+-20.760400&Survey=WISE%203.4&Size=0.4958,PENDING_EXTERNAL_IMAGE_AND_CATALOG_REVIEW,False,False,p0_external_imaging_request_not_morphology_label_not_endpoint
NGC0300,13.72283,-37.68438,20.288,2.08,42.0,1.75,9.2,115.5,0.291,562.0,D,outer_disk_tail_lsb_or_hi_extent,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry,https://ned.ipac.caltech.edu/byname?objname=NGC0300,https://simbad.cds.unistra.fr/simbad/sim-id?Ident=NGC0300,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=13.722830+-37.684380&Survey=DSS2%20Red&Size=0.3381,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=13.722830+-37.684380&Survey=2MASS-K&Size=0.3381,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=13.722830+-37.684380&Survey=WISE%203.4&Size=0.3381,PENDING_EXTERNAL_IMAGE_AND_CATALOG_REVIEW,False,False,p0_external_imaging_request_not_morphology_label_not_endpoint
NGC6503,267.36047,70.14434,10.03,6.26,74.0,2.16,14.05,120.2,0.648,142.0,D;N,outer_disk_tail_lsb_or_hi_extent,residual_blind_multiband_image_morphology_label;deep_optical_or_ir_outer_disk_profile;hi_extent_or_asymmetry,https://ned.ipac.caltech.edu/byname?objname=NGC6503,https://simbad.cds.unistra.fr/simbad/sim-id?Ident=NGC6503,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=267.360470+70.144340&Survey=DSS2%20Red&Size=0.1672,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=267.360470+70.144340&Survey=2MASS-K&Size=0.1672,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=267.360470+70.144340&Survey=WISE%203.4&Size=0.1672,PENDING_EXTERNAL_IMAGE_AND_CATALOG_REVIEW,False,False,p0_external_imaging_request_not_morphology_label_not_endpoint
