galaxy,profile_type,break_radius_kpc,break_radius_error_kpc,inner_scale_kpc,outer_scale_kpc,sparc_rdisk_kpc,endpoint_blind,retrospective_lock
NGC3949,III,3.7799999713897705,0.1500000059604644,0.800000011920929,1.350000023841858,3.59,True,True
NGC3953,II,10.960000038146973,0.1199999973177909,3.369999885559082,1.8600000143051147,4.89,True,True
NGC3992,II,9.25,0.1899999976158142,12.390000343322754,2.559999942779541,4.96,True,True
NGC4138,III,3.3299999237060547,0.1599999964237213,0.9100000262260436,1.2799999713897705,1.51,True,True
NGC5055,III,7.46999979019165,0.2000000029802322,2.130000114440918,3.3299999237060547,3.2,True,True
NGC5985,II,9.420000076293944,0.1700000017881393,16.690000534057617,4.670000076293945,7.01,True,True
NGC7793,II,2.799999952316284,0.1199999973177909,1.3200000524520874,0.8799999952316284,1.21,True,True
