zone,radius_min_arcsec,radius_max_arcsec,n_independent_pixels,mode,co_minus_halpha_km_s,sigma_km_s,z,sector_jackknife_sigma_km_s,sector_jackknife_z,occupied_jackknife_sectors
0,1.5250693019513684,53.0524030324673,799,m0,1.7259369432963112,0.02645076436659096,65.25092883426393,1.5028192314890538,1.1484661010001738,12
0,1.5250693019513684,53.0524030324673,799,m1_cos,1.1058528827261072,0.02709724216361375,40.810532527588705,1.6632129683339485,0.6648895263448116,12
0,1.5250693019513684,53.0524030324673,799,m1_sin,-0.27691063997895277,0.04136200749847173,-6.694806580391057,2.240014117278471,-0.12362004232160301,12
0,1.5250693019513684,53.0524030324673,799,m2_cos,0.033791895406540595,0.033377187526624864,1.0124248898917838,1.7503157470065345,0.019306171166164135,12
0,1.5250693019513684,53.0524030324673,799,m2_sin,0.21318648695112913,0.03657923501959442,5.828073956082773,2.1752481856491266,0.09800559235382655,12
1,53.0524030324673,75.80573171099581,799,m0,1.7115973020809516,0.026283277905746794,65.12115072628417,1.9784731109260363,0.8651102168782209,12
1,53.0524030324673,75.80573171099581,799,m1_cos,1.0836356785128043,0.028485099596767104,38.0421937733295,2.2896948624823845,0.4732664147824375,12
1,53.0524030324673,75.80573171099581,799,m1_sin,-5.025284897261294,0.03699256071144765,-135.84582414988586,3.1720876174232444,-1.5842200794388654,12
1,53.0524030324673,75.80573171099581,799,m2_cos,-0.9271828389006316,0.02797512671111273,-33.14311489900495,2.8317156736681444,-0.32742794325094743,12
1,53.0524030324673,75.80573171099581,799,m2_sin,3.1416649406449206,0.02968421342316932,105.83621994149817,2.950960599912874,1.0646244957447677,12
2,75.80573171099581,93.96450429393417,798,m0,-1.2614040412374852,0.02877673788278995,-43.834156824004474,1.4326872289101242,-0.8804462102988537,12
2,75.80573171099581,93.96450429393417,798,m1_cos,3.8615487799077473,0.03776666908777492,102.24753395468841,2.7075416318757486,1.4262195396908885,12
2,75.80573171099581,93.96450429393417,798,m1_sin,-2.365058333815544,0.029335152771150754,-80.62198797005848,2.2454906207383347,-1.05324792362655,12
2,75.80573171099581,93.96450429393417,798,m2_cos,-2.105158264016546,0.03141201865836156,-67.01760516929319,2.4729572976032,-0.8512715791966459,12
2,75.80573171099581,93.96450429393417,798,m2_sin,1.1169116739212062,0.03694214273694598,30.234079324374935,2.3963865380566824,0.4660816008534878,12
3,93.96450429393417,114.75597279100545,799,m0,-2.6118540612688395,0.07229404585700662,-36.128204339745125,2.7878776947869333,-0.9368610632212305,10
3,93.96450429393417,114.75597279100545,799,m1_cos,3.7224976016292795,0.11577605424104502,32.15256925131567,6.411491053965624,0.5805978001524071,10
3,93.96450429393417,114.75597279100545,799,m1_sin,0.893323608361367,0.051442267943859775,17.365556459063455,3.709051737664052,0.24084959486814253,10
3,93.96450429393417,114.75597279100545,799,m2_cos,-4.172562836808867,0.05025219442289112,-83.0324503183917,4.506142987823435,-0.92597213361494,10
3,93.96450429393417,114.75597279100545,799,m2_sin,-1.3082555937347566,0.06754525810849077,-19.368577904217123,2.7256208879086747,-0.4799844320016788,10
4,114.75597279100545,166.6474222805176,799,m0,-7.487738556723514,0.2716120732248725,-27.567767764595207,4.884628126030649,-1.5329188555461655,8
4,114.75597279100545,166.6474222805176,799,m1_cos,8.723531139118194,0.33107198993227527,26.349348191318438,6.770029016572464,1.2885515139984953,8
4,114.75597279100545,166.6474222805176,799,m1_sin,3.372114724029217,0.21752245100897527,15.502375540491123,4.9334162520950064,0.6835252797890766,8
4,114.75597279100545,166.6474222805176,799,m2_cos,-3.1134595625294423,0.11718720187017284,-26.568255857655203,2.627909111197876,-1.1847668358325523,8
4,114.75597279100545,166.6474222805176,799,m2_sin,-2.5156522010312017,0.19238349320882522,-13.076237254412225,4.420594735915863,-0.5690755093635623,8
