radius_arcsec,inclination_deg,e_inclination_deg,pa_deg,e_pa_deg,tip_deg,e_tip_deg,lon_deg,e_lon_deg,n_w_unit,n_n_unit,n_los_unit,d_inner,d_outer,chi,projection_ratio_sq_reference_sensitivity,endpoint_values_used
36,65.6,10,263.1,15,1.9,13.2,-67,180,-0.90377724636,0.108973141431,0.413897986718,0.00178702031282,0.0317164966977,-0.0307503485515,0.988371795617,False
48,66.3,10,261.2,15,0,0,-125,180,-0.904769313234,0.140964058747,0.401897529193,0.00079991118584,0.0408163856615,-0.0359715700436,1.00004817433,False
60,67,5.3,259.2,7.9,1.9,7.2,112,170,-0.904679347997,0.171939058404,0.389861818474,0.000955797757145,0.0507384141451,-0.0409121718909,1.01141381692,False
72,66.8,4,259.4,6,1.7,5.5,107,140,-0.903897865312,0.168980906236,0.392955598526,0.000807246406043,0.0495441991094,-0.0383844502572,1.00852527304,False
84,66.6,4,259.5,4,1.5,3.8,101,149,-0.902590767859,0.166924316979,0.396820082879,0.000646085497229,0.048555120263,-0.0347845014442,1.00488508042,False
96,66,4,259.8,4,1.3,3.7,77,172,-0.898811718665,0.162965862227,0.406914760286,0.000316442886974,0.0464738403349,-0.0249629886752,0.99520822404,False
108,65,4,260.1,4,1.7,3.9,37,130,-0.892681369616,0.155944337805,0.422849069818,6.99185870129e-05,0.0432302001397,-0.00952246182965,0.979438764704,False
120,64,5.2,260.4,4,2.5,5.1,17,88,-0.885903884642,0.149983727648,0.438952376251,0.00015094757171,0.0406065681204,0.00654902344618,0.962886732209,False
132,63.9,5,260,4,2.6,4.9,23,85,-0.884268858606,0.156047445636,0.440133821025,9.80557950332e-05,0.042256300116,0.00940422995779,0.96164800995,False
144,63.9,4.9,259.7,5.5,2.8,5,29,101,-0.883348991791,0.161063632705,0.440173903044,7.26918757813e-05,0.0436949395803,0.0107515651354,0.961605926324,False
156,64,4,259.1,4.6,3,4.1,39,78,-0.882587999477,0.170113333232,0.43829199974,6.85226318335e-05,0.0464476529888,0.011068442897,0.963577673686,False
168,64.3,4,258.2,4,3.3,3.8,52,67,-0.881940030117,0.183987489276,0.43397049101,0.00021853296056,0.0509064071836,0.0100650575402,0.968073521963,False
180,64.6,4,257.4,4,3.8,3.7,63,60,-0.881658864017,0.196923805228,0.428834073314,0.000547122258642,0.0553142432302,0.00801668358392,0.973359213585,False
192,63.9,4,257.1,4,4.5,3.8,56,51,-0.875163670911,0.201037597546,0.440082303087,0.000806226463271,0.0560982785258,0.0215189161691,0.961702094953,False
210,62.8,4.6,256.5,4,5.5,4.1,49,45,-0.865033304423,0.20700796996,0.457017595516,0.00154493150174,0.057554097151,0.0419678630204,0.943581912666,False
240,58.4,4,261.5,4,7.9,4,-2,25,-0.842536311356,0.125930694224,0.523711775979,0.00620575098321,0.0344361479038,0.0959467109424,0.865569056772,False
270,58.1,4,271.6,4,12.3,3.7,-46,18,-0.848931663751,-0.0239980682333,0.527957501132,0.023359731677,0.00713340235555,0.0700267304159,0.860243560095,False
300,56,4,271.9,4,14,3.7,-40,16,-0.828013248318,-0.0280004480108,0.560008960215,0.0288244523913,0.00939103744696,0.106796105939,0.81865323004,False
330,58.4,5,277.2,5.7,16.2,4.9,-57,18,-0.844978875792,-0.1069973251,0.523986900491,0.0422247473687,0.00155092671266,0.0535727440679,0.865225265588,False
360,58.4,4,274.9,5.3,14.5,4.5,-54,17,-0.848700461596,-0.0729742446367,0.523815125885,0.0333987416,0.00287877614392,0.0577914736697,0.865439933558,False
390,62.8,6.3,280.4,10,17.7,8.9,-75,21,-0.875226713082,-0.161041715207,0.456118149903,0.0534075249346,0.000736022358063,-0.029033575356,0.944561491305,False
420,59.8,5.9,275,10,13.9,8.3,-59,27,-0.861019373154,-0.075001687557,0.503011317882,0.0317300388822,0.00189724758636,0.0336740521656,0.890918144917,False
450,62.6,15,282.9,5.3,19.9,4.9,-75,44,-0.865021625811,-0.198004950186,0.461011525432,0.0664458393399,0.00238338540019,-0.0267064182196,0.939208847471,False
520,65.1,7.5,277.8,5.5,15.2,5.1,-82,29,-0.898632534425,-0.123949315093,0.420827916566,0.0416835621397,0.00222478553277,-0.063864656,0.981472547185,False
590,68.4,6.3,287.6,6.6,24.5,6.2,-90,16,-0.886274344371,-0.281087009896,0.368113948904,0.101142331004,0.0175538135757,-0.132229726266,1.03107461285,False
