radius_arcsec,radius_kpc_source,radius_kpc_error,sigma_hi_msun_pc2,sigma_hi_error,inclination_deg,inclination_error_deg,pa_deg,pa_error_deg,n_w,n_w_error,n_n,n_n_error,n_los,n_los_error,tip_deg,tip_error_deg,lon_deg,lon_error_deg,zone,within_source_terminal_support,n_w_orientation,n_n_orientation,n_los_orientation,published_normal_norm_before_renormalization,orientation_vs_published_normal_deg,tip_from_orientation_deg,tip_from_published_normal_deg,tip_residual_orientation_minus_published_deg,delta_tilt,distance_to_outer_plane_deg,connection_angle_from_previous_ring_deg,connection_gradient_deg_per_kpc,geodesic_progress_diagnostic_not_kernel,lon_phase_cos,lon_phase_sin
0,0,0,7.6,3.5,67.2,8.6,96.3,8.6,0.916,0.06,0.102,0.138,0.388,0.139,0,0,123,180,inner_reference_plane,True,0.9162959789518,0.1011600178598,0.3875155864521,1.000001999998,0.05808741111763,0,8.537736462516e-07,0,0,14.29662913838,,,0,,
12,0.88,0.2,9.5,4.6,67.2,8.6,96.3,8.6,0.916,0.06,0.102,0.138,0.388,0.139,0,0,123,180,inner_reference_plane,True,0.9162959789518,0.1011600178598,0.3875155864521,1.000001999998,0.05808741111763,0,8.537736462516e-07,0,0,14.29662913838,0,0,0,,
24,1.76,0.4,8.2,1.6,67.2,8.4,96.3,4,0.916,0.057,0.102,0.064,0.388,0.135,0,0,123,180,inner_reference_plane,True,0.9162959789518,0.1011600178598,0.3875155864521,1.000001999998,0.05808741111763,0,8.537736462516e-07,0,0,14.29662913838,0,0,0,,
36,2.64,0.61,5.5,1.2,67.2,6.7,96.3,4,0.916,0.046,0.102,0.064,0.388,0.108,0,0,123,180,inner_reference_plane,True,0.9162959789518,0.1011600178598,0.3875155864521,1.000001999998,0.05808741111763,0,8.537736462516e-07,0,0,14.29662913838,0,0,0,,
48,3.51,0.81,3.5,0.5,67.2,4,96.3,4,0.916,0.028,0.102,0.064,0.388,0.064,0,0,123,180,inner_reference_plane,True,0.9162959789518,0.1011600178598,0.3875155864521,1.000001999998,0.05808741111763,0,8.537736462516e-07,0,0,14.29662913838,0,0,0,,
60,4.39,1.01,4.2,0.5,67.2,4,96.3,4,0.916,0.028,0.102,0.064,0.388,0.064,0,0,123,180,inner_reference_plane,True,0.9162959789518,0.1011600178598,0.3875155864521,1.000001999998,0.05808741111763,0,8.537736462516e-07,0,0,14.29662913838,0,0,0,,
72,5.27,1.21,4.3,0.2,67.2,4,96.3,4,0.916,0.028,0.102,0.064,0.388,0.064,0,0,123,180,inner_reference_plane,True,0.9162959789518,0.1011600178598,0.3875155864521,1.000001999998,0.05808741111763,0,8.537736462516e-07,0,0,14.29662913838,0,0,0,,
84,6.15,1.42,4.2,1,67.2,4,96.3,4,0.916,0.028,0.102,0.064,0.388,0.064,0,0,123,180,inner_reference_plane,True,0.9162959789518,0.1011600178598,0.3875155864521,1.000001999998,0.05808741111763,0,8.537736462516e-07,0,0,14.29662913838,0,0,0,,
120,8.78,2.02,3.6,0.3,67.2,4,96.3,4,0.916,0.028,0.102,0.064,0.388,0.064,0,0,123,180,inner_reference_plane,True,0.9162959789518,0.1011600178598,0.3875155864521,1.000001999998,0.05808741111763,0,8.537736462516e-07,0,0,14.29662913838,0,0,0,,
150,10.98,2.53,1.3,0.5,67.2,5.6,96.3,4,0.916,0.038,0.102,0.064,0.388,0.09,0,0,123,180,inner_reference_plane,True,0.9162959789518,0.1011600178598,0.3875155864521,1.000001999998,0.05808741111763,0,8.537736462516e-07,0,0,14.29662913838,0,0,0,,
180,13.18,3.03,1.7,0.2,70.1,4,91.3,4,0.94,0.024,0.021,0.066,0.34,0.066,5.5,3.9,121,41,transition,True,0.9400461056125,0.02133263039201,0.3403795502131,0.999820483887,0.02715610616149,5.485239597788,5.569810793767,-0.01476040221162,0.00457914310933,9.575927306353,5.485239597788,2.493290726267,0.3836736299653,-0.5150380749101,0.8571673007021
