zone,error_floor_km_s,chi2,dof,max_absolute_z
0,0.0,8859.567912743878,5,86.73696883181998
0,1.0,4663.9979792970435,5,60.640169059194804
0,3.0,1843.7047337379022,5,38.558289592424686
0,5.0,830.7477881621014,5,25.81291436100072
0,10.0,230.70486871645207,5,13.56787797437252
1,0.0,17847.03506615504,5,94.9460747903777
1,1.0,2472.672517530119,5,40.483741074022944
1,3.0,446.60717592608194,5,16.106933416025573
1,5.0,184.67426739982162,5,10.163711701769595
1,10.0,52.12697085012731,5,5.350290413711083
2,0.0,4305.480191372793,5,55.732640758149444
2,1.0,685.475606657148,5,22.044864416049233
2,3.0,111.95167743873805,5,8.651902159864544
2,5.0,45.636762977714596,5,5.483069418441194
2,10.0,12.753802131024537,5,2.907187405512701
3,0.0,4084.2843192209607,5,36.977580410883725
3,1.0,798.3434226022594,5,17.550004531114528
3,3.0,141.67076470861085,5,8.243289112112569
3,5.0,54.274554703963254,5,5.377456150300434
3,10.0,13.995761516039508,5,2.807174516630031
4,0.0,7909.219916291172,5,50.49700273559702
4,1.0,1565.360462270811,5,24.968413111803773
4,3.0,267.8493913936093,5,11.489108144208961
4,5.0,97.67141499675654,5,7.350905115523704
4,10.0,22.568037604766648,5,3.733348950961032
