galaxy,curve_type,r03_kpc,v03_km_s,radius_kpc,velocity_km_s,velocity_error_km_s,endpoint_access
DDO_216,Model,0.48497,13.137949,0.43000010541,12.416504806563001,1.920006142758,False
DDO_216,Model,0.48497,13.137949,0.52000035304,13.2758974645,1.99000513503,False
DDO_216,Model,0.48497,13.137949,0.6000000343,13.860194608326001,2.4199970678510003,False
DDO_216,Model,0.48497,13.137949,0.69000028193,14.378197661498001,2.549997073206,False
DDO_216,Model,0.48497,13.137949,0.77000044816,14.749003134074,2.4999940393120004,False
DDO_216,Model,0.48497,13.137949,0.86000021082,15.092100672209002,2.51000515645,False
DDO_216,Model,0.48497,13.137949,0.94000037705,15.346898055115,2.409999088662,False
DDO_216,Model,0.48497,13.137949,1.03000013971,15.589897559819,3.1700031624140004,False
DDO_216,Model,0.48497,13.137949,1.12000038734,15.796596911436001,3.2699960922530003,False
DDO_53,Data,1.204556,31.441326,0.11000005392,1.939992696852,1.559992830816,False
DDO_53,Data,1.204556,31.441326,0.22000010784,7.799995595406,2.590010670576,False
DDO_53,Data,1.204556,31.441326,0.340000385672,9.430008259224001,2.9500138532760003,False
DDO_53,Data,1.204556,31.441326,0.45000043959200003,12.48000552918,3.2000038363020002,False
DDO_53,Data,1.204556,31.441326,0.560000493512,15.949996031844,2.8000072869299997,False
DDO_53,Data,1.204556,31.441326,0.670000547432,17.279995562969997,2.26000251288,False
DDO_53,Data,1.204556,31.441326,0.7800006013519999,20.749986065633998,2.240005829544,False
DDO_53,Data,1.204556,31.441326,0.890000655272,24.719987975676,3.220000519638,False
DDO_53,Data,1.204556,31.441326,1.009999728548,27.699996853955998,3.360008744316,False
DDO_53,Data,1.204556,31.441326,1.119999782468,30.049984441848,3.7100135853480003,False
DDO_53,Data,1.204556,31.441326,1.229999836388,31.859998697016003,4.150003501392,False
DDO_53,Data,1.204556,31.441326,1.339999890308,32.000006921693995,3.5100153106620002,False
DDO_53,Data,1.204556,31.441326,1.4499999442279998,28.649996519046,3.920010201702,False
DDO_53,Data,1.204556,31.441326,1.559999998148,29.249991343104,5.11000150815,False
DDO_53,Model,1.45,33.137901,0.1099999,3.2582178400229997,1.5599998274759999,False
DDO_53,Model,1.45,33.137901,0.2199998,6.474681924786,2.589992066358,False
DDO_53,Model,1.45,33.137901,0.34000035,9.890801863074,2.950002222822,False
DDO_53,Model,1.45,33.137901,0.45000024999999994,12.902506857557999,3.199994547966,False
DDO_53,Model,1.45,33.137901,0.56000015,15.774204220317001,2.799986944995,False
DDO_53,Model,1.45,33.137901,0.67000005,18.489689517762,2.2600048482,False
DDO_53,Model,1.45,33.137901,0.77999995,21.03991610292,2.239989555996,False
DDO_53,Model,1.45,33.137901,0.88999985,23.422199805810003,3.2200098401700004,False
DDO_53,Model,1.45,33.137901,1.0100003999999998,25.832385621342,3.359984333994,False
DDO_53,Model,1.45,33.137901,1.1200003,27.875105252685,3.709986844356,False
DDO_53,Model,1.45,33.137901,1.2300002,29.767113710279997,4.149991893834001,False
DDO_53,Model,1.45,33.137901,1.3400001,31.517888433813,3.509999611821,False
DDO_53,Model,1.45,33.137901,1.45,33.137901,3.9200148608939998,False
DDO_70,Data,0.559981,23.289692,0.08000000562199999,6.54999297808,1.849993394328,False
DDO_70,Data,0.559981,23.289692,0.170000151942,10.560012146639998,1.389998687636,False
DDO_70,Data,0.559981,23.289692,0.24999959758299997,13.709989569023998,1.7500107465719998,False
DDO_70,Data,0.559981,23.289692,0.32999960320499994,16.929999095252,2.2600084219879997,False
