amplitude_path_id,family_weight,global_weight,split,n_galaxies,matched_beats_wrong_fraction,matched_rank1_fraction,matched_beats_tpg_v6_fraction,matched_beats_mond_fraction,mean_matched_minus_wrong,median_matched_minus_wrong,mean_matched_minus_tpg_v6,median_matched_minus_tpg_v6,mean_matched_minus_mond,median_matched_minus_mond
shrink_family_weight_0.00,0.0,1.0,holdout,44,0.5909090909090909,0.25,0.5454545454545454,0.5681818181818182,-0.12389926784657167,-0.1300719791512801,-0.09700811802725472,-0.049715782911791795,-0.5682533628140172,-1.7623722719255488
shrink_family_weight_0.00,0.0,1.0,train,131,0.549618320610687,0.2748091603053435,0.4580152671755725,0.5572519083969466,-0.05478047407864683,-0.029306669091401005,0.02119501349302387,0.004447093447282668,-0.4610233052226638,-0.7384441518784914
shrink_family_weight_0.05,0.05,0.95,holdout,44,0.6136363636363636,0.2727272727272727,0.5681818181818182,0.5681818181818182,-1.2267847037836475,-0.48779716205037804,-0.06312088787910242,-0.1659920035623781,-0.5343661326658649,-1.6125698951809353
shrink_family_weight_0.05,0.05,0.95,train,131,0.6106870229007634,0.2900763358778626,0.48091603053435117,0.5648854961832062,-1.002403054556875,-0.30293531526989526,0.005211300466723453,0.02502275354347816,-0.4770070182489642,-0.755804668171491
shrink_family_weight_0.10,0.1,0.9,holdout,44,0.6363636363636364,0.2727272727272727,0.5681818181818182,0.5454545454545454,-2.3658208370373575,-0.814235797823716,-0.023205311955804612,-0.17374454023068386,-0.49445055674256705,-1.530876813882407
shrink_family_weight_0.10,0.1,0.9,train,131,0.6641221374045801,0.3053435114503817,0.48091603053435117,0.5648854961832062,-2.0891467453337507,-0.7588139584097977,-0.0024823153444259003,0.05108396727056963,-0.48470063406011354,-0.7627037707181339
shrink_family_weight_0.15,0.15,0.85,holdout,44,0.6818181818181818,0.25,0.5681818181818182,0.5454545454545454,-3.49453486645598,-1.1168541651647264,0.022832016892546658,-0.1944241268498521,-0.44841322789421595,-1.20712301317955
shrink_family_weight_0.15,0.15,0.85,train,131,0.6946564885496184,0.29770992366412213,0.48091603053435117,0.5572519083969466,-3.163639525136976,-1.0859490497792272,-0.0020556615359375707,0.035394683624637935,-0.48427398025162527,-0.7695995489454761
shrink_family_weight_0.20,0.2,0.8,holdout,44,0.7045454545454546,0.25,0.5681818181818182,0.5454545454545454,-4.595389978599926,-1.783428668426116,0.07387429818786936,-0.16909172932237393,-0.39737094659889305,-0.847277255089673
shrink_family_weight_0.20,0.2,0.8,train,131,0.7099236641221374,0.32061068702290074,0.48091603053435117,0.5648854961832062,-4.207025146576137,-1.5081949576168263,0.004143732101414125,0.026238620672164537,-0.4780745866142735,-0.750128887768347
