galaxy,r,vobs,errv,v_K_exponential_disk,mixed_kernel,mixed_attenuation,v_mixed_population,applied_formula_source,applied_formula_label,label_assignment_role,construction_used_vobs,scoring_used_vobs,claim_boundary
NGC4013,5.49,198.0,10.0,191.80368826958824,0.0,0.0,191.80368826958824,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,6.17,195.0,5.0,198.32853834825613,0.0,0.0,198.32853834825613,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,6.92,194.0,4.0,203.12773712277055,0.0,0.0,203.12773712277055,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,7.69,195.0,3.0,206.42370377605764,0.0,0.0,206.42370377605764,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,8.36,195.0,3.0,207.72850830674633,0.0,0.0,207.72850830674633,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,9.12,195.0,3.0,207.71347802333844,0.0,0.0,207.71347802333844,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,9.88,192.0,7.0,205.1281224025808,0.0,0.0,205.1281224025808,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,10.56,188.0,8.0,200.62679480125385,0.07866209869355331,0.017027659114789245,198.91135864666657,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,11.31,186.0,7.0,196.26751667383303,0.12803659629149108,0.027715552369925168,193.52857417970023,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,12.08,186.0,6.0,192.56604006123354,0.12137378534193663,0.02627328124470033,190.01953158254796,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,12.77,186.0,5.0,189.86753096942365,0.11596630139229235,0.025102745562427933,187.46928652165323,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,13.47,185.0,6.0,187.76268228285906,0.11095168074512163,0.024017251374144795,185.4942070989996,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,14.17,180.0,10.0,185.90179958008932,0.10635290409320325,0.023021773215356037,183.74944516142432,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,14.98,163.0,8.0,183.93465723569014,0.10148561290827077,0.021968170826328483,181.90308380225122,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,15.68,162.0,6.0,182.14469072788967,0.09762461742759984,0.021132397105813775,180.20983715455614,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,16.37,164.0,5.0,180.3872514854677,0.09409597292123258,0.020368566025921422,178.54068531293808,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,17.19,166.0,5.0,178.437487552436,0.09022062693930369,0.01952968591176091,176.6864822097833,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,17.88,166.0,5.0,176.8136873444035,0.08719874721628906,0.018875552108264977,175.13700961278707,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,18.58,166.0,5.0,175.30754378945133,0.08433316873604497,0.018255252188244267,173.70003190351804,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,19.39,166.0,5.0,173.8325793787291,0.0812437776069092,0.017586504469929338,172.2972454298857,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,20.09,168.0,5.0,172.59991275571903,0.07875069735159645,0.017046837699803405,171.1224478144315,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,20.79,172.0,5.0,171.35928091267954,0.07640609386586814,0.016539311081808398,169.93629033294903,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
NGC4013,21.48,173.0,5.0,170.30786868417567,0.07422774216616501,0.016067772300226074,168.93409393483856,NGC4013,K_expdisk_warp_vertical_overlay,matched,False,True,mixed_readout_population_wrong_label_control_audit
