star_scale,h2_scale,height_pc,radius_kpc,vobs_km_s,vobs_error_km_s,vbar_km_s,dark_discrepancy_ratio,delta_v2_km2_s2
0.7,0.7,100,0.4763289942549633,54.52743543622388,4.677145178394439,71.90688532273141,0.5750282607584566,-2197.3589415648826
0.7,0.7,100,1.4289869827648898,109.28503789126859,2.0218333338728773,117.63674278624728,0.8630489579061911,-1895.1837464616929
0.7,0.7,100,2.381644971274816,141.5127105405909,0.8595435931450939,125.31577492017365,1.2752032504339317,4321.80380070144
0.7,0.7,100,3.334302959784743,153.62964013002227,0.6701733598026943,127.32541104655236,1.4558608005781613,7390.30602830663
0.7,0.7,100,4.286960948294669,158.8047410177566,0.6636871568350399,126.98803061655872,1.5638725319315343,9092.985849844696
0.7,0.7,100,5.239618936804596,163.05047281610953,0.5580974480626919,123.38428664371695,1.746322364901255,11361.774494977966
0.7,0.7,100,6.1922769253145225,166.13549743976645,0.5385983182734696,120.58010656317101,1.8983380188502266,13061.441410772968
0.7,0.7,100,7.144934913824449,169.86579822664316,0.5657370151104272,123.44129550387532,1.89361178004232,13616.635971499576
0.7,0.7,100,8.097592902334375,176.49473898283327,0.7036771719934145,122.52247440192298,2.0750664590080072,16138.636155048573
0.7,0.7,100,9.050250890844302,183.97979871645208,0.8800818482819364,121.58297309353839,2.2897852877039835,19066.146989482146
0.7,0.7,100,10.002908879354228,196.99141192423437,2.466807083805094,118.68959665326774,2.7546680890576636,24718.396018188003
0.7,0.7,100,10.955566867864157,,,124.36939436237806,,
0.7,0.7,300,0.4763289942549633,54.52743543622388,4.677145178394439,61.38946143306367,0.7889373149390706,-795.424759790048
0.7,0.7,300,1.4289869827648898,109.28503789126859,2.0218333338728773,107.27539754606818,1.0378178810660577,435.2085882290394
0.7,0.7,300,2.381644971274816,141.5127105405909,0.8595435931450939,119.34669540470814,1.4059507328447558,5782.213540520881
0.7,0.7,300,3.334302959784743,153.62964013002227,0.6701733598026943,123.21186791223522,1.5546940743986724,8420.901932058048
0.7,0.7,300,4.286960948294669,158.8047410177566,0.6636871568350399,123.74852060195029,1.646822895752912,9905.249418545434
0.7,0.7,300,5.239618936804596,163.05047281610953,0.5580974480626919,121.485215857738,1.801346523267656,11826.799013555677
0.7,0.7,300,6.1922769253145225,166.13549743976645,0.5385983182734696,118.80246314104359,1.9555727741615447,13486.978261179625
0.7,0.7,300,7.144934913824449,169.86579822664316,0.5657370151104272,121.71372269021848,1.9477481340685918,14040.159116063243
0.7,0.7,300,8.097592902334375,176.49473898283327,0.7036771719934145,121.00887695388393,2.127301605292709,16507.244586978224
0.7,0.7,300,9.050250890844302,183.97979871645208,0.8800818482819364,120.2499574534236,2.3408329174373605,19388.51406819604
0.7,0.7,300,10.002908879354228,196.99141192423437,2.466807083805094,117.57780738818636,2.80700943060433,24981.075581689936
0.7,0.7,300,10.955566867864157,,,121.06149062983846,,
0.7,0.7,600,0.4763289942549633,54.52743543622388,4.677145178394439,47.63517535072497,1.310311666716735,704.1312845572479
0.7,0.7,600,1.4289869827648898,109.28503789126859,2.0218333338728773,91.56205533629901,1.4245914992564204,3559.609529488527
0.7,0.7,600,2.381644971274816,141.5127105405909,0.8595435931450939,109.34829681397817,1.6748150436395781,8068.797228427196
0.7,0.7,600,3.334302959784743,153.62964013002227,0.6701733598026943,116.1023332778012,1.750927367930114,10122.314533930525
0.7,0.7,600,4.286960948294669,158.8047410177566,0.6636871568350399,118.2800461868555,1.8026190521448757,11228.776443752078
0.7,0.7,600,5.239618936804596,163.05047281610953,0.5580974480626919,117.90621010864128,1.9123649052410776,12683.582303373812
0.7,0.7,600,6.1922769253145225,166.13549743976645,0.5385983182734696,115.66442343080628,2.0631237460732534,14222.744661977797
0.7,0.7,600,7.144934913824449,169.86579822664316,0.5657370151104272,118.69952924178267,2.047924282127169,14764.811164953828
0.7,0.7,600,8.097592902334375,176.49473898283327,0.7036771719934145,118.35969965218993,2.223595670511282,17141.374386861833
0.7,0.7,600,9.050250890844302,183.97979871645208,0.8800818482819364,117.84613832491983,2.4373032476803576,19960.854017650086
0.7,0.7,600,10.002908879354228,196.99141192423437,2.466807083805094,115.26857034243885,2.9206046515376554,25518.773063113615
0.7,0.7,600,10.955566867864157,,,116.75091551322404,,
0.7,1.0,100,0.4763289942549633,54.52743543622388,4.677145178394439,71.25871770027983,0.585536723856944,-2104.56363303661
0.7,1.0,100,1.4289869827648898,109.28503789126859,2.0218333338728773,119.29031956426107,0.8392879935513655,-2286.9608348475176
0.7,1.0,100,2.381644971274816,141.5127105405909,0.8595435931450939,128.68151344633827,1.2093682951320244,3466.9153417049274
0.7,1.0,100,3.334302959784743,153.62964013002227,0.6701733598026943,131.3973082193363,1.3670269913408775,6336.813719192884
0.7,1.0,100,4.286960948294669,158.8047410177566,0.6636871568350399,131.0667738649703,1.4680529107585336,8040.446558345491
0.7,1.0,100,5.239618936804596,163.05047281610953,0.5580974480626919,127.35701477537839,1.6390733292396003,10365.647473060924
0.7,1.0,100,6.1922769253145225,166.13549743976645,0.5385983182734696,124.34513089503356,1.7851195433030487,12139.291932255615
0.7,1.0,100,7.144934913824449,169.86579822664316,0.5657370151104272,126.99756866642598,1.7890442207496973,12726.006959991066
0.7,1.0,100,8.097592902334375,176.49473898283327,0.7036771719934145,125.73079854541804,1.9705169770463369,15342.15918574995
0.7,1.0,100,9.050250890844302,183.97979871645208,0.8800818482819364,124.33790614884019,2.1894406626877956,18388.651430268434
0.7,1.0,100,10.002908879354228,196.99141192423437,2.466807083805094,120.97300074992938,2.651659032705432,24171.14946146097
0.7,1.0,100,10.955566867864157,,,126.41546486855995,,
0.7,1.0,300,0.4763289942549633,54.52743543622388,4.677145178394439,61.10786302335705,0.7962252602617493,-760.9297080298038
0.7,1.0,300,1.4289869827648898,109.28503789126859,2.0218333338728773,108.78278075792387,1.0092554466188333,109.52611746947696
0.7,1.0,300,2.381644971274816,141.5127105405909,0.8595435931450939,122.48529020003612,1.3348209924809125,5023.200929158
0.7,1.0,300,3.334302959784743,153.62964013002227,0.6701733598026943,127.0738187764944,1.461631397979047,7454.310908038806
0.7,1.0,300,4.286960948294669,158.8047410177566,0.6636871568350399,127.6917528343459,1.546682709554438,8913.762027809064
0.7,1.0,300,5.239618936804596,163.05047281610953,0.5580974480626919,125.38008517135172,1.6911689797383702,10865.290927981461
0.7,1.0,300,6.1922769253145225,166.13549743976645,0.5385983182734696,122.48626662184901,1.8397129998357857,12598.117998599962
0.7,1.0,300,7.144934913824449,169.86579822664316,0.5657370151104272,125.22370357792656,1.840088877227982,13173.41346940223
0.7,1.0,300,8.097592902334375,176.49473898283327,0.7036771719934145,124.17391818871843,2.020239035868782,15731.230930279906
0.7,1.0,300,9.050250890844302,183.97979871645208,0.8800818482819364,123.00179070354486,2.237264907405305,18719.125819467572
0.7,1.0,300,10.002908879354228,196.99141192423437,2.466807083805094,119.86654051144933,2.700838672053468,24437.628837720462
0.7,1.0,300,10.955566867864157,,,123.1570818046,,
0.7,1.0,600,0.4763289942549633,54.52743543622388,4.677145178394439,47.75571074212886,1.303705562095296,692.6333067656819
0.7,1.0,600,1.4289869827648898,109.28503789126859,2.0218333338728773,92.91678662214944,1.3833531085801998,3309.69027070996
0.7,1.0,600,2.381644971274816,141.5127105405909,0.8595435931450939,112.14704506176791,1.5922645612779989,7448.887528458861
0.7,1.0,600,3.334302959784743,153.62964013002227,0.6701733598026943,119.63376455358518,1.6490829003157599,9289.828705217495
0.7,1.0,600,4.286960948294669,158.8047410177566,0.6636871568350399,121.99795206885666,1.6944230353175276,10335.445460721701
0.7,1.0,600,5.239618936804596,163.05047281610953,0.5580974480626919,121.64523576463041,1.7966104280306645,11787.893301324355
0.7,1.0,600,6.1922769253145225,166.13549743976645,0.5385983182734696,119.20166838908449,1.9424963182949337,13391.965762817383
0.7,1.0,600,7.144934913824449,169.86579822664316,0.5657370151104272,122.11569624094346,1.934946264476444,13942.146138764274
0.7,1.0,600,8.097592902334375,176.49473898283327,0.7036771719934145,121.45390153513026,2.1117406876304945,16399.342690513327
0.7,1.0,600,9.050250890844302,183.97979871645208,0.8800818482819364,120.58270703492212,2.327931623630018,19308.37709987637
0.7,1.0,600,10.002908879354228,196.99141192423437,2.466807083805094,117.56676026647786,2.807536974812222,24983.673252347908
0.7,1.0,600,10.955566867864157,,,118.90450486021031,,
0.7,1.3,100,0.4763289942549633,54.52743543622388,4.677145178394439,70.60459999008495,0.5964364143212385,-2011.7683245083394
0.7,1.3,100,1.4289869827648898,109.28503789126859,2.0218333338728773,120.92128609194225,0.816800319927505,-2678.737923233337
0.7,1.3,100,2.381644971274816,141.5127105405909,0.8595435931450939,131.96143513101336,1.1499973485676251,2612.0268827084183
0.7,1.3,100,3.334302959784743,153.62964013002227,0.6701733598026943,135.34675805648618,1.2884106653698155,5283.321410079141
0.7,1.3,100,4.286960948294669,158.8047410177566,0.6636871568350399,135.02236297321446,1.3832972688717668,6987.907266846276
0.7,1.3,100,5.239618936804596,163.05047281610953,0.5580974480626919,131.20951274360024,1.5442353133496807,9369.520451143879
0.7,1.3,100,6.1922769253145225,166.13549743976645,0.5385983182734696,127.99945724814764,1.6846458484676528,11217.142453738272
0.7,1.3,100,7.144934913824449,169.86579822664316,0.5657370151104272,130.45693334848895,1.695420998875813,11835.37794848256
0.7,1.3,100,8.097592902334375,176.49473898283327,0.7036771719934145,128.85926692390856,1.8759973301331208,14545.682216451329
0.7,1.3,100,9.050250890844302,183.97979871645208,0.8800818482819364,127.03310775026917,2.0975215577373194,17711.15587105473
0.7,1.3,100,10.002908879354228,196.99141192423437,2.466807083805094,123.21409605710477,2.55607619362734,23623.902904733946
0.7,1.3,100,10.955566867864157,,,128.42894246159435,,
0.7,1.3,300,0.4763289942549633,54.52743543622388,4.677145178394439,60.82496092494529,0.8036491083282699,-726.4346562695573
0.7,1.3,300,1.4289869827648898,109.28503789126859,2.0218333338728773,110.26955998908358,0.9822230716629248,-216.15635329009092
0.7,1.3,300,2.381644971274816,141.5127105405909,0.8595435931450939,125.54544566311412,1.2705418469979797,4264.188317795124
0.7,1.3,300,3.334302959784743,153.62964013002227,0.6701733598026943,130.82181179933485,1.3790807849912146,6487.71988401956
0.7,1.3,300,4.286960948294669,158.8047410177566,0.6636871568350399,131.5168093159352,1.4580230829573302,7922.274637072689
0.7,1.3,300,5.239618936804596,163.05047281610953,0.5580974480626919,129.15755434023063,1.5936923917544559,9903.782842407247
0.7,1.3,300,6.1922769253145225,166.13549743976645,0.5385983182734696,126.06246774333091,1.7368138090603997,11709.2577360203
0.7,1.3,300,7.144934913824449,169.86579822664316,0.5657370151104272,128.63794768431836,1.7437076917174024,12306.66782274122
0.7,1.3,300,8.097592902334375,176.49473898283327,0.7036771719934145,127.26026722837277,1.9234365609284299,14955.217273581597
0.7,1.3,300,9.050250890844302,183.97979871645208,0.8800818482819364,125.69339189077172,2.1424731440040374,18049.737570739107
0.7,1.3,300,10.002908879354228,196.99141192423437,2.466807083805094,122.11238380341449,2.60240669328233,23894.182093750984
0.7,1.3,300,10.955566867864157,,,125.21760692383242,,
0.7,1.3,600,0.4763289942549633,54.52743543622388,4.677145178394439,47.87594266724624,1.2971657343807659,681.1353289741146
0.7,1.3,600,1.4289869827648898,109.28503789126859,2.0218333338728773,94.25204769640084,1.3444350483560246,3059.7710119313924
0.7,1.3,600,2.381644971274816,141.5127105405909,0.8595435931450939,114.8776280049973,1.5174695310830906,6828.977828490522
