r_kpc,vobs_km_s,errv_km_s,vgas_km_s,vdisk_km_s,vbul_km_s,vn_km_s,v_tpg_v6_km_s,v_mond_km_s,projection_velocity_factor_frozen,pred_NEWTONIAN_UNCORRECTED,pred_NEWTONIAN_SOURCE_PROJECTION_CONTROL,pred_TPG_V6_UNCORRECTED,pred_TPG_V6_SOURCE_PROJECTION_CONTROL,pred_MOND_UNCORRECTED,pred_MOND_SOURCE_PROJECTION_CONTROL,construction_used_vobs_or_residual,scoring_used_vobs,claim_boundary
0.11,56.2,28.5,-1.03,10.27,44.15,37.6315200331,41.0562641985,41.7901040878,1.03463120254,37.6315200331,38.9347448252,41.0562641985,42.4780919995,41.7901040878,43.2373456466,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
0.23,64.6,22.7,-1.23,20.21,75.69,64.9075682798,69.2096389589,70.2808536483,1.03463120254,64.9075682798,67.1553954233,69.2096389589,71.6064519834,70.2808536483,72.7147641257,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
0.34,70.2,17.2,-1.32,28.3,90.09,77.9746642827,83.2573749138,84.560849602,1.03463120254,77.9746642827,80.6750206745,83.2573749138,86.1406779274,84.560849602,87.4892935115,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
0.46,71.6,11.7,-1.38,36.17,97.29,85.31102461,91.7694448226,93.2870058024,1.03463120254,85.31102461,88.2654479821,91.7694448226,94.9475310532,93.2870058024,96.5176469947,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
0.57,71,11.3,-1.41,42.64,98.4,87.6634969642,95.32182113,96.9989384732,1.03463120254,87.6634969642,90.699389283,95.32182113,98.6229304241,96.9989384732,100.358128358,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
0.69,69,9.37,-1.36,48.95,99.3,89.991914359,98.87534209,100.693937769,1.03463120254,89.991914359,93.1084425721,98.87534209,102.299514088,100.693937769,104.181089923,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
0.8,67.7,6.23,-1.23,54.16,100.36,92.2801745772,102.197276665,104.126061696,1.03463120254,92.2801745772,95.4759479934,102.197276665,105.736491252,104.126061696,107.732072429,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
0.92,66.9,4,-0.91,59.24,100.84,94.1910538215,105.210054878,107.23831442,1.03463120254,94.1910538215,97.4530032838,105.210054878,108.853605598,107.23831442,110.952106207,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
1.03,66.6,3.1,0.49,63.4,101.52,96.0439346341,108.008542563,110.117201615,1.03463120254,96.0439346341,99.3700515872,108.008542563,111.749008277,110.117201615,113.930692728,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
1.14,66.8,3.02,1.27,67.15,100.91,96.8718422453,109.825516908,111.993071905,1.03463120254,96.8718422453,100.226630635,109.825516908,113.628906628,111.993071905,115.871526661,False,True,ugc03580_standard_projection_systematics_control_not_tau_endpoint
