split,n_galaxies,matched_beats_wrong_fraction,matched_rank1_fraction,matched_beats_tpg_v6_fraction,matched_beats_mond_fraction,median_matched_minus_wrong,median_matched_minus_tpg_v6,median_matched_minus_mond
all,75,0.9066666666666666,0.29333333333333333,0.49333333333333335,0.5333333333333333,-11.433774504911902,0.017028692547267354,-0.4895405294540396
holdout,21,0.9523809523809523,0.23809523809523808,0.42857142857142855,0.5714285714285714,-14.04918723050234,0.22782931176200094,-1.3425558556736314
train,54,0.8888888888888888,0.3148148148148148,0.5185185185185185,0.5185185185185185,-8.760993974234985,-0.027562096966038174,-0.2467107950909413
