galaxy,r,vobs,v_v6,v_mond,scalar_kernel_K_thick_flared,scalar_v_K_thick_flared,closure_source_kernel_K_thick_flared,closure_source_v_K_thick_flared,post22_policy,closure_policy,locality_width_kpc,closure_minus_scalar_kernel,closure_minus_scalar_v,accepted_endpoint_ready,endpoint_scores_allowed,endpoint_scores_computed,claim_boundary
NGC2683,2.89,189.0,182.57254209976787,186.12443395598484,0.3038169885153724,182.13689478704524,0.0001890460639125786,182.5722713472595,post22_hold_plateau_upper,flare_gradient_source,2.20964580039598,-0.30362794245145985,0.43537656021425164,False,False,True,s4g75_ngc2683_flare_closure_source_prototype_not_validation
NGC2683,5.77,212.0,205.56864510633676,209.5771422919674,0.3766178918518042,205.08903206081536,0.010506804562236042,205.55528013940585,post22_hold_plateau_upper,flare_gradient_source,2.20964580039598,-0.3661110872895682,0.4662480785904961,False,False,True,s4g75_ngc2683_flare_closure_source_prototype_not_validation
NGC2683,8.66,206.0,195.64916509459607,198.6571645172199,0.3160977746167923,195.2262501146387,0.18579647040686945,195.40069432165072,post22_hold_plateau_upper,flare_gradient_source,2.20964580039598,-0.13030130420992284,0.1744442070120158,False,False,True,s4g75_ngc2683_flare_closure_source_prototype_not_validation
NGC2683,11.54,200.0,196.70526142594747,199.23787024790695,0.24500341109735052,196.3793075713338,0.8889623788687762,195.51998999237344,post22_hold_plateau_upper,flare_gradient_source,2.20964580039598,0.6439589677714257,-0.859317578960372,False,False,True,s4g75_ngc2683_flare_closure_source_prototype_not_validation
NGC2683,14.43,172.0,187.4279088764902,189.83588634373183,0.19131466300897648,187.16081523898893,1.4739143978686147,185.36024402683736,post22_hold_plateau_upper,flare_gradient_source,2.20964580039598,1.2825997348596383,-1.8005712121515671,False,False,True,s4g75_ngc2683_flare_closure_source_prototype_not_validation
NGC2683,17.31,190.0,181.7602782353024,184.7993948227998,0.15457584076646716,181.53776874449616,0.9423965529752403,180.39944934797546,post22_hold_plateau_upper,flare_gradient_source,2.20964580039598,0.7878207122087731,-1.1383193965207,False,False,True,s4g75_ngc2683_flare_closure_source_prototype_not_validation
NGC2683,20.2,169.0,176.5568570911684,180.7381105181678,0.12916950845671588,176.36545314863014,0.18190696778102874,176.2872468060717,post22_hold_plateau_upper,flare_gradient_source,2.20964580039598,0.05273745932431287,-0.07820634255844539,False,False,True,s4g75_ngc2683_flare_closure_source_prototype_not_validation
NGC2683,23.08,150.0,171.799957872427,177.44750044150263,0.11108188223284346,171.63080708706644,0.00835927495369618,171.7872345178792,post22_hold_plateau_upper,flare_gradient_source,2.20964580039598,-0.10272260727914728,0.15642743081275512,False,False,True,s4g75_ngc2683_flare_closure_source_prototype_not_validation
NGC2683,28.85,160.0,164.68501847149776,173.6060661295253,0.08709726177474804,164.54667048038692,1.4935434168521008e-07,164.68501823435832,post22_hold_plateau_upper,flare_gradient_source,2.20964580039598,-0.08709711242040635,0.1383477539714022,False,False,True,s4g75_ngc2683_flare_closure_source_prototype_not_validation
NGC2683,31.74,155.0,161.7099539887288,172.32238891390995,0.07871035561685308,161.5826312076643,5.325901256289721e-11,161.7099539886427,post22_hold_plateau_upper,flare_gradient_source,2.20964580039598,-0.07871035556359407,0.12732278097840322,False,False,True,s4g75_ngc2683_flare_closure_source_prototype_not_validation
