Seq,Name,Mod,Nc,Q,C,Fn,f1,mag1,q1,PA1,Re,n,f2,mu02,PA2,hr2,hz2,f3,mag3,q3,PA3,hr3,mu03,f4,mu04,q4,PA4,Rbar,f5,mag5
588,NGC1140,_bd,2,5,B,sersic,0.516,13.354,0.456,2.58,7.07,1.399,,,,,,,,,,,,,,,,,,
588,NGC1140,_bd,2,5,D,expdisk,,,,,,,,,,,,0.484,13.42,0.449,5.71,16.23,21.466,,,,,,,
589,NGC1145,_z,1,4,Z,edgedisk,,,,,,,1.0,18.78,59.73,19.96,4.74,,,,,,,,,,,,,
590,NGC1163,_bz,2,4,B,sersic,0.391,12.72,0.424,144.92,429.34,16.777,,,,,,,,,,,,,,,,,,
590,NGC1163,_bz,2,4,Z,edgedisk,,,,,,,0.609,18.605,-37.19,9.9,2.48,,,,,,,,,,,,,
591,NGC1179,_dbarn,3,5,D,expdisk,,,,,,,,,,,,0.97,11.821,0.825,48.98,40.9,21.875,,,,,,,
591,NGC1179,_dbarn,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.025,20.556,0.344,-22.67,15.0,,
591,NGC1179,_dbarn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.004,17.707
592,NGC1187,_bdbarf,3,5,B,sersic,0.086,13.064,0.757,135.21,1.46,2.079,,,,,,,,,,,,,,,,,,
592,NGC1187,_bdbarf,3,5,D,expdisk,,,,,,,,,,,,0.901,10.509,0.737,-57.4,34.4,20.187,,,,,,,
592,NGC1187,_bdbarf,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.013,21.301,0.244,-57.78,34.5,,
593,NGC1222,_bd,2,5,B,sersic,0.666,12.46,0.623,101.25,5.01,2.422,,,,,,,,,,,,,,,,,,
593,NGC1222,_bd,2,5,D,expdisk,,,,,,,,,,,,0.334,13.209,0.601,-8.1,14.91,21.072,,,,,,,
594,NGC1232,_bdbar,3,5,B,sersic,0.022,13.814,0.459,73.64,7.16,1.28,,,,,,,,,,,,,,,,,,
594,NGC1232,_bdbar,3,5,D,expdisk,,,,,,,,,,,,0.96,9.728,0.854,-85.92,51.74,20.293,,,,,,,
594,NGC1232,_bdbar,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.018,21.315,0.393,-80.44,43.92,,
595,NGC1249,_dbarn,3,5,D,expdisk,,,,,,,,,,,,0.894,11.939,0.417,82.59,33.68,21.571,,,,,,,
595,NGC1249,_dbarn,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.103,20.485,0.154,76.34,43.3,,
595,NGC1249,_dbarn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.004,17.902
596,NGC1253,_dn,2,5,D,expdisk,,,,,,,,,,,,0.992,11.594,0.405,84.54,27.77,20.807,,,,,,,
596,NGC1253,_dn,2,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.008,16.845
597,NGC1255,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.974,11.001,0.615,-56.84,36.11,20.785,,,,,,,
597,NGC1255,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.026,18.999,0.353,-62.18,10.74,,
598,NGC1258,_dbarfn,3,5,D,expdisk,,,,,,,,,,,,0.981,13.23,0.732,16.55,13.78,20.922,,,,,,,
598,NGC1258,_dbarfn,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.016,21.566,0.3,89.18,10.5,,
598,NGC1258,_dbarfn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.003,19.597
599,NGC1291,_bdbar,3,5,B,sersic,0.339,9.112,0.852,7.76,22.46,2.592,,,,,,,,,,,,,,,,,,
599,NGC1291,_bdbar,3,5,D,expdisk,,,,,,,,,,,,0.504,8.637,0.992,17.74,141.06,21.379,,,,,,,
599,NGC1291,_bdbar,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.157,20.4,0.582,-14.45,157.79,,
600,NGC1292,_bd,2,5,B,sersic,0.026,15.921,0.561,9.6,4.81,0.553,,,,,,,,,,,,,,,,,,
600,NGC1292,_bd,2,5,D,expdisk,,,,,,,,,,,,0.974,11.997,0.444,11.23,21.14,20.618,,,,,,,
601,NGC1297,_bd,2,5,B,sersic,0.446,12.297,0.854,9.66,20.14,5.624,,,,,,,,,,,,,,,,,,
601,NGC1297,_bd,2,5,D,expdisk,,,,,,,,,,,,0.554,12.105,0.936,13.62,19.89,20.593,,,,,,,
602,NGC1299,_dn,2,5,D,expdisk,,,,,,,,,,,,0.984,12.572,0.599,50.77,7.69,18.997,,,,,,,
602,NGC1299,_dn,2,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.016,17.067
603,NGC1300,_bdbarf,3,5,B,sersic,0.073,12.8,0.844,102.51,4.34,1.106,,,,,,,,,,,,,,,,,,
603,NGC1300,_bdbarf,3,5,D,expdisk,,,,,,,,,,,,0.866,10.084,0.835,-73.91,62.32,21.053,,,,,,,
603,NGC1300,_bdbarf,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.06,21.07,0.283,-79.72,75.0,,
604,NGC1302,_nbdbar,4,5,B,sersic,0.393,11.241,0.905,0.18,18.01,4.23,,,,,,,,,,,,,,,,,,
604,NGC1302,_nbdbar,4,5,D,expdisk,,,,,,,,,,,,0.538,10.905,0.963,11.56,40.1,20.916,,,,,,,
604,NGC1302,_nbdbar,4,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.064,20.684,0.404,-9.86,47.88,,
604,NGC1302,_nbdbar,4,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.005,15.987
605,NGC1306,_dbarn,3,5,D,expdisk,,,,,,,,,,,,0.732,13.242,0.927,-45.79,6.06,19.151,,,,,,,
605,NGC1306,_dbarn,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.23,19.329,0.368,-81.65,14.87,,
605,NGC1306,_dbarn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.038,16.453
606,NGC1309,_dbarn,3,5,D,expdisk,,,,,,,,,,,,0.929,11.463,0.953,78.9,13.72,19.145,,,,,,,
606,NGC1309,_dbarn,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.055,19.964,0.428,-42.85,18.28,,
606,NGC1309,_dbarn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.016,15.9
607,NGC1310,_dbarn,3,5,D,expdisk,,,,,,,,,,,,0.976,12.277,0.825,79.28,15.4,20.21,,,,,,,
607,NGC1310,_dbarn,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.02,20.02,0.141,-87.84,13.07,,
607,NGC1310,_dbarn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.005,18.065
608,NGC1311,_z,1,4,Z,edgedisk,,,,,,,1.0,21.2,40.27,21.91,12.08,,,,,,,,,,,,,
609,NGC1313,_dbarn,3,5,D,expdisk,,,,,,,,,,,,0.917,9.483,0.891,-1.53,79.84,20.99,,,,,,,
609,NGC1313,_dbarn,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.083,21.174,0.367,18.56,104.17,,
609,NGC1313,_dbarn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.001,17.101
610,NGC1316C,_dbarn,3,5,D,expdisk,,,,,,,,,,,,0.772,13.683,0.482,85.12,10.48,20.78,,,,,,,
610,NGC1316C,_dbarn,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.221,20.018,0.209,87.83,21.13,,
610,NGC1316C,_dbarn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.007,18.857
611,NGC1325,_bd,2,5,B,sersic,0.018,15.51,0.667,51.82,3.65,1.342,,,,,,,,,,,,,,,,,,
611,NGC1325,_bd,2,5,D,expdisk,,,,,,,,,,,,0.982,11.172,0.345,52.97,33.82,20.813,,,,,,,
612,NGC1325A,_bd,2,5,B,sersic,0.018,17.169,0.862,170.31,2.95,1.137,,,,,,,,,,,,,,,,,,
612,NGC1325A,_bd,2,5,D,expdisk,,,,,,,,,,,,0.982,12.838,0.945,35.04,18.93,21.219,,,,,,,
613,NGC1326,_bdbar,3,5,B,sersic,0.318,11.224,0.778,75.88,6.0,1.167,,,,,,,,,,,,,,,,,,
613,NGC1326,_bdbar,3,5,D,expdisk,,,,,,,,,,,,0.499,10.733,0.797,80.39,37.49,20.598,,,,,,,
613,NGC1326,_bdbar,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.182,19.911,0.507,17.43,56.84,,
