Seq,Name,Mod,Nc,Q,C,Fn,f1,mag1,q1,PA1,Re,n,f2,mu02,PA2,hr2,hz2,f3,mag3,q3,PA3,hr3,mu03,f4,mu04,q4,PA4,Rbar,f5,mag5
1,ESO011-005,_bz,2,4,B,sersic,0.571,14.822,0.354,40.45,48.94,3.001,,,,,,,,,,,,,,,,,,
1,ESO011-005,_bz,2,4,Z,edgedisk,,,,,,,0.429,20.912,43.9,9.76,2.96,,,,,,,,,,,,,
2,ESO012-010,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.944,13.445,0.458,-33.8,33.95,23.095,,,,,,,
2,ESO012-010,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.056,22.177,0.39,24.24,21.14,,
3,ESO012-014,_dbar,2,4,D,expdisk,,,,,,,,,,,,0.835,14.795,0.42,31.03,33.15,24.393,,,,,,,
3,ESO012-014,_dbar,2,4,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.165,24.704,0.249,11.1,83.01,,
4,ESO013-016,_dbarf,2,5,D,expdisk,,,,,,,,,,,,0.963,12.802,0.657,-14.29,21.06,21.415,,,,,,,
4,ESO013-016,_dbarf,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.037,20.882,0.207,-14.32,17.25,,
5,ESO015-001,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.777,14.628,0.414,-54.26,23.9,23.516,,,,,,,
5,ESO015-001,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.223,22.89,0.199,-77.11,52.52,,
6,ESO026-001,_ndbar,3,5,D,expdisk,,,,,,,,,,,,0.933,12.978,0.94,19.35,19.41,21.413,,,,,,,
6,ESO026-001,_ndbar,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.059,20.202,0.285,69.63,12.59,,
6,ESO026-001,_ndbar,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.008,18.145
7,ESO027-001,_bdbar,3,5,B,sersic,0.087,13.985,0.368,58.03,2.52,3.257,,,,,,,,,,,,,,,,,,
7,ESO027-001,_bdbar,3,5,D,expdisk,,,,,,,,,,,,0.839,11.518,0.784,12.5,24.67,20.475,,,,,,,
7,ESO027-001,_bdbar,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.075,20.555,0.363,62.31,31.16,,
8,ESO027-008,_dn,2,5,D,expdisk,,,,,,,,,,,,0.986,11.516,0.333,-34.9,23.66,20.381,,,,,,,
8,ESO027-008,_dn,2,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.014,16.174
9,ESO048-017,_ndbar,3,5,D,expdisk,,,,,,,,,,,,0.856,14.452,0.53,62.98,20.66,23.023,,,,,,,
9,ESO048-017,_ndbar,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.138,21.755,0.176,59.87,26.8,,
9,ESO048-017,_ndbar,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.006,19.862
10,ESO054-021,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.934,12.081,0.486,88.36,47.11,22.442,,,,,,,
10,ESO054-021,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.066,21.508,0.644,41.65,24.76,,
11,ESO079-003,_bz,2,4,B,sersic,0.264,12.036,0.28,127.51,295.79,20.0,,,,,,,,,,,,,,,,,,
11,ESO079-003,_bz,2,4,Z,edgedisk,,,,,,,0.736,17.865,-48.9,14.73,3.2,,,,,,,,,,,,,
12,ESO079-005,_dbar,2,4,D,expdisk,,,,,,,,,,,,0.714,13.841,0.589,-8.81,21.54,22.503,,,,,,,
12,ESO079-005,_dbar,2,4,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.286,21.918,0.201,10.52,56.45,,
13,ESO079-007,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.035,21.733,0.146,19.28,22.47,,
13,ESO079-007,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.965,13.401,0.808,18.28,14.5,21.202,,,,,,,
14,ESO085-014,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.89,13.12,0.37,83.63,31.01,22.573,,,,,,,
14,ESO085-014,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.11,21.991,0.155,69.59,51.68,,
15,ESO085-030,_bz,2,4,B,sersic,0.562,13.771,0.42,146.28,11.96,1.084,,,,,,,,,,,,,,,,,,
15,ESO085-030,_bz,2,4,Z,edgedisk,,,,,,,0.438,21.112,-29.62,9.7,11.08,,,,,,,,,,,,,
16,ESO085-047,_dd,2,5,D,expdisk,,,,,,,,,,,,0.147,16.928,0.294,40.18,9.93,23.908,,,,,,,
16,ESO085-047,_dd,2,5,D,expdisk,,,,,,,,,,,,0.853,14.988,0.539,31.59,25.3,23.999,,,,,,,
17,ESO107-016,_z,1,4,Z,edgedisk,,,,,,,1.0,21.793,86.08,15.23,4.59,,,,,,,,,,,,,
18,ESO114-007,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.685,0.772,-50.58,13.04,22.256,,,,,,,
19,ESO115-021,_bz,2,4,B,sersic,0.574,13.649,0.324,43.33,120.33,1.849,,,,,,,,,,,,,,,,,,
19,ESO115-021,_bz,2,4,Z,edgedisk,,,,,,,0.426,22.949,42.16,54.04,10.83,,,,,,,,,,,,,
21,ESO119-016,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.286,0.362,25.26,32.72,23.856,,,,,,,
22,ESO120-012,_dd,2,5,D,sersic,0.291,15.169,0.373,100.2,32.85,0.955,,,,,,,,,,,,,,,,,,
22,ESO120-012,_dd,2,5,D,expdisk,,,,,,,,,,,,0.709,14.191,0.675,86.41,20.3,22.723,,,,,,,
23,ESO120-021,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,15.029,0.5,-68.78,23.54,23.883,,,,,,,
24,ESO145-025,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.923,14.164,0.666,-68.38,28.86,23.46,,,,,,,
24,ESO145-025,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.077,24.245,0.31,-15.37,51.37,,
25,ESO146-014,_bz,2,4,B,sersic,0.081,17.674,0.322,46.72,7.62,0.358,,,,,,,,,,,,,,,,,,
25,ESO146-014,_bz,2,4,Z,edgedisk,,,,,,,0.919,22.722,49.16,28.84,6.68,,,,,,,,,,,,,
26,ESO149-001,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,13.168,0.25,27.71,28.44,22.433,,,,,,,
27,ESO149-003,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,15.462,0.329,-32.4,15.52,23.411,,,,,,,
28,ESO150-005,_dd,2,5,D,ferrer2,,,,,,,,,,,,,,,,,,0.037,23.047,0.834,78.92,15.89,,
28,ESO150-005,_dd,2,5,D,expdisk,,,,,,,,,,,,0.963,13.569,0.821,12.2,34.63,23.261,,,,,,,
29,ESO154-023,_d,1,3,D,expdisk,,,,,,,,,,,,1.0,12.455,0.161,39.76,95.46,24.35,,,,,,,
30,ESO157-049,_zzn,3,4,Z,edgedisk,,,,,,,0.448,20.239,29.26,12.64,6.19,,,,,,,,,,,,,
30,ESO157-049,_zzn,3,4,Z,edgedisk,,,,,,,0.54,18.029,22.96,11.86,1.38,,,,,,,,,,,,,
30,ESO157-049,_zzn,3,4,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.012,17.424
31,ESO159-025,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.843,0.788,71.58,17.61,23.067,,,,,,,
32,ESO187-035,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,15.319,0.556,-52.55,15.39,23.251,,,,,,,
33,ESO187-051,_d,1,4,D,expdisk,,,,,,,,,,,,1.0,14.396,0.324,8.52,39.55,24.377,,,,,,,
34,ESO202-035,_bz,2,4,B,sersic,0.309,13.674,0.166,129.8,38.39,4.459,,,,,,,,,,,,,,,,,,
34,ESO202-035,_bz,2,4,Z,edgedisk,,,,,,,0.692,19.5,-44.82,15.13,4.68,,,,,,,,,,,,,
35,ESO202-041,_dbar,2,4,D,expdisk,,,,,,,,,,,,0.872,15.423,0.68,-25.5,16.55,23.512,,,,,,,
35,ESO202-041,_dbar,2,4,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.128,23.43,0.194,-11.36,33.46,,
36,ESO234-043,_dbarn,3,4,D,expdisk,,,,,,,,,,,,0.862,13.996,0.669,-88.7,28.83,23.291,,,,,,,
36,ESO234-043,_dbarn,3,4,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.131,22.537,0.244,52.8,36.79,,
36,ESO234-043,_dbarn,3,4,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.007,19.404
37,ESO234-049,_dd,2,5,D,ferrer2,,,,,,,,,,,,,,,,,,0.07,21.274,0.53,-26.81,17.34,,
37,ESO234-049,_dd,2,5,D,expdisk,,,,,,,,,,,,0.93,12.905,0.925,78.23,14.6,20.722,,,,,,,
38,ESO236-039,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,15.452,0.465,83.73,10.2,22.491,,,,,,,
39,ESO237-049,_zn,2,4,Z,edgedisk,,,,,,,0.987,20.985,35.77,14.86,3.7,,,,,,,,,,,,,
39,ESO237-049,_zn,2,4,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.013,19.355
40,ESO237-052,_bdbarf,3,5,B,sersic,0.03,17.987,0.634,14.58,4.34,0.955,,,,,,,,,,,,,,,,,,
40,ESO237-052,_bdbarf,3,5,D,expdisk,,,,,,,,,,,,0.944,14.231,0.484,59.71,14.37,22.014,,,,,,,
40,ESO237-052,_bdbarf,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.026,22.462,0.228,53.6,15.0,,
41,ESO238-018,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.958,14.317,0.91,7.52,10.06,21.326,,,,,,,
41,ESO238-018,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.042,21.242,0.195,-47.82,11.25,,
42,ESO240-004,_z,1,4,Z,edgedisk,,,,,,,1.0,22.369,-40.1,14.06,4.93,,,,,,,,,,,,,
43,ESO240-011,_bz,2,4,B,sersic,0.19,12.831,0.607,115.96,9.94,4.013,,,,,,,,,,,,,,,,,,
43,ESO240-011,_bz,2,4,Z,edgedisk,,,,,,,0.81,18.562,-52.51,28.56,4.66,,,,,,,,,,,,,
44,ESO245-005,_dd,2,3,D,sersic,0.135,15.124,0.405,114.21,58.48,0.162,,,,,,,,,,,,,,,,,,
44,ESO245-005,_dd,2,3,D,expdisk,,,,,,,,,,,,0.865,12.596,0.738,-41.86,83.24,24.193,,,,,,,
45,ESO245-007,_d,1,3,D,expdisk,,,,,,,,,,,,1.0,12.588,0.926,34.3,74.32,23.939,,,,,,,
46,ESO248-002,_dbarf,2,5,D,expdisk,,,,,,,,,,,,0.982,13.34,0.243,14.59,29.78,22.704,,,,,,,
46,ESO248-002,_dbarf,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.018,22.697,0.223,33.3,21.0,,
47,ESO249-008,_dd,2,5,D,expdisk,,,,,,,,,,,,0.406,14.991,0.678,-19.14,3.74,19.85,,,,,,,
47,ESO249-008,_dd,2,5,D,expdisk,,,,,,,,,,,,0.594,14.566,0.678,-19.14,10.72,21.712,,,,,,,
48,ESO249-026,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,15.479,0.541,-7.79,14.57,23.293,,,,,,,
49,ESO249-027,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.858,0.332,85.28,16.59,22.953,,,,,,,
50,ESO249-035,_z,1,4,Z,edgedisk,,,,,,,1.0,22.488,-82.09,11.25,3.08,,,,,,,,,,,,,
52,ESO285-048,_dbarf,2,5,D,expdisk,,,,,,,,,,,,0.972,13.056,0.425,81.85,20.5,21.611,,,,,,,
52,ESO285-048,_dbarf,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.028,19.665,0.067,-80.39,13.5,,
53,ESO286-044,_b,1,5,B,sersic,1.0,12.578,0.589,123.1,37.69,18.166,,,,,,,,,,,,,,,,,,
54,ESO287-009,_bz,2,4,B,sersic,0.686,14.003,0.195,105.06,29.8,1.587,,,,,,,,,,,,,,,,,,
54,ESO287-009,_bz,2,4,Z,edgedisk,,,,,,,0.314,20.421,-75.7,13.14,2.03,,,,,,,,,,,,,
55,ESO287-037,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.933,13.331,0.897,49.61,18.69,21.685,,,,,,,
55,ESO287-037,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.067,22.205,0.313,-9.07,27.84,,
56,ESO287-043,_zz,2,4,Z,sersic,0.514,14.689,0.252,109.87,44.28,0.442,,,,,,,,,,,,,,,,,,
56,ESO287-043,_zz,2,4,Z,edgedisk,,,,,,,0.486,20.427,-71.11,11.18,2.66,,,,,,,,,,,,,
57,ESO288-013,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.014,0.935,67.05,14.72,21.848,,,,,,,
58,ESO289-010,_zz,2,4,Z,edgedisk,,,,,,,0.647,21.665,-57.45,21.29,5.2,,,,,,,,,,,,,
58,ESO289-010,_zz,2,4,Z,edgedisk,,,,,,,0.354,20.5,-42.9,18.44,1.49,,,,,,,,,,,,,
59,ESO289-026,_d,1,3,D,expdisk,,,,,,,,,,,,1.0,14.263,0.5,-26.84,18.38,22.581,,,,,,,
60,ESO289-048,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.94,14.424,0.308,-38.55,15.58,22.383,,,,,,,
60,ESO289-048,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.06,21.891,0.441,-15.83,11.59,,
61,ESO291-024,_dbarf,2,5,D,expdisk,,,,,,,,,,,,0.943,14.538,0.266,-89.13,16.38,22.605,,,,,,,
61,ESO291-024,_dbarf,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.057,21.962,0.423,70.81,11.25,,
62,ESO292-014,_zz,2,4,Z,edgedisk,,,,,,,0.545,21.059,83.92,24.98,6.06,,,,,,,,,,,,,
62,ESO292-014,_zz,2,4,Z,edgedisk,,,,,,,0.455,19.313,63.56,20.17,1.66,,,,,,,,,,,,,
63,ESO293-034,_zn,2,4,Z,edgedisk,,,,,,,0.942,18.831,10.83,16.55,5.5,,,,,,,,,,,,,
63,ESO293-034,_zn,2,4,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.058,14.968
64,ESO293-045,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.744,15.755,0.333,-37.88,13.58,23.414,,,,,,,
64,ESO293-045,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.256,22.938,0.16,-50.54,39.24,,
65,ESO298-015,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.969,14.0,0.412,57.09,20.11,22.513,,,,,,,
65,ESO298-015,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.031,22.987,0.231,34.92,22.72,,
66,ESO298-023,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.902,0.922,-13.05,9.3,21.741,,,,,,,
67,ESO300-014,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,12.752,0.435,-14.08,50.75,23.274,,,,,,,
68,ESO302-009,_dbarn,3,5,D,expdisk,,,,,,,,,,,,0.957,14.425,0.3,50.02,24.12,23.333,,,,,,,
68,ESO302-009,_dbarn,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.039,22.66,0.35,38.82,14.82,,
68,ESO302-009,_dbarn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.003,20.579
69,ESO302-014,_d,1,3,D,expdisk,,,,,,,,,,,,1.0,15.667,0.509,-58.54,22.12,24.387,,,,,,,
70,ESO302-021,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,16.14,0.322,8.3,8.34,22.742,,,,,,,
71,ESO305-009,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.915,13.489,0.746,53.84,42.57,23.629,,,,,,,
71,ESO305-009,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.085,22.926,0.497,-84.78,31.82,,
72,ESO305-017,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.373,0.334,63.26,19.86,22.858,,,,,,,
73,ESO340-008,_z,1,4,Z,edgedisk,,,,,,,1.0,18.405,34.19,6.86,1.03,,,,,,,,,,,,,
74,ESO340-009,_zz,2,4,Z,edgedisk,,,,,,,0.727,21.622,-82.7,16.79,4.87,,,,,,,,,,,,,
74,ESO340-009,_zz,2,4,Z,edgedisk,,,,,,,0.273,20.714,-60.36,10.23,1.72,,,,,,,,,,,,,
75,ESO340-017,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.781,13.599,0.515,-65.86,16.7,21.709,,,,,,,
75,ESO340-017,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.219,19.955,0.175,-80.42,23.15,,
76,ESO340-042,_dbarn,3,5,D,expdisk,,,,,,,,,,,,0.901,13.622,0.687,71.92,28.43,22.886,,,,,,,
76,ESO340-042,_dbarn,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.096,21.543,0.364,-57.3,19.31,,
76,ESO340-042,_dbarn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.004,19.701
77,ESO341-032,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.976,13.447,0.932,-52.5,14.09,21.187,,,,,,,
77,ESO341-032,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.024,21.862,0.214,-66.76,15.81,,
78,ESO342-013,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.751,13.376,0.403,-12.97,15.94,21.384,,,,,,,
78,ESO342-013,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.249,19.559,0.116,-24.14,28.47,,
79,ESO342-050,_bd,2,5,B,sersic,0.039,15.414,0.827,128.56,2.08,0.845,,,,,,,,,,,,,,,,,,
79,ESO342-050,_bd,2,5,D,expdisk,,,,,,,,,,,,0.961,11.945,0.64,25.65,21.16,20.568,,,,,,,
80,ESO345-046,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.946,13.231,0.871,66.86,23.09,22.043,,,,,,,
80,ESO345-046,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.054,22.523,0.302,-65.28,30.6,,
81,ESO346-001,_zz,2,4,Z1,sersic,0.531,14.047,0.137,64.63,36.63,0.425,,,,,,,,,,,,,,,,,,
81,ESO346-001,_zz,2,4,Z2,edgedisk,,,,,,,0.469,18.381,64.3,8.35,0.91,,,,,,,,,,,,,
82,ESO346-014,_bz,2,4,B,sersic,0.624,15.106,0.185,58.76,32.12,3.421,,,,,,,,,,,,,,,,,,
82,ESO346-014,_bz,2,4,Z,edgedisk,,,,,,,0.376,21.468,56.2,15.79,2.01,,,,,,,,,,,,,
83,ESO347-008,_d,1,4,D,expdisk,,,,,,,,,,,,1.0,14.688,0.872,39.05,22.5,23.444,,,,,,,
84,ESO347-017,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.207,0.47,-88.54,17.64,22.435,,,,,,,
85,ESO347-029,_dbarn,3,5,D,expdisk,,,,,,,,,,,,0.875,13.666,0.359,-33.32,44.73,23.914,,,,,,,
85,ESO347-029,_dbarn,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.078,22.065,0.552,87.49,18.58,,
85,ESO347-029,_dbarn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.047,16.87
86,ESO355-026,_dn,2,5,D,expdisk,,,,,,,,,,,,0.992,12.933,0.547,-24.12,15.18,20.835,,,,,,,
86,ESO355-026,_dn,2,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.008,18.178
87,ESO356-018,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.88,0.208,75.56,14.39,22.666,,,,,,,
88,ESO357-007,_bz,2,4,B,sersic,0.107,17.429,0.399,108.71,13.4,1.469,,,,,,,,,,,,,,,,,,
88,ESO357-007,_bz,2,4,Z,edgedisk,,,,,,,0.893,22.598,-47.52,22.7,6.9,,,,,,,,,,,,,
89,ESO357-012,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.942,13.345,0.622,-50.63,39.15,23.304,,,,,,,
89,ESO357-012,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.058,23.256,0.312,-81.2,40.95,,
90,ESO357-025,_dd,2,5,D,sersic,0.33,16.055,0.397,26.04,8.55,0.824,,,,,,,,,,,,,,,,,,
90,ESO357-025,_dd,2,5,D,expdisk,,,,,,,,,,,,0.67,15.277,0.411,28.05,12.08,22.683,,,,,,,
91,ESO358-005,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.435,0.737,-87.2,17.45,22.64,,,,,,,
92,ESO358-015,_dd,2,5,D,sersic,0.138,17.194,0.548,8.9,10.49,0.374,,,,,,,,,,,,,,,,,,
92,ESO358-015,_dd,2,5,D,expdisk,,,,,,,,,,,,0.862,15.201,0.76,-21.61,11.74,22.544,,,,,,,
93,ESO358-020,_dd,2,5,D,sersic,0.234,15.788,0.376,165.72,16.46,0.285,,,,,,,,,,,,,,,,,,
93,ESO358-020,_dd,2,5,D,expdisk,,,,,,,,,,,,0.766,14.488,0.562,-20.24,15.38,22.418,,,,,,,
94,ESO358-025,_dd,2,5,B,sersic,0.458,13.952,0.587,60.63,11.77,0.907,,,,,,,,,,,,,,,,,,
94,ESO358-025,_dd,2,5,D,expdisk,,,,,,,,,,,,0.542,13.764,0.622,55.55,17.5,21.975,,,,,,,
95,ESO358-051,_dbarf,2,5,D,expdisk,,,,,,,,,,,,0.926,13.669,0.504,2.44,9.93,20.65,,,,,,,
95,ESO358-051,_dbarf,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.074,20.962,0.495,30.76,11.25,,
96,ESO358-054,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.129,0.635,80.08,20.68,22.702,,,,,,,
97,ESO358-060,_d,1,4,D,expdisk,,,,,,,,,,,,1.0,16.436,0.298,-82.34,18.83,24.806,,,,,,,
98,ESO358-063,_ddn,3,5,D,expdisk,,,,,,,,,,,,0.517,11.959,0.289,-49.52,38.39,21.875,,,,,,,
98,ESO358-063,_ddn,3,5,D,expdisk,,,,,,,,,,,,0.48,12.035,0.289,-49.52,13.24,19.639,,,,,,,
98,ESO358-063,_ddn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.003,17.398
99,ESO359-003,_dd,2,5,D,expdisk,,,,,,,,,,,,0.458,14.726,0.332,-52.9,28.75,24.015,,,,,,,
99,ESO359-003,_dd,2,5,D,expdisk,,,,,,,,,,,,0.542,14.553,0.332,-52.9,9.84,21.512,,,,,,,
100,ESO359-022,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,16.506,0.502,26.28,7.56,22.893,,,,,,,
101,ESO359-029,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.417,0.507,16.76,17.79,22.663,,,,,,,
102,ESO359-031,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.41,0.91,43.19,11.36,21.683,,,,,,,
103,ESO361-009,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,15.067,0.34,43.06,32.66,24.632,,,,,,,
104,ESO361-015,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,12.787,0.297,-85.2,20.84,21.377,,,,,,,
105,ESO361-019,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.745,14.542,0.382,-80.04,11.87,21.909,,,,,,,
105,ESO361-019,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.255,21.265,0.373,82.82,20.68,,
106,ESO362-009,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,12.583,0.757,35.21,45.47,22.867,,,,,,,
107,ESO362-011,_zzn,3,4,Z,edgedisk,,,,,,,0.42,21.252,75.69,31.9,15.38,,,,,,,,,,,,,
107,ESO362-011,_zzn,3,4,Z,edgedisk,,,,,,,0.568,18.797,56.62,22.2,4.16,,,,,,,,,,,,,
107,ESO362-011,_zzn,3,4,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.012,16.399
108,ESO362-019,_dbarf,2,5,D,expdisk,,,,,,,,,,,,0.972,14.134,0.31,0.39,26.78,23.268,,,,,,,
108,ESO362-019,_dbarf,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.028,23.238,0.398,-45.96,17.25,,
109,ESO399-025,_bd,2,4,B,sersic,0.758,12.541,0.547,156.98,7.65,5.331,,,,,,,,,,,,,,,,,,
109,ESO399-025,_bd,2,4,D,expdisk,,,,,,,,,,,,0.242,13.668,0.712,-21.77,33.57,23.293,,,,,,,
110,ESO400-025,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.973,14.354,0.482,-37.58,20.71,22.931,,,,,,,
110,ESO400-025,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.027,22.944,0.199,-41.66,18.68,,
111,ESO402-025,_dbarf,2,5,D,expdisk,,,,,,,,,,,,0.975,14.948,0.379,80.4,10.46,22.042,,,,,,,
111,ESO402-025,_dbarf,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.025,20.736,0.046,-89.92,10.5,,
112,ESO402-026,_bdbar,3,5,B,sersic,0.4,12.53,0.389,106.39,3.11,0.594,,,,,,,,,,,,,,,,,,
112,ESO402-026,_bdbar,3,5,D,expdisk,,,,,,,,,,,,0.364,12.614,0.357,-70.93,31.7,22.115,,,,,,,
112,ESO402-026,_bdbar,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.236,19.476,0.516,81.86,25.71,,
113,ESO402-030,_dd,2,5,D,sersic,0.338,14.029,0.415,145.62,5.6,0.419,,,,,,,,,,,,,,,,,,
113,ESO402-030,_dd,2,5,D,expdisk,,,,,,,,,,,,0.662,13.292,0.622,-42.08,7.04,19.527,,,,,,,
114,ESO403-024,_dd,2,5,D,expdisk,,,,,,,,,,,,0.06,17.458,0.625,46.54,2.67,21.584,,,,,,,
114,ESO403-024,_dd,2,5,D,expdisk,,,,,,,,,,,,0.94,14.466,0.625,46.54,13.1,22.048,,,,,,,
115,ESO403-031,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.96,15.123,0.607,-31.84,13.17,22.716,,,,,,,
115,ESO403-031,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.04,21.714,0.3,45.16,7.5,,
116,ESO404-003,_dbarf,2,5,D,expdisk,,,,,,,,,,,,0.955,13.31,0.529,9.03,13.68,20.986,,,,,,,
116,ESO404-003,_dbarf,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.045,18.421,0.039,13.5,11.25,,
117,ESO404-012,_dbarn,3,5,D,expdisk,,,,,,,,,,,,0.851,12.136,0.85,-61.19,13.03,19.707,,,,,,,
117,ESO404-012,_dbarn,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.1,20.134,0.243,-43.49,26.99,,
117,ESO404-012,_dbarn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.049,15.23
118,ESO404-017,_dd,2,5,D,expdisk,,,,,,,,,,,,0.194,16.607,0.375,-52.25,6.5,22.666,,,,,,,
118,ESO404-017,_dd,2,5,D,expdisk,,,,,,,,,,,,0.806,15.057,0.375,-52.25,20.34,23.595,,,,,,,
119,ESO404-018,_z,1,4,Z,edgedisk,,,,,,,1.0,21.801,32.81,21.75,3.85,,,,,,,,,,,,,
120,ESO404-027,_dbarn,3,5,D,expdisk,,,,,,,,,,,,0.941,12.931,0.359,-54.78,17.99,21.201,,,,,,,
120,ESO404-027,_dbarn,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.011,22.624,0.228,-54.78,18.9,,
