split,quality_gate,n_galaxies,n_shuffles,seed,observed_mean_minus_wrong,null_mean_minus_wrong_mean,null_mean_minus_wrong_median,p_mean_minus_wrong_at_least_as_good,observed_beats_wrong_fraction,null_beats_wrong_fraction_mean,null_beats_wrong_fraction_median,p_beats_wrong_fraction_at_least_as_good,observed_rank1_fraction,null_rank1_fraction_mean,null_rank1_fraction_median,p_rank1_fraction_at_least_as_good
holdout,all,44,1000,20260602,-8.554211380757708,-3.2696474714397006,-3.6444404444300282,0.012987012987012988,0.8181818181818182,0.7198181818181818,0.7272727272727273,0.03596403596403597,0.2727272727272727,0.24134090909090908,0.25,0.3626373626373626
holdout,clean_manifest_proxy,20,1000,20260602,-9.670906810661867,-5.6964527964781,-7.263471620866341,0.12987012987012986,0.9,0.80015,0.8,0.13986013986013987,0.25,0.1887,0.2,0.3116883116883117
holdout,confidence_ge_0_75,32,1000,20260602,-9.056388959084762,-3.434618756339651,-3.5524224227262406,0.023976023976023976,0.84375,0.73665625,0.75,0.052947052947052944,0.34375,0.261875,0.25,0.1878121878121878
holdout,confidence_ge_0_75_and_clean,20,1000,20260602,-9.670906810661867,-5.814345506821199,-7.378344416380387,0.10989010989010989,0.9,0.798,0.8,0.11888111888111888,0.25,0.191,0.2,0.31368631368631367
holdout,confidence_ge_0_85,30,1000,20260602,-7.470403458265202,-2.6717512359834203,-3.4275616149708874,0.03196803196803197,0.8333333333333334,0.7206666666666667,0.7333333333333333,0.06593406593406594,0.3,0.25,0.23333333333333334,0.32167832167832167
holdout,no_few_rotation_points,36,1000,20260602,-6.482050628503495,-1.602648866555458,-2.051500490625587,0.016983016983016984,0.7777777777777778,0.6700555555555555,0.6666666666666666,0.06693306693306693,0.3055555555555556,0.23733333333333334,0.25,0.2047952047952048
holdout,no_large_distance_error,26,1000,20260602,-10.469414482975091,-7.404486160524598,-8.93053935078498,0.12187812187812187,0.8846153846153846,0.8071538461538463,0.8076923076923077,0.13086913086913088,0.2692307692307692,0.1788846153846154,0.19230769230769232,0.11988011988011989
holdout,no_low_inclination,35,1000,20260602,-9.40436462040181,-4.342657189198296,-5.049060356388077,0.01098901098901099,0.8571428571428571,0.7541714285714286,0.7428571428571429,0.04095904095904096,0.2857142857142857,0.23222857142857142,0.22857142857142856,0.26573426573426573
train,all,131,1000,20260602,-8.00406870361461,-2.6787783135928867,-2.702817778233779,0.000999000999000999,0.8015267175572519,0.722496183206107,0.7251908396946565,0.005994005994005994,0.3435114503816794,0.263206106870229,0.2595419847328244,0.022977022977022976
train,clean_manifest_proxy,60,1000,20260602,-5.276789106351007,-0.7072563577655505,-0.957178595805214,0.003996003996003996,0.7333333333333333,0.6674833333333333,0.6666666666666666,0.10989010989010989,0.3333333333333333,0.26426666666666665,0.26666666666666666,0.13286713286713286
train,confidence_ge_0_75,112,1000,20260602,-7.86916367749695,-2.021160612915003,-2.066995050946281,0.000999000999000999,0.7857142857142857,0.6950267857142858,0.6964285714285714,0.004995004995004995,0.3482142857142857,0.2634910714285714,0.26785714285714285,0.029970029970029972
train,confidence_ge_0_75_and_clean,60,1000,20260602,-5.276789106351007,-0.7635726498895382,-0.9406391376519389,0.000999000999000999,0.7333333333333333,0.6691833333333334,0.6666666666666666,0.13086913086913088,0.3333333333333333,0.26576666666666665,0.26666666666666666,0.14685314685314685
train,confidence_ge_0_85,89,1000,20260602,-6.4560382877620155,-1.2616079422263073,-1.3944912862453336,0.000999000999000999,0.7865168539325843,0.690258426966292,0.6853932584269663,0.00999000999000999,0.4044943820224719,0.28365168539325847,0.2808988764044944,0.005994005994005994
train,no_few_rotation_points,107,1000,20260602,-5.761989209542498,-1.2062874987467298,-1.3192825077695787,0.000999000999000999,0.7663551401869159,0.6724018691588786,0.6728971962616822,0.00999000999000999,0.3925233644859813,0.26485981308411216,0.2616822429906542,0.001998001998001998
train,no_large_distance_error,83,1000,20260602,-7.902108716409838,-1.7903545579922016,-1.88907623586958,0.000999000999000999,0.7590361445783133,0.7066265060240963,0.7108433734939759,0.1088911088911089,0.2891566265060241,0.2560240963855422,0.25301204819277107,0.2677322677322677
train,no_low_inclination,112,1000,20260602,-8.40557065069637,-2.74799930921286,-2.911119583258519,0.000999000999000999,0.8035714285714286,0.7181339285714285,0.7142857142857143,0.005994005994005994,0.3392857142857143,0.2640267857142857,0.25892857142857145,0.04895104895104895
