galaxy,threshold_fraction_of_p95,q_centroid_mean,q_centroid_spread,q_envelope_p80_mean,q_envelope_p80_spread,q_centroid_side_asymmetry_max,q_envelope_side_asymmetry_max,endpoint_scores_allowed,uses_vobs_or_residual,claim_boundary
NGC7331,0.1,0.007105113731344134,0.0017946897269221279,0.21689871200425317,0.020869338951191863,0.41802170091428603,0.2103289486630385,False,False,ngc7331_things_qwarp_measurement_sensitivity_audit_not_endpoint
NGC7331,0.15,0.006666118997751076,0.0018160734137080848,0.20939071913820329,0.016838474545552484,0.5225294783200686,0.24583789796986483,False,False,ngc7331_things_qwarp_measurement_sensitivity_audit_not_endpoint
NGC7331,0.2,0.006787030415867605,0.0015772573705817618,0.2037650622936263,0.012945580691847786,0.34981067409859545,0.2509170902861444,False,False,ngc7331_things_qwarp_measurement_sensitivity_audit_not_endpoint
NGC7331,0.25,0.007524337371456307,0.0016243563300872392,0.19883208105322378,0.010740085049645354,0.1668340882768966,0.24778024246323765,False,False,ngc7331_things_qwarp_measurement_sensitivity_audit_not_endpoint
NGC7331,0.3,0.009214776164670611,0.0008511733232334662,0.1946928632266703,0.010186229448953726,0.6416779983865738,0.23715209299399848,False,False,ngc7331_things_qwarp_measurement_sensitivity_audit_not_endpoint
