galaxy,split,component_family,intake_weight,component_evidence_status,evidence_gate,orientation_sign,orientation_sign_proof_status,evidence_gate_proof_status,closure_fraction_c,source_vn2_median,kernel_scale,signed_source_strength_v2,beta_source_normalized,uses_vobs_or_residual,claim_boundary
CamB,holdout,K_compact_finite,0.0,MISSING_SOURCE_SUPPORT,0.0,1.0,THEORY_CONDITIONAL,DERIVED_FROM_GATE_DEFINITION,0.7709311437999794,158.90215,0.6802721088435374,0.0,0.0,False,tau_side_source_normalization_formula_conditional_not_validation
CamB,holdout,K_scale_tail_spiral,0.3909107151934274,SOURCE_CANDIDATE_HI_TAIL_READY,1.0,1.0,THEORY_CONDITIONAL,DEFINITION_DEPENDENT,0.7709311437999794,158.90215,0.5242771417299819,47.8875853320477,91.3402121138274,False,tau_side_source_normalization_formula_conditional_not_validation
CamB,holdout,K_exponential_disk,0.0,MISSING_SOURCE_SUPPORT,0.0,-1.0,THEORY_CONDITIONAL,DERIVED_FROM_GATE_DEFINITION,0.7709311437999794,158.90215,0.09153905800218393,-0.0,-0.0,False,tau_side_source_normalization_formula_conditional_not_validation
CamB,holdout,K_thick_flared,0.6090892848065725,PROXY_OR_PARTIAL_SOURCE_ONLY,0.35,-1.0,THEORY_CONDITIONAL,DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,0.7709311437999794,158.90215,0.0834048986146519,-26.115260821904865,-313.1142325651979,False,tau_side_source_normalization_formula_conditional_not_validation
ESO116-G012,holdout,K_compact_finite,0.0,MISSING_SOURCE_SUPPORT,0.0,1.0,THEORY_CONDITIONAL,DERIVED_FROM_GATE_DEFINITION,0.647024282010864,2370.2902,0.12019230769230768,0.0,0.0,False,tau_side_source_normalization_formula_conditional_not_validation
ESO116-G012,holdout,K_scale_tail_spiral,0.5898652816210909,SOURCE_CANDIDATE_HI_TAIL_READY,1.0,1.0,THEORY_CONDITIONAL,DEFINITION_DEPENDENT,0.647024282010864,2370.2902,0.5336162305518424,904.6382268758591,1695.2974349005879,False,tau_side_source_normalization_formula_conditional_not_validation
ESO116-G012,holdout,K_exponential_disk,0.0,MISSING_SOURCE_SUPPORT,0.0,-1.0,THEORY_CONDITIONAL,DERIVED_FROM_GATE_DEFINITION,0.647024282010864,2370.2902,0.40893263403548324,-0.0,-0.0,False,tau_side_source_normalization_formula_conditional_not_validation
ESO116-G012,holdout,K_thick_flared,0.4101347183789091,PROXY_OR_PARTIAL_SOURCE_ONLY,0.35,-1.0,THEORY_CONDITIONAL,DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,0.647024282010864,2370.2902,0.3691549528009791,-220.1489807777848,-596.3592770661613,False,tau_side_source_normalization_formula_conditional_not_validation
F561-1,holdout,K_compact_finite,0.0,MISSING_SOURCE_SUPPORT,0.0,1.0,THEORY_CONDITIONAL,DERIVED_FROM_GATE_DEFINITION,0.7611597416732333,1209.066375,0.11379457382262431,0.0,0.0,False,tau_side_source_normalization_formula_conditional_not_validation
F561-1,holdout,K_scale_tail_spiral,1.0,SOURCE_CANDIDATE_HI_TAIL_READY,1.0,1.0,THEORY_CONDITIONAL,DEFINITION_DEPENDENT,0.7611597416732333,1209.066375,0.501892752959832,920.2926496607927,1833.644028995267,False,tau_side_source_normalization_formula_conditional_not_validation
F561-1,holdout,K_exponential_disk,0.0,MISSING_SOURCE_SUPPORT,0.0,-1.0,THEORY_CONDITIONAL,DERIVED_FROM_GATE_DEFINITION,0.7611597416732333,1209.066375,0.6027356212775445,-0.0,-0.0,False,tau_side_source_normalization_formula_conditional_not_validation
F561-1,holdout,K_thick_flared,0.0,MISSING_SOURCE_SUPPORT,0.0,-1.0,THEORY_CONDITIONAL,DERIVED_FROM_GATE_DEFINITION,0.7611597416732333,1209.066375,0.529497275339398,-0.0,-0.0,False,tau_side_source_normalization_formula_conditional_not_validation
F563-1,holdout,K_compact_finite,0.0,MISSING_SOURCE_SUPPORT,0.0,1.0,THEORY_CONDITIONAL,DERIVED_FROM_GATE_DEFINITION,0.8061829343587749,1033.2145500000001,0.055772448410485224,0.0,0.0,False,tau_side_source_normalization_formula_conditional_not_validation
F563-1,holdout,K_scale_tail_spiral,0.5809821058002538,SOURCE_CANDIDATE_HI_TAIL_READY,1.0,1.0,THEORY_CONDITIONAL,DEFINITION_DEPENDENT,0.8061829343587749,1033.2145500000001,0.5344638367703803,483.9348186761198,905.4584901392137,False,tau_side_source_normalization_formula_conditional_not_validation
F563-1,holdout,K_exponential_disk,0.0,MISSING_SOURCE_SUPPORT,0.0,-1.0,THEORY_CONDITIONAL,DERIVED_FROM_GATE_DEFINITION,0.8061829343587749,1033.2145500000001,0.9171026777480793,-0.0,-0.0,False,tau_side_source_normalization_formula_conditional_not_validation
F563-1,holdout,K_thick_flared,0.4190178941997462,PROXY_OR_PARTIAL_SOURCE_ONLY,0.35,-1.0,THEORY_CONDITIONAL,DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,0.8061829343587749,1033.2145500000001,0.8049915633377742,-122.1587916727715,-151.75164217406052,False,tau_side_source_normalization_formula_conditional_not_validation
F568-1,holdout,K_compact_finite,0.0,MISSING_SOURCE_SUPPORT,0.0,1.0,THEORY_CONDITIONAL,DERIVED_FROM_GATE_DEFINITION,0.7659455805828048,1044.9372249999997,0.1034708956722777,0.0,0.0,False,tau_side_source_normalization_formula_conditional_not_validation
F568-1,holdout,K_scale_tail_spiral,1.0,SOURCE_CANDIDATE_HI_TAIL_READY,1.0,1.0,THEORY_CONDITIONAL,DEFINITION_DEPENDENT,0.7659455805828048,1044.9372249999997,0.5364047114280883,800.3650494752097,1492.0917591204054,False,tau_side_source_normalization_formula_conditional_not_validation
F568-1,holdout,K_exponential_disk,0.0,MISSING_SOURCE_SUPPORT,0.0,-1.0,THEORY_CONDITIONAL,DERIVED_FROM_GATE_DEFINITION,0.7659455805828048,1044.9372249999997,0.5198420647046049,-0.0,-0.0,False,tau_side_source_normalization_formula_conditional_not_validation
F568-1,holdout,K_thick_flared,0.0,MISSING_SOURCE_SUPPORT,0.0,-1.0,THEORY_CONDITIONAL,DERIVED_FROM_GATE_DEFINITION,0.7659455805828048,1044.9372249999997,0.45566494356381576,-0.0,-0.0,False,tau_side_source_normalization_formula_conditional_not_validation
IC2574,holdout,K_compact_finite,0.2115966775065736,SOURCE_CANDIDATE_COMPACT_READY,1.0,1.0,THEORY_CONDITIONAL,DEFINITION_DEPENDENT,0.8157231858172092,524.1554,0.10824995899622765,90.47148423390375,835.7646051122897,False,tau_side_source_normalization_formula_conditional_not_validation
IC2574,holdout,K_scale_tail_spiral,0.2370494292183879,SOURCE_CANDIDATE_HI_TAIL_READY,1.0,1.0,THEORY_CONDITIONAL,DEFINITION_DEPENDENT,0.8157231858172092,524.1554,0.5193345370218303,101.35420816104734,195.16169431417364,False,tau_side_source_normalization_formula_conditional_not_validation
IC2574,holdout,K_exponential_disk,0.3533469089981158,SOURCE_CANDIDATE_S4G_SCALE_READY,1.0,-1.0,THEORY_CONDITIONAL,DEFINITION_DEPENDENT,0.8157231858172092,524.1554,0.5952261877568319,-151.07902299424586,-253.81783614662845,False,tau_side_source_normalization_formula_conditional_not_validation
IC2574,holdout,K_thick_flared,0.1980069842769226,PROXY_OR_PARTIAL_SOURCE_ONLY,0.35,-1.0,THEORY_CONDITIONAL,DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,0.8157231858172092,524.1554,0.5071086520971584,-29.6313490767338,-58.43195329875115,False,tau_side_source_normalization_formula_conditional_not_validation
IC4202,holdout,K_compact_finite,0.0,MISSING_SOURCE_SUPPORT,0.0,1.0,THEORY_CONDITIONAL,DERIVED_FROM_GATE_DEFINITION,0.4345083145582969,27275.862344999994,0.02708034236736862,0.0,0.0,False,tau_side_source_normalization_formula_conditional_not_validation
IC4202,holdout,K_scale_tail_spiral,0.7288571532752304,SOURCE_CANDIDATE_HI_TAIL_READY,1.0,1.0,THEORY_CONDITIONAL,DEFINITION_DEPENDENT,0.4345083145582969,27275.862344999994,0.513339114724285,8638.115402580408,16827.308020780667,False,tau_side_source_normalization_formula_conditional_not_validation
IC4202,holdout,K_exponential_disk,0.0,MISSING_SOURCE_SUPPORT,0.0,-1.0,THEORY_CONDITIONAL,DERIVED_FROM_GATE_DEFINITION,0.4345083145582969,27275.862344999994,1.3565216330342442,-0.0,-0.0,False,tau_side_source_normalization_formula_conditional_not_validation
IC4202,holdout,K_thick_flared,0.2711428467247697,PROXY_OR_PARTIAL_SOURCE_ONLY,0.35,-1.0,THEORY_CONDITIONAL,DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,0.4345083145582969,27275.862344999994,1.2714588392738533,-1124.7157505743794,-884.5868350852154,False,tau_side_source_normalization_formula_conditional_not_validation
NGC0024,holdout,K_compact_finite,0.0,MISSING_SOURCE_SUPPORT,0.0,1.0,THEORY_CONDITIONAL,DERIVED_FROM_GATE_DEFINITION,0.5405873913918854,1796.46045,0.33348259719112566,0.0,0.0,False,tau_side_source_normalization_formula_conditional_not_validation
NGC0024,holdout,K_scale_tail_spiral,0.3947290187880619,SOURCE_CANDIDATE_HI_TAIL_READY,1.0,1.0,THEORY_CONDITIONAL,DEFINITION_DEPENDENT,0.5405873913918854,1796.46045,0.5626904565154348,383.3386662772296,681.2602947828998,False,tau_side_source_normalization_formula_conditional_not_validation
NGC0024,holdout,K_exponential_disk,0.6052709812119381,SOURCE_CANDIDATE_S4G_SCALE_READY,1.0,-1.0,THEORY_CONDITIONAL,DEFINITION_DEPENDENT,0.5405873913918854,1796.46045,0.1658335520582307,-587.805202126963,-3544.5493076127404,False,tau_side_source_normalization_formula_conditional_not_validation
NGC0024,holdout,K_thick_flared,0.0,MISSING_SOURCE_SUPPORT,0.0,-1.0,THEORY_CONDITIONAL,DERIVED_FROM_GATE_DEFINITION,0.5405873913918854,1796.46045,0.14587024593240086,-0.0,-0.0,False,tau_side_source_normalization_formula_conditional_not_validation
NGC2683,holdout,K_compact_finite,0.3309645787929463,SOURCE_CANDIDATE_COMPACT_READY,1.0,1.0,THEORY_CONDITIONAL,DEFINITION_DEPENDENT,0.6102469907921014,11870.881879999995,0.030579946136893174,2397.5636546568517,78403.1353071715,False,tau_side_source_normalization_formula_conditional_not_validation
NGC2683,holdout,K_scale_tail_spiral,0.2374095748842707,SOURCE_CANDIDATE_HI_TAIL_READY,1.0,1.0,THEORY_CONDITIONAL,DEFINITION_DEPENDENT,0.6102469907921014,11870.881879999995,0.5127981598437477,1719.8353071074712,3353.8250364071396,False,tau_side_source_normalization_formula_conditional_not_validation
NGC2683,holdout,K_exponential_disk,0.2940275973955246,SOURCE_CANDIDATE_S4G_SCALE_READY,1.0,-1.0,THEORY_CONDITIONAL,DEFINITION_DEPENDENT,0.6102469907921014,11870.881879999995,1.7854346004785062,-2129.9858841468617,-1192.978943936683,False,tau_side_source_normalization_formula_conditional_not_validation
NGC2683,holdout,K_thick_flared,0.1375982489272584,PROXY_OR_PARTIAL_SOURCE_ONLY,0.35,-1.0,THEORY_CONDITIONAL,DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,0.6102469907921014,11870.881879999995,1.6851221642191667,-348.8747847925536,-207.03233996937627,False,tau_side_source_normalization_formula_conditional_not_validation
NGC3726,holdout,K_compact_finite,0.3261144729454155,SOURCE_CANDIDATE_COMPACT_READY,1.0,1.0,THEORY_CONDITIONAL,DEFINITION_DEPENDENT,0.6296056984088632,13611.3185,0.035216655497749744,2794.723969180463,79358.0176674937,False,tau_side_source_normalization_formula_conditional_not_validation
NGC3726,holdout,K_scale_tail_spiral,0.3313800208951975,SOURCE_CANDIDATE_HI_TAIL_READY,1.0,1.0,THEORY_CONDITIONAL,DEFINITION_DEPENDENT,0.6296056984088632,13611.3185,0.5322231298067283,2839.8484708108704,5335.823100815131,False,tau_side_source_normalization_formula_conditional_not_validation
NGC3726,holdout,K_exponential_disk,0.342505506159387,SOURCE_CANDIDATE_S4G_SCALE_READY,1.0,-1.0,THEORY_CONDITIONAL,DEFINITION_DEPENDENT,0.6296056984088632,13611.3185,1.2315722008190377,-2935.1912504666466,-2383.2880025341947,False,tau_side_source_normalization_formula_conditional_not_validation
NGC3726,holdout,K_thick_flared,0.0,MISSING_SOURCE_SUPPORT,0.0,-1.0,THEORY_CONDITIONAL,DERIVED_FROM_GATE_DEFINITION,0.6296056984088632,13611.3185,1.1525263715669936,-0.0,-0.0,False,tau_side_source_normalization_formula_conditional_not_validation
NGC3949,holdout,K_compact_finite,0.3727331316943935,SOURCE_CANDIDATE_COMPACT_READY,1.0,1.0,THEORY_CONDITIONAL,DEFINITION_DEPENDENT,0.34288300781507547,17307.309199999996,0.14678841389582764,2211.9408753771513,15068.906439352324,False,tau_side_source_normalization_formula_conditional_not_validation
NGC3949,holdout,K_scale_tail_spiral,0.3091896991321987,SOURCE_CANDIDATE_HI_TAIL_READY,1.0,1.0,THEORY_CONDITIONAL,DEFINITION_DEPENDENT,0.34288300781507547,17307.309199999996,0.4905535770580994,1834.8498579858358,3740.3658719392497,False,tau_side_source_normalization_formula_conditional_not_validation
NGC3949,holdout,K_exponential_disk,0.3180771691734078,SOURCE_CANDIDATE_S4G_SCALE_READY,1.0,-1.0,THEORY_CONDITIONAL,DEFINITION_DEPENDENT,0.34288300781507547,17307.309199999996,0.48499550830966764,-1887.5915023185387,-3891.977286340803,False,tau_side_source_normalization_formula_conditional_not_validation
NGC3949,holdout,K_thick_flared,0.0,MISSING_SOURCE_SUPPORT,0.0,-1.0,THEORY_CONDITIONAL,DERIVED_FROM_GATE_DEFINITION,0.34288300781507547,17307.309199999996,0.44406364889513045,-0.0,-0.0,False,tau_side_source_normalization_formula_conditional_not_validation
NGC3972,holdout,K_compact_finite,0.33330345098848,SOURCE_CANDIDATE_COMPACT_READY,1.0,1.0,THEORY_CONDITIONAL,DEFINITION_DEPENDENT,0.5887466864328924,4670.377574999999,0.12103371705720797,916.4742739903428,7572.057574313451,False,tau_side_source_normalization_formula_conditional_not_validation
NGC3972,holdout,K_scale_tail_spiral,0.227218718754533,SOURCE_CANDIDATE_HI_TAIL_READY,1.0,1.0,THEORY_CONDITIONAL,DEFINITION_DEPENDENT,0.5887466864328924,4670.377574999999,0.5028426025808632,624.7763402688979,1242.4888763645006,False,tau_side_source_normalization_formula_conditional_not_validation
NGC3972,holdout,K_exponential_disk,0.3176195000629279,SOURCE_CANDIDATE_S4G_SCALE_READY,1.0,-1.0,THEORY_CONDITIONAL,DEFINITION_DEPENDENT,0.5887466864328924,4670.377574999999,0.5129850631920871,-873.3485952877471,-1702.4834794472797,False,tau_side_source_normalization_formula_conditional_not_validation
