galaxy,radius_kpc,vrot_km_s,vrot_error_plus_km_s,vrot_error_minus_km_s,source_quality_scope,uses_coming_profile_values
NGC4303,0.125,75.3696,30.3456,18.0413,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,0.275,128.394,42.6516,28.846,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,0.425,125.755,49.3526,27.2888,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,0.575,110.33,38.9959,28.5577,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,0.725,104.596,44.7059,26.6091,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,0.875,113.544,47.1925,26.3737,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,1.025,121.224,45.7083,29.5906,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,1.175,134.542,42.3908,35.7119,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,1.325,148.275,54.253,35.6868,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,1.475,152.402,48.1066,38.1727,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,1.625,159.399,56.4463,36.9194,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,1.775,158.167,62.1634,37.8883,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,1.925,160.861,58.601,37.1688,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,2.075,158.964,52.9963,35.918,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,2.225,155.061,48.7399,35.6301,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,2.375,155.464,46.022,36.0926,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,2.525,153.612,51.8883,36.1602,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,2.675,154.919,62.7578,36.1533,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,2.825,159.272,66.6446,39.9215,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,2.975,164.681,67.5253,43.3333,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,3.125,173.093,66.4364,46.3735,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,3.275,179.873,68.13,46.8584,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,3.425,183.612,69.2516,44.2792,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,3.575,181.516,69.2979,43.261,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,3.725,182.183,68.4734,41.7473,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,3.875,180.738,72.0327,40.4121,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,4.025,180.848,75.047,41.8786,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,4.175,182.593,72.9677,43.4708,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,4.325,181.063,70.0943,45.1157,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,4.475,180.667,66.1991,43.8388,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,4.625,179.542,68.7764,41.5907,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,4.775,177.076,70.8374,39.9613,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,4.925,175.542,69.4944,40.0162,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,5.075,174.99,67.1224,40.1367,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,5.225,170.26,69.3027,39.2889,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,5.375,169.208,70.1566,39.1353,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,5.525,169.914,71.8887,40.1609,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,5.675,168.268,71.6278,43.3801,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,5.825,171.352,70.426,45.3606,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,5.975,177.67,69.1319,45.1871,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,6.125,180.614,72.6503,45.0923,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,6.275,177.701,71.3076,41.3974,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
NGC4303,6.425,175.228,68.3237,41.6358,published_curve_low_inclination_outer_field_truncated_at_60arcsec,False
