radius_kpc,vobs_sparc,vobs_error,vgas,vdisk,vbul,sbdisk,sbbul,vbar_km_s,v_approaching_km_s,v_approaching_error_km_s,q_approaching,q_approaching_error,v_receding_km_s,v_receding_error_km_s,q_receding,q_receding_error,q_common,q_side_contrast,cq_common_km_s_equivalent,cq_side_contrast_km_s_equivalent
0.34,38.8,3.69,0.91,27.87,0.0,246.74,0.0,19.72806503436158,29.333333333333336,5.0,3.203972651008064e-05,1.667820492112674e-05,40.0,3.5999999999999996,6.761989714406687e-05,1.2008307641487383e-05,4.982981182707376e-05,-1.7790085316993115e-05,14.938601769315913,-5.333333405211075
0.68,50.1,3.69,7.1,39.52,0.0,115.82,0.0,28.832710590577502,58.36363636363637,4.636363636363636,9.850456752149082e-05,1.546524500110373e-05,58.0,5.0,9.729160712962992e-05,1.6678205385711705e-05,9.789808732556037e-05,6.064801959304507e-07,29.34910823282839,0.18181818866631141
1.02,60.2,3.69,10.23,44.52,0.0,75.75,0.0,33.10087763186952,71.66666666666666,3.666666666666667,0.00012864162935501122,1.2230684190154967e-05,59.0,3.75,8.639017528365111e-05,1.2508654055060135e-05,0.00010751590231933117,2.1125727035680057e-05,32.23245663040019,6.333333635063577
1.36,68.2,3.69,12.18,46.26,0.0,41.22,0.0,34.90481628658143,78.0,3.0,0.00014375006497238364,1.0006923533683554e-05,73.00000000000001,3.4999999999999973,0.00012707185915429372,1.1674744024697758e-05,0.0001354109620633387,8.339102909044963e-06,40.59518515711306,2.5000001586175395
1.69,72.8,3.69,14.42,45.8,0.0,27.51,0.0,35.45076021751861,81.84615384615384,3.0,0.00015475838120263699,1.0006923602135851e-05,77.3125,5.1875,0.0001396357387054277,1.730363859091949e-05,0.00014719705995403236,7.56132124860464e-06,44.128568413992724,2.266827082846814
2.03,75.3,3.69,15.29,45.05,0.0,15.53,0.0,35.33461970928794,82.49999999999999,3.0,0.00015732678041440013,1.0006923614100374e-05,88.87692307692306,4.523076923076923,0.0001785979079159988,1.5087361940742283e-05,0.00016796234416519945,-1.0635563750799334e-05,50.3538440087271,-3.1884617990678317
2.37,76.6,3.69,18.41,43.11,0.0,9.72,0.0,35.611292450569664,84.33333333333334,2.3333333333333286,0.00016251924169414315,7.783162837351679e-06,103.0,4.0,0.00022478454556277948,1.33425653836882e-05,0.0001936518936284613,-3.113265193431816e-05,58.05537718723095,-9.333334247447695
