split,repair_priority,source_targets,n_galaxies,n_hard_specific,median_matched_minus_wrong,median_source_norm_minus_tpg_v6,median_source_norm_minus_mond
holdout,P0_EXISTING_SCALE_PLUS_DISTANCE_AUDIT,S4G;SPARC_DISTANCE;NED_NEDD,3,3,-18.614803873870997,-0.8856323095618137,-3.133878099932687
holdout,P1_INCLINATION_PROJECTION_REVIEW,NED_NEDD;S4G;SPARC_METADATA,2,2,-24.80617011455319,-0.47101613279005905,-0.3070470092705295
holdout,P1_VERTICAL_GEOMETRY_SOURCE,S4G;DustPedia;HI_SURVEYS;PHANGS_IF_AVAILABLE,8,8,-8.052089053529903,2.401024111308806,1.212175501647824
holdout,P2_SOURCE_NORMALIZATION_REVIEW,S4G;SPARC_BARYONIC;HI_SURVEYS,2,2,-11.387723860882268,0.9919474477496273,2.843810173737392
train,P0_EXISTING_SCALE_PLUS_DISTANCE_AUDIT,S4G;SPARC_DISTANCE;NED_NEDD,11,10,-16.725443601530216,0.6398306319102405,0.4741980957008564
train,P1_INCLINATION_PROJECTION_REVIEW,NED_NEDD;S4G;SPARC_METADATA,7,7,-18.830818973491468,0.0243941317204843,-1.9743294643194345
train,P1_VERTICAL_GEOMETRY_SOURCE,S4G;DustPedia;HI_SURVEYS;PHANGS_IF_AVAILABLE,17,16,-3.273084120207266,1.701371480515384,0.2305153296459288
train,P2_SOURCE_NORMALIZATION_REVIEW,S4G;SPARC_BARYONIC;HI_SURVEYS,3,3,-22.314606914231856,1.375800958075038,3.945282617546504
