radius_arcsec,radius_kpc_source,zone,within_source_terminal_support,defect_to_inner_plane,defect_to_outer_plane,signed_two_plane_chirality_control,chirality_sq_from_raw_defects,kernel_p1_affine_defect_candidate,kernel_p2_counterfamily_control,geometry_only_response_factor_plus_candidate,geometry_only_response_factor_minus_candidate,fixed_inner_inclination_projection_ratio_sq_control,mirror_reflected_n_los_control,mirror_fixed_inner_inclination_projection_ratio_sq_control,mirror_minus_source_projection_ratio_sq_control,endpoint_values_used
0,0,inner_reference_plane,True,0,0.0309697387,0,0,0,0,1,1,1,0.387515586,1,0,False
12,0.88,inner_reference_plane,True,0,0.0309697387,0,0,0,0,1,1,1,0.387515586,1,0,False
24,1.76,inner_reference_plane,True,0,0.0309697387,0,0,0,0,1,1,1,0.387515586,1,0,False
36,2.64,inner_reference_plane,True,0,0.0309697387,0,0,0,0,1,1,1,0.387515586,1,0,False
48,3.51,inner_reference_plane,True,0,0.0309697387,0,0,0,0,1,1,1,0.387515586,1,0,False
60,4.39,inner_reference_plane,True,0,0.0309697387,0,0,0,0,1,1,1,0.387515586,1,0,False
72,5.27,inner_reference_plane,True,0,0.0309697387,0,0,0,0,1,1,1,0.387515586,1,0,False
84,6.15,inner_reference_plane,True,0,0.0309697387,0,0,0,0,1,1,1,0.387515586,1,0,False
120,8.78,inner_reference_plane,True,0,0.0309697387,0,0,0,0,1,1,1,0.387515586,1,0,False
150,10.98,inner_reference_plane,True,0,0.0309697387,0,0,0,0,1,1,1,0.387515586,1,0,False
180,13.18,transition,True,0.00457914311,0.0139339824,0.0396985486,0.00157597476,0.24734576,0.0974717412,1.00383012,0.996169883,1.04037281,0.413110436,0.975887104,-0.0644857046,False
210,15.37,transition,True,0.0102862349,0.00576480625,-0.0134015561,0.000179601705,0.640845339,0.760981862,1.00992341,0.990076594,1.00582903,0.356517664,1.02713889,0.0213098518,False
240,17.57,outer_plane_support,True,0.028895996,0.00112677815,-0.0456941144,0.00208795209,0.962469219,0.998481756,1.01490371,0.98509629,0.994090714,0.310226673,1.06345697,0.0693662543,False
270,19.76,outer_plane_support,True,0.0362114668,0.00454770654,0.095201374,0.0090633016,0.888424956,0.984472687,1.01375714,0.986242856,1.09684945,0.434920967,0.954122776,-0.142726675,False
300,21.96,outer_plane_support,True,0.0330118609,0.000256951853,-0.0214734889,0.000461110724,0.992276495,0.999939419,1.01536527,0.984634728,1.01724182,0.32878342,1.04950368,0.0322618583,False
330,24.16,outer_plane_support,True,0.0266276142,0.000377412877,0.0197793978,0.000391224579,0.986024347,0.999799145,1.01526846,0.984731542,1.0442918,0.371688993,1.01413883,-0.0301529739,False
375,27.45,outer_plane_support,True,0.0375423991,0.00136959362,-0.0478131686,0.00228609909,0.964802789,0.998670887,1.01493985,0.985060155,0.998530157,0.301526438,1.06971985,0.0711896931,False
420,30.74,beyond_source_terminal_support,False,0.0497554012,0.0179029435,-0.188285689,0.0354515008,0.735391938,0.885371186,1.01138745,0.988612552,0.864566251,0.170083778,1.14266336,0.278097105,False
