annulus,r_mid_arcsec,n_train,n_test,observed_even_contrast_km_s,predicted_even_contrast_km_s,residual_even_km_s,sigma_residual_even_km_s
0,10.0,83,45,2373.0202504113495,2372.4380033171055,0.5822470942442325,0.5730792474759261
1,20.0,159,84,2374.302471381964,2374.557077427855,-0.25460604589013003,0.43465051348227085
2,30.0,241,128,2373.548918188406,2373.2939122307107,0.25500595769639606,0.3798169197334551
3,40.0,313,146,2374.6664217012835,2375.3429348039353,-0.6765131026515302,0.4017852175215427
4,50.0,365,167,2374.2119012374787,2370.370962593967,3.840938643511503,0.5528438959482012
5,60.0,388,184,2373.9875400539404,2377.375506586459,-3.3879665325182673,0.6437949553992032
