path,size_bytes,extension
data/external/literature/2001_verheijen_sancisi_ursa_major_hi.pdf,16236263,.pdf
data/external/literature/1909.04048_halogas_epg.pdf,12697831,.pdf
data/external/literature/1512.07058_ngc2683_flaring_hi.pdf,9807071,.pdf
data/external/literature/ic2574_deblok_2020_m81_hi_survey.pdf,6082257,.pdf
data/external/literature/ngc5907_sasaki_1987_surface_photometry_warp.pdf,3311911,.pdf
data/external/literature/ngc4013_zschaechner_rand_2015_hi_kinematics.pdf,2817295,.pdf
data/external/literature/ugc05716_swaters_2009_late_type_dwarf_rotation_shapes.pdf,1394149,.pdf
data/external/literature/ngc5907_wiegert_2015_edge_on_ism.pdf,1386440,.pdf
data/external/literature/ngc7331_patra_2018_molecular_scale_height.pdf,1090275,.pdf
data/external/literature/2009.11299_hi_scale_height.pdf,1080904,.pdf
data/external/literature/2001_verheijen_sancisi_pages/ngc4088_page_76-076.png,678207,.png
data/external/literature/ngc4183_whisp_lopsidedness_context_2011.pdf,647327,.pdf
data/external/literature/ngc5907_shang_1998_ring_warp_interaction.pdf,618749,.pdf
data/external/literature/2001_verheijen_sancisi_pages/page_84-084.png,608565,.png
data/external/literature/2001_verheijen_sancisi_pages/page_86-086.png,577037,.png
data/external/literature/2001_verheijen_sancisi_pages/ngc4088_page_74-074.png,521930,.png
data/external/literature/2001_verheijen_sancisi_pages/page_90-090.png,479693,.png
data/external/literature/ngc4013_comeron_2011_unusual_vertical_mass_distribution.pdf,390636,.pdf
data/external/literature/2001_verheijen_sancisi_pages/ngc4088_page_77-077.png,357873,.png
data/external/literature/2001_verheijen_sancisi_pages/page_88-088.png,354439,.png
data/external/literature/2001_verheijen_sancisi_pages/page_91-091.png,354344,.png
data/external/literature/ic2574_walter_brinks_1999_hi_holes_shells.pdf,329148,.pdf
data/external/literature/2001_verheijen_sancisi_pages/page_92-092.png,327952,.png
data/external/literature/2001_verheijen_sancisi_pages/page_97-097.png,304056,.png
data/external/literature/2001_verheijen_sancisi_pages/ngc4088_page_76_channel_maps_roi_worksheet_overlay.png,295724,.png
data/external/literature/2001_verheijen_sancisi_pages/page_98-098.png,280999,.png
data/external/literature/2001_verheijen_sancisi_pages/page_85-085.png,277788,.png
data/external/literature/2001_verheijen_sancisi_pages/ngc4088_page_76_frozen_image_repeat_overlay.png,262670,.png
data/external/literature/2001_verheijen_sancisi_pages/page_94-094.png,261068,.png
data/external/literature/2001_verheijen_sancisi_pages/page_93-093.png,254911,.png
data/external/literature/2001_verheijen_sancisi_pages/page_87-087.png,254434,.png
data/external/literature/2001_verheijen_sancisi_pages/ngc4088_page_76_channel_maps_roi.png,249026,.png
data/external/literature/2001_verheijen_sancisi_pages/page_96-096.png,231479,.png
data/external/literature/2001_verheijen_sancisi_pages/page_95-095.png,221544,.png
data/external/literature/2001_verheijen_sancisi_ursa_major_hi.txt,211420,.txt
data/external/literature/ngc4088_source_native_hi_route/whisp_ugc7081_overview_extraction_overlay.png,170539,.png
data/external/literature/2001_verheijen_sancisi_pages/page_89-089.png,169940,.png
data/external/literature/1909.04048_halogas_epg.txt,129352,.txt
data/external/literature/ic2574_walter_brinks_1999_hi_holes_shells.txt,104139,.txt
data/external/literature/ngc5907_wiegert_2015_edge_on_ism.txt,86723,.txt
data/external/literature/1512.07058_ngc2683_flaring_hi.txt,79802,.txt
data/external/literature/ngc5907_sasaki_1987_surface_photometry_warp.txt,78683,.txt
data/external/literature/ngc4088_source_native_hi_route/whisp_ugc7081_overview.gif,73149,.gif
data/external/literature/2009.11299_hi_scale_height.txt,72818,.txt
data/external/literature/ugc05716_swaters_2009_late_type_dwarf_rotation_shapes.txt,67947,.txt
data/external/literature/ic2574_sanchez_salcedo_hidalgo_gamez_2002_holes.html,66631,.html
data/external/literature/ic2574_deblok_2020_m81_hi_survey.txt,63348,.txt
data/external/literature/ngc4183_whisp_lopsidedness_context_2011.txt,47641,.txt
data/external/literature/ngc4088_source_native_hi_route/whisp_ugc7081_posvel_frozen_extraction_overlay.png,47064,.png
data/external/literature/ngc4088_source_native_hi_route/whisp_ugc7081_posvel_crop.png,44925,.png
data/external/literature/ngc4088_source_native_hi_route/whisp_listing_by_name.html,43632,.html
data/external/literature/ngc4013_zschaechner_rand_2015_hi_kinematics.txt,43130,.txt
data/external/literature/ngc7331_patra_2018_molecular_scale_height.txt,43110,.txt
data/external/literature/ngc4013_comeron_2011_unusual_vertical_mass_distribution.txt,29838,.txt
data/external/literature/ngc5907_shang_1998_ring_warp_interaction.txt,21994,.txt
data/external/literature/ngc4088_source_native_hi_route/whisp_ugc7081_obs_reduction_notes.html,2545,.html
data/external/literature/ngc4088_source_native_hi_route/whisp_ugc7081_direct_page.html,1145,.html
data/external/literature/ngc4088_source_native_hi_route/whisp_frameset_by_name.html,1100,.html
